trip_id,n,mae_kmh,rmse_kmh,corr
T1_03_29_2021,6189,9.5771806025206,14.429786219448467,0.6766078933911011
T1_06_30_2021_1,5200,9.396250198076924,14.898217091483179,0.7348766790658002
T1_06_30_2021_2,5903,7.551946083347451,11.51337008256824,0.7945553906932481
T1_07_01_2021,4535,10.049012901433295,15.010885393722353,0.7419412190855026
T2_03_29_2021,8521,8.899995863044243,14.270277742100328,0.7590505329248971
T2_03_30_2021,6868,10.06795044845661,15.443026890435968,0.6866950854644756
T2_04_26_2021,5840,8.563132649143837,13.130593612329978,0.7683989647702255
T3_04_22_2021_1,1049,5.880708799809343,11.173070047229468,0.8744881425356466
T3_04_22_2021_2,1098,7.020367387067394,11.16622897166243,0.9003586102099378
T3_04_26_2021_1,1032,5.877868838178294,9.98306602812854,0.8723639973809558
T3_04_26_2021_2,1033,6.695295236205227,12.050826550272369,0.8559485282038137
T3_05_25_2021_04,2517,6.257220836710368,11.365851685653842,0.8997732785255401
T3_05_25_2021_1,961,5.461446552549427,8.422713999516708,0.9317724975386064
T3_05_25_2021_2,1121,4.856636923282783,7.974719551893351,0.9425734736366875
T3_05_25_2021_3,953,6.163606156348373,10.183364332508111,0.9271794308463912
T3_05_31_2021,1122,4.496719625668448,7.1385516400194335,0.9545072355343229
T3_06_07_2021,1703,6.913115332941866,10.188024520342202,0.9216047174171113
