trip_id,trajectory,n_rows,distance_km,duration_s,mean_speed_mps,std_speed_mps,max_speed_mps,idle_fraction,mean_positive_acc,acc_std,positive_acc_time_fraction,braking_time_fraction,cumulative_elevation_gain_m,cumulative_elevation_loss_m,mean_abs_grade,mean_temperature_c,mean_humidity_pct,mean_wind_speed_mps,mean_traffic,traffic_frac_0,traffic_frac_1,traffic_frac_2,mean_speed_limit_kmh,soc_start,soc_end,soc_delta,e_obs_kwh
T1_03_29_2021,T1,6189,49.61069722222272,6198.0,8.0159472002298,4.905184852758118,18.036111111111115,0.14913556309581516,0.15552191479680177,0.4962375917236978,0.1736952657941509,0.18096623040878979,416.7877898482293,402.4869447860808,0.011245686797772464,21.41299079011149,54.68007755695589,2.31548715462918,0.573921473582162,0.5033123283244466,0.4194538697689449,0.0772338019066085,58.707384068508645,87.54,15.0,72.54,4.3524
T1_06_30_2021_1,T1,5200,45.64408055555533,5233.0,8.729620726495726,5.576091017560028,21.366666666666667,0.16442307692307692,0.1353856308755351,0.42812630027185467,0.16423076923076924,0.1544230769230769,463.5702189268245,752.1807087863674,0.014235766754310805,23.559596153846154,67.91980769230769,3.1782692307692306,0.30173076923076925,0.6984615384615385,0.3013461538461538,0.0001923076923076923,59.11538461538461,96.06,32.42,63.64,3.8184000000000005
T1_06_30_2021_2,T1,5903,44.347602777777496,5902.0,7.513231972443391,4.950101924982051,17.913888888888888,0.1639844147043876,0.12661296491764085,0.388072306357198,0.1514484160596307,0.15246484838217855,494.9406672701871,707.2462000375012,0.01597736924634353,21.06584787396239,78.54531594104692,1.406467897679146,0.4587497882432661,0.6418770116889717,0.25749618837879046,0.10062679993223785,58.46857530069456,93.42,33.06,60.36,3.6215999999999995
T1_07_01_2021,T1,4535,37.8237152777776,4534.0,8.341467597696926,5.811903006995525,21.95277777777778,0.18632855567805953,0.15393045186264634,0.46562657661589457,0.1936052921719956,0.18213891951488423,396.9592624210216,436.8034822332974,0.015385137140021182,22.66595369349504,70.50694597574422,2.1238213891951485,0.40176405733186327,0.6884233737596472,0.22138919514884234,0.09018743109151048,59.57662624035281,95.52,39.64,55.879999999999995,3.3528
T2_03_29_2021,T2,8521,59.56506111111094,8577.0,6.9138781311530995,5.699426162841334,18.930555555555557,0.26886515667175215,0.1401712663571612,0.4589900403910776,0.16054453702617064,0.16911160661894145,793.813856143847,759.0824780751382,0.025993229444617214,27.032108907405235,40.35735242342448,4.984237765520478,0.6291515080389626,0.43727262058443844,0.49630325079216053,0.06642412862340101,59.13390447130619,97.7,18.8,78.9,4.734
T2_03_30_2021,T2,6868,53.31752638888871,6923.0,7.66985334562868,5.300873640389296,19.05277777777778,0.1894292370413512,0.16695373308992745,0.5119753087526676,0.19001164822364588,0.18811881188118812,705.0036701387764,688.8934527970598,0.0209671623126274,23.10364006988934,41.688410017472336,2.507057367501456,0.4716074548631334,0.5285381479324402,0.471316249271986,0.00014560279557367502,59.12929528246942,95.14,24.5,70.64,4.2384
T2_04_26_2021,T2,5840,47.0322861111105,5852.0,8.036446442161338,5.388564009812141,21.675,0.1833904109589041,0.1545121511120374,0.4659521871914764,0.19143835616438357,0.17414383561643837,476.35818829825064,450.6505726220128,0.016287280797114376,19.07804794520548,79.17722602739725,4.180368150684931,0.625,0.375,0.625,0.0,59.195205479452056,98.26,33.36,64.9,3.894
T3_04_22_2021_1,T3,1049,14.147080555555583,1048.0,13.486254104438089,6.04122827560174,22.66111111111111,0.044804575786463297,0.07399389571696553,0.2570706971005338,0.08198284080076262,0.07721639656816015,129.40899112014503,191.8646616268154,0.012277492173218583,17.390467111534793,71.67588179218303,0.2204003813155386,0.02669208770257388,0.9733079122974261,0.02669208770257388,0.0,67.74070543374643,97.74,79.0,18.739999999999995,1.1243999999999996
T3_04_22_2021_2,T3,1098,15.478416666666723,1097.0,14.09691863995143,6.9177280507266135,22.969444444444445,0.04007285974499089,0.10243492264667159,0.3539875975493708,0.10382513661202186,0.09562841530054644,185.07077993647164,118.47501445564801,0.011377229198583095,17.56703096539162,68.0,0.17755009107468123,0.056466302367941715,0.9435336976320583,0.056466302367941715,0.0,68.5063752276867,78.88,49.24,29.639999999999993,1.7783999999999998
T3_04_26_2021_1,T3,1032,14.34297083333336,1031.0,13.900169573643412,5.581351983954461,22.383333333333333,0.030038759689922482,0.08044080551590263,0.24855038252213574,0.08817829457364341,0.07848837209302326,138.51077016188137,158.59089919960888,0.013652776615967019,20.360755813953485,60.0,6.170000000000001,0.06589147286821706,0.9341085271317829,0.06589147286821706,0.0,69.6124031007752,96.12,71.66,24.460000000000008,1.4676000000000005
