trip_id,n_increases,max_increase_pp,sum_increases_pp
T1_03_29_2021,293,0.020000000000010232,5.859999999999994
T1_06_30_2021_1,253,0.04000000000000625,5.120000000000033
T1_06_30_2021_2,221,0.04000000000000625,4.459999999999894
T1_07_01_2021,264,0.04000000000000625,5.319999999999965
T2_03_29_2021,513,0.04000000000000625,10.479999999999993
T2_03_30_2021,406,0.04000000000000625,8.159999999999943
T2_04_26_2021,301,0.04000000000000625,6.10000000000008
T3_04_22_2021_1,11,0.020000000000010232,0.21999999999999886
T3_04_22_2021_2,8,0.03999999999999915,0.18000000000001393
T3_04_26_2021_1,4,0.020000000000010232,0.08000000000002672
T3_04_26_2021_2,10,0.020000000000003126,0.19999999999998863
T3_05_25_2021_04,37,13.3,14.10000000000002
T3_05_25_2021_1,13,0.020000000000003126,0.2600000000000051
T3_05_25_2021_2,13,0.020000000000003126,0.259999999999998
T3_05_25_2021_3,26,0.020000000000003126,0.5200000000000031
T3_05_31_2021,11,0.020000000000003126,0.22000000000000597
T3_06_07_2021,93,0.30000000000000426,2.200000000000003
