held_out_trajectory,Method,n_trips,MAE_kWh,RMSE_kWh,Bias_kWh
T1,Physics,4,1.2075546880599677,1.2182072592249757,-1.2075546880599677
T1,ElasticNet,4,0.2632892283250736,0.3034832654335316,-0.2632892283250736
T1,WeakMLP,4,0.26290758791002933,0.30805620078085433,-0.14803836659226155
T1,PINN,4,0.1451500204941358,0.1902227830243298,0.0084339999264418
T2,Physics,3,1.1007627862221927,1.103604423871848,-1.1007627862221927
T2,ElasticNet,3,0.04953148699053244,0.05233119805519466,-0.001511928422917766
T2,WeakMLP,3,1.4943262601304939,1.5632852969385582,1.4943262601304939
T2,PINN,3,0.21608311337927952,0.22956682804515194,0.21608311337927952
T3,Physics,10,0.5119905601146539,0.5309853284070142,-0.5119905601146539
T3,ElasticNet,10,0.7609254191843897,0.7951077772553501,0.7609254191843897
T3,WeakMLP,10,0.4440624946939945,0.4748102652463637,-0.4440624946939945
T3,PINN,10,0.26640238605211797,0.3023948597092569,-0.26640238605211797
