Method,MAE_kWh,MAE_95CI_low,MAE_95CI_high,n_trips
Physics,0.7795536889442934,0.6141992053408494,0.9484649888367294,17
WeakMLP,0.4751418778709078,0.31205569067812505,0.6551104036095777,17
MLP_STATE,0.37218192202915035,0.26522102735719794,0.4857469673759895,17
PINN_NO_DYNAMICS,0.277658868009374,0.21488873081393542,0.34151571021626526,17
PINN_FULLTRIP,0.24278444607670213,0.18237323862199623,0.3061323952830729,17
PINN,0.2949142983914842,0.2091955396905807,0.39211545016733385,17
