Method,MAE_kWh,RMSE_kWh,MAPE_pct,WAPE_pct,Bias_kWh,R2,MAE_CI_low,MAE_CI_high
Physics,0.7795536889442934,0.8543796534781761,30.057554577004968,29.4207775262918,-0.7795536889442934,0.5084952634282232,0.6141992053408494,0.9484649888367294
ElasticNet,0.16729987446409744,0.20995682626722215,8.72460721211806,6.313987678578596,-0.006347479833568511,0.9703184954604149,0.1125935886620157,0.2319493675149217
WeakMLP,0.4751418778709078,0.6291183535841259,16.33519974207779,17.932111258681275,0.19097036309546103,0.733504043922729,0.312055690678125,0.6551104036095777
PINN,0.2949142983914842,0.3732790134415266,11.514528937847473,11.130225006116696,-0.05187484684495882,0.9061805116888278,0.2091955396905807,0.3921154501673339
