method,n_seeds,mae_kwh_mean,mae_kwh_std,rmse_kwh_mean,rmse_kwh_std,mape_pct_mean,mape_pct_std,wape_pct_mean,wape_pct_std,bias_kwh_mean,bias_kwh_std,r2_mean,r2_std
constant,1,0.35941425740614047,0.0,0.38386981295071054,0.0,12.169226341042501,0.0,11.608987642317198,0.0,0.21967393474412403,0.0,0.8986908873363297,0.0
elasticnet,1,0.06600882575128304,0.0,0.08864379750373036,0.0,3.849485450078766,0.0,2.1320680152223206,0.0,0.06041942090051777,0.0,0.9945977174448797,0.0
mlp_state,1,0.48079983340810845,0.0,0.5582710794014881,0.0,13.58357453524652,0.0,15.529710381398852,0.0,-0.48079983340810845,0.0,0.7857253225807874,0.0
physics,1,0.892348947309122,0.0,0.9311859793122068,0.0,30.73485258112647,0.0,28.822640416961303,0.0,-0.892348947309122,0.0,0.40385288592191015,0.0
pinn,1,0.10979445049359837,0.0,0.12761876919247803,0.0,5.095290992282613,0.0,3.546332380284185,0.0,0.002942982591688459,0.0,0.988802793361713,0.0
pinn_fulltrip,1,0.2563763130587007,0.0,0.2576549634862035,0.0,10.870011456174765,0.0,8.280888664686714,0.0,-0.09195044564731687,0.0,0.9543587410109964,0.0
pinn_no_dynamics,1,0.5296871502465671,0.0,0.5732883020226741,0.0,17.384617779089094,0.0,17.108758082899456,0.0,0.3485902775890295,0.0,0.7740425060121311,0.0
weak_mlp,1,0.8019596614925947,0.0,1.0306770263959097,0.0,20.68024836047408,0.0,25.903089841492076,0.0,0.7679552158779565,0.0,0.26965883324544515,0.0
