trip_id,constant,elasticnet,mlp_state,physics,pinn,pinn_fulltrip,pinn_no_dynamics,weak_mlp
T1_03_29_2021,0.04233851776823894,0.41839634341462784,0.27267655486442405,1.4804247319059574,0.5892378258646572,0.2507508896594004,0.2532019379087451,0.6774544946864797
T1_06_30_2021_1,0.24294838683250486,0.11665719209033876,0.6009700845263616,1.0651722126064733,0.20163936819042286,0.2883076038422199,0.12237622145272198,0.6520069708435621
T1_06_30_2021_2,0.332163026659519,0.008384107276147912,0.5770448614592909,1.1499944640416384,0.3610988672561673,0.10396188501456279,0.3862069156067238,0.8892651212740831
T1_07_01_2021,0.005781312439074426,0.15982435833599418,0.36148960522015905,1.1346273436858012,0.4026527179335897,0.13769836945094985,0.30791622735790664,0.5022278856197993
T2_03_29_2021,0.6088388402273175,0.08893958651315792,0.5429983490131519,1.1064572880523666,0.521242704895308,0.43594471613219454,0.49818177115354967,1.4043954697008487
T2_03_30_2021,0.5364692615658777,0.04228186158509217,0.4530917345952104,1.0011080006133475,0.11328432599088749,0.4541626182135324,0.4779981599650445,0.5306163590493026
T2_04_26_2021,0.295748098705495,0.07919246771067989,0.9445176408114255,1.1947230700008635,0.7824363082884634,0.4206899462491271,0.44037196193469885,0.891578272336059
T3_04_22_2021_1,0.13128427341034032,0.5062659938880603,0.32841450545346335,0.257274524966995,0.09330452159974352,0.0683328136253137,0.1112655703243562,0.33561481837696533
T3_04_22_2021_2,0.42135378941825374,0.1188742204085067,0.5607752348180168,0.6482095696694627,0.3080684492758851,0.3301712087887854,0.35385847102792706,0.3961238276269698
T3_04_26_2021_1,0.20397645212665938,0.11422583515016682,0.08753863359645608,0.5810757735315677,0.2640080961395266,0.28437860317406877,0.30690497172806036,0.09279175196135525
T3_04_26_2021_2,0.13696145833781337,0.1691610931131171,0.11970407142904049,0.3970661402532054,0.07759620853109876,0.08619869124503025,0.17368527928725971,0.12019768400545454
T3_05_25_2021_04,0.03308221447262838,0.2552683562980893,0.5500308733503027,0.6361835337702608,0.25157970704040356,0.14272808099951298,0.2099709849179344,0.7366136283772967
T3_05_25_2021_1,0.20961048399302462,0.14736050839260906,0.0895473433578456,0.5259443772723797,0.20685052171156385,0.23910790694960307,0.24278669047700605,0.03708117904927999
T3_05_25_2021_2,0.28504937328146673,0.02994126989317425,0.11730063115049309,0.5509522589260691,0.21119647047354131,0.24292414773299753,0.2301410782658945,0.15099683299152952
T3_05_25_2021_3,0.19221499121126118,0.1497092473530095,0.17421619950665387,0.43306035268263354,0.18683820082427674,0.17691924915037802,0.1700781209767833,0.11557425853323074
T3_05_31_2021,0.5001293520238275,0.23046587948261799,0.4125299223723236,0.7336690508754886,0.3941263005417255,0.4110931597847078,0.4064627766137909,0.4141288454351603
T3_06_07_2021,0.05086823318190259,0.20914954498426774,0.1342464289709373,0.35647001919847665,0.04838247809797128,0.0539656932915528,0.02879361716095641,0.1307445239380555
