epoch,train_loss,val_window_mae_kwh,grad_norm,w_window,l_prior,l_boundary,w_state,dynamics_residual_mae,w_prior,l_state,l_dynamics,loss,w_boundary,dynamics_residual_rmse,l_window,w_dynamics
0.0,3.2730716977800642,,1.4736587552988458,0.1613653919526509,0.0004130679707096923,0.0,3.1114710399082735,0.00908841605165175,4.130679707096923e-05,31.11471039908273,0.0001939153257158718,3.2730716977800642,0.0,0.013888506617929255,0.1613653919526509,0.0001939153257158718
1.0,3.1911905833653043,,1.6282580755749958,0.09400231364582266,0.0061654642423880955,0.0,3.0963133130754743,0.010522351201091493,0.0006165464242388096,30.963133130754745,0.0002584170953403892,3.1911905833653043,0.0,0.016002648643084934,0.09400231364582266,0.0002584170953403892
2.0,3.1303820269448415,,1.9589391466340953,0.06790364560272012,0.029744370707443783,0.0,3.058682959420341,0.014566088228353433,0.002974437070744378,30.586829594203405,0.000820835420329656,3.1303820269448415,0.0,0.028205763548612595,0.06790364560272012,0.000820835420329656
3.0,3.0469514983040944,,2.021961069119825,0.06016784932996545,0.03338083851018122,0.0,2.97891161782401,0.022985061364514486,0.0033380838510181227,29.789116178240096,0.004533913003147713,3.0469514983040944,0.0,0.0661231561430863,0.06016784932996545,0.004533913003147713
4.0,2.9199701377323697,,1.8818666622532625,0.04098119027912617,0.020001879760197232,0.0,2.8565144130161833,0.04093849579138415,0.002000187976019723,28.56514413016183,0.0204742733123047,2.9199701377323697,0.0,0.14149783977440425,0.04098119027912617,0.0204742733123047
5.0,2.8169284207480296,,2.0549343041969137,0.04892095950032983,0.020899615915758268,0.0,2.7107761110578266,0.05942965192454202,0.002089961591575827,27.107761110578263,0.05514136276074818,2.8169284207480296,0.0,0.23335216513701848,0.04892095950032983,0.05514136276074818
6.0,2.714379004069737,,2.4134375828830477,0.04996952946696963,0.029501579169716154,0.0,2.5648086547851565,0.06010117647903306,0.0029501579169716155,25.648086547851562,0.096650630235672,2.714379004069737,0.0,0.3087096980639866,0.04996952946696963,0.096650630235672
7.0,2.621223279408046,,2.6626356961363973,0.035316603524344306,0.020724212351654257,0.0,2.4466433116367887,0.05018337470080171,0.002072421235165426,24.466433116367885,0.13719090393611363,2.621223279408046,0.0,0.36748633640153067,0.035316603524344306,0.13719090393611363
8.0,2.5801141943250383,,2.912466954619247,0.04252855559544904,0.01741984420056854,0.0,2.357138878958566,0.044277358267988474,0.0017419844200568543,23.571388789585658,0.17870473542383739,2.5801141943250383,0.0,0.41925853065082,0.04252855559544904,0.17870473542383739
9.0,2.547050782612392,,2.98888158002885,0.040445420891046524,0.01924719461905105,0.0,2.2896357672555108,0.047249341915760724,0.0019247194619051047,22.896357672555105,0.2150448113679886,2.547050782612392,0.0,0.45977639726230074,0.040445420891046524,0.2150448113679886
10.0,2.528628179005214,,2.8741086149840624,0.04700614884495735,0.015558694023638964,0.0,2.2383958271571567,0.05664325611931937,0.0015558694023638966,22.38395827157157,0.2416703083685466,2.528628179005214,0.0,0.48747001375470844,0.04700614884495735,0.2416703083685466
11.0,2.52377826826913,,2.9141384707474294,0.058345346844622066,0.02770522715789931,0.0,2.19778870173863,0.06366467529109546,0.0027705227157899313,21.9778870173863,0.26487360681806293,2.52377826826913,0.0,0.5104473956993648,0.058345346844622066,0.26487360681806293
12.0,2.49143580027989,,2.847389363450842,0.04313315903501851,0.02808468881994486,0.0,2.157503400530134,0.061636259513241906,0.0028084688819944863,21.57503400530134,0.28799064457416534,2.49143580027989,0.0,0.5316858291625977,0.04313315903501851,0.28799064457416534
13.0,2.483255999428885,,2.6821420051366003,0.05113299669963973,0.01632667183210807,0.0,2.1297575541904994,0.06184876497302737,0.0016326671832108072,21.297575541904994,0.30073276587894987,2.483255999428885,0.0,0.542877333504813,0.05113299669963973,0.30073276587894987
14.0,2.4598109211240495,,2.657797791688801,0.046052796500069756,0.021861931442150047,0.0,2.1065170560564317,0.06169730158788817,0.002186193144215005,21.065170560564315,0.30505484129701343,2.4598109211240495,0.0,0.5458259497370038,0.046052796500069756,0.30505484129701343
