epoch,train_loss,val_window_mae_kwh,grad_norm,w_window,l_window
0.0,0.2378903685935906,,4.854588077320522,0.2378903685935906,0.2378903685935906
1.0,0.13558475912681647,,5.305181670059655,0.13558475912681647,0.13558475912681647
2.0,0.09757267045123237,,4.925458663265984,0.09757267045123237,0.09757267045123237
3.0,0.17804045735725335,,4.627443197683124,0.17804045735725335,0.17804045735725335
4.0,0.11781321040221623,,4.878081286461735,0.11781321040221623,0.11781321040221623
5.0,0.13349254988133907,,5.049972041947938,0.13349254988133907,0.13349254988133907
6.0,0.1219592174249036,,4.448428054703271,0.1219592174249036,0.1219592174249036
7.0,0.06761768646538258,,4.127891808992558,0.06761768646538258,0.06761768646538258
8.0,0.08474644938749927,,4.394144513535687,0.08474644938749927,0.08474644938749927
9.0,0.1006520406476089,,4.364217773849974,0.1006520406476089,0.1006520406476089
10.0,0.09891973515706402,,4.5807906416936195,0.09891973515706402,0.09891973515706402
11.0,0.1157813101474728,,4.35612885600555,0.1157813101474728,0.1157813101474728
12.0,0.07071773534906763,,3.9896930633326835,0.07071773534906763,0.07071773534906763
13.0,0.07376274732606751,,4.2566630216650925,0.07376274732606751,0.07376274732606751
14.0,0.08852541393467359,,4.001301878649467,0.08852541393467359,0.08852541393467359
15.0,0.09145670490605491,,4.35892921949432,0.09145670490605491,0.09145670490605491
16.0,0.11181675483073507,,4.209945141800511,0.11181675483073507,0.11181675483073507
17.0,0.06890637161476272,,3.92394497840957,0.06890637161476272,0.06890637161476272
18.0,0.06625139806419611,,3.936246377078476,0.06625139806419611,0.06625139806419611
19.0,0.0940475117947374,,4.114771102504379,0.0940475117947374,0.0940475117947374
20.0,0.08117425015994481,,4.166616466921985,0.08117425015994481,0.08117425015994481
21.0,0.0983620501522507,,3.8338058671522046,0.0983620501522507,0.0983620501522507
22.0,0.064204533717462,,3.8715984571984516,0.064204533717462,0.064204533717462
23.0,0.10267389326223306,,3.8763558486883523,0.10267389326223306,0.10267389326223306
24.0,0.06626598936106477,,3.770177144544816,0.06626598936106477,0.06626598936106477
25.0,0.0760675288204636,,3.929732066785047,0.0760675288204636,0.0760675288204636
26.0,0.09670122845896653,,4.088540173028958,0.09670122845896653,0.09670122845896653
27.0,0.09044422528573445,,3.9622495496262258,0.09044422528573445,0.09044422528573445
28.0,0.06413799737180982,,3.7716802991199563,0.06413799737180982,0.06413799737180982
29.0,0.09646752317036901,,3.6626501645206067,0.09646752317036901,0.09646752317036901
30.0,0.06088861929518836,,3.662823694573215,0.06088861929518836,0.06088861929518836
31.0,0.074264295399189,,3.842539392005828,0.074264295399189,0.074264295399189
32.0,0.08947474057120937,,4.028178938617353,0.08947474057120937,0.08947474057120937
33.0,0.08620467276445457,,3.727587531928571,0.08620467276445457,0.08620467276445457
34.0,0.06930172576435975,,3.8207606285720876,0.06930172576435975,0.06930172576435975
35.0,0.09316373536629337,,3.879596246140331,0.09316373536629337,0.09316373536629337
36.0,0.0631676082100187,,3.530611594435887,0.0631676082100187,0.0631676082100187
37.0,0.09475536404975823,,3.6410385353810417,0.09475536404975823,0.09475536404975823
38.0,0.05896347335406712,,3.4554122093812305,0.05896347335406712,0.05896347335406712
39.0,0.07283220972333636,,3.7040075063657403,0.07283220972333636,0.07283220972333636
40.0,0.09008677596492427,,3.9673875941791805,0.09008677596492427,0.09008677596492427
41.0,0.07825884435858045,,3.677410500748524,0.07825884435858045,0.07825884435858045
42.0,0.06879498117736407,,3.686225317451125,0.06879498117736407,0.06879498117736407
43.0,0.08555417587714535,,3.7300485533570975,0.08555417587714535,0.08555417587714535
44.0,0.06373210969780173,,3.654705831268766,0.06373210969780173,0.06373210969780173
45.0,0.08709411323070526,,3.5714572575878405,0.08709411323070526,0.08709411323070526
46.0,0.062078994033592086,,3.4326178184648732,0.062078994033592086,0.062078994033592086
47.0,0.06614599523267575,,3.5302161179151144,0.06614599523267575,0.06614599523267575
48.0,0.06655337022883552,,3.5091685136627397,0.06655337022883552,0.06655337022883552
49.0,0.08740934410265513,,3.4747004490159132,0.08740934410265513,0.08740934410265513
50.0,0.06514584512582847,,3.5889054368736866,0.06514584512582847,0.06514584512582847
51.0,0.06426624887223754,,3.464656667908433,0.06426624887223754,0.06426624887223754
52.0,0.06496593542397022,,3.4990085552627472,0.06496593542397022,0.06496593542397022
53.0,0.08548130707017013,,3.699365757288359,0.08548130707017013,0.08548130707017013
54.0,0.07503887425575938,,3.4093518814333272,0.07503887425575938,0.07503887425575938
55.0,0.06688179661120687,,3.494955710325019,0.06688179661120687,0.06688179661120687
56.0,0.0812961935464825,,3.6144479639667817,0.0812961935464825,0.0812961935464825
57.0,0.06055888946035078,,3.476932004255743,0.06055888946035078,0.06055888946035078
58.0,0.06335132396114725,,3.3804210868609053,0.06335132396114725,0.06335132396114725
59.0,0.06634530611336231,,3.5097041019454056,0.06634530611336231,0.06634530611336231
60.0,0.0839907710573503,,3.427060384620778,0.0839907710573503,0.0839907710573503
61.0,0.05975643199469362,,3.3897567019228494,0.05975643199469362,0.05975643199469362
62.0,0.06238251472158091,,3.423828582033067,0.06238251472158091,0.06238251472158091
63.0,0.0636353495397738,,3.5213349205599767,0.0636353495397738,0.0636353495397738
64.0,0.08602726060364928,,3.3679748813574277,0.08602726060364928,0.08602726060364928
65.0,0.059723139075296264,,3.3756421710403903,0.059723139075296264,0.059723139075296264
66.0,0.06325252939547811,,3.3506323041764325,0.06325252939547811,0.06325252939547811
67.0,0.06287982580917222,,3.474906853308005,0.06287982580917222,0.06287982580917222
68.0,0.0841999716524567,,3.4862899052221112,0.0841999716524567,0.0841999716524567
69.0,0.057237133516797,,3.4354882717309345,0.057237133516797,0.057237133516797
70.0,0.06170388191406216,,3.346967668796784,0.06170388191406216,0.06170388191406216
71.0,0.0628028924443892,,3.3630741906324793,0.0628028924443892,0.0628028924443892
72.0,0.08363787590392999,,3.3041577916159715,0.08363787590392999,0.08363787590392999
73.0,0.06219518344317164,,3.4413943325181724,0.06219518344317164,0.06219518344317164
74.0,0.061643646630857675,,3.3602986037272506,0.061643646630857675,0.061643646630857675
75.0,0.08655792048999242,,3.350577168179658,0.08655792048999242,0.08655792048999242
76.0,0.05936792679131031,,3.4731856970581556,0.05936792679131031,0.05936792679131031
77.0,0.06052929229502167,,3.468826316969758,0.06052929229502167,0.06052929229502167
78.0,0.06546385027468204,,3.2814593026824306,0.06546385027468204,0.06546385027468204
79.0,0.0795485834990229,,3.5436251021980945,0.0795485834990229,0.0795485834990229
80.0,0.07398911831634385,,3.454243168846518,0.07398911831634385,0.07398911831634385
81.0,0.0680278984031507,,3.459373005860306,0.0680278984031507,0.0680278984031507
82.0,0.06402384795780693,,3.5559915141724336,0.06402384795780693,0.06402384795780693
83.0,0.08490511748407568,,3.735767521216828,0.08490511748407568,0.08490511748407568
84.0,0.07140121582363333,,3.3985597017538294,0.07140121582363333,0.07140121582363333
85.0,0.07045335748365947,,3.6052656283282416,0.07045335748365947,0.07045335748365947
86.0,0.07398828837488379,,3.402828967457231,0.07398828837488379,0.07398828837488379
87.0,0.06628620318536248,,3.587013462732243,0.06628620318536248,0.06628620318536248
88.0,0.081936990576131,,3.630800523584173,0.081936990576131,0.081936990576131
