epoch,train_loss,val_window_mae_kwh,grad_norm,w_window,l_prior,l_boundary,w_state,dynamics_residual_mae,w_prior,l_state,l_dynamics,loss,w_boundary,dynamics_residual_rmse,l_window,w_dynamics
0.0,1.8917978497651906,,0.7987859929384276,0.13173430699568528,0.0013197713850296657,0.0,1.759515670629648,0.015377728411784539,0.00013197713850296658,17.595156706296482,0.0004158406966150953,1.8917978497651906,0.0,0.020003038171965342,0.13173430699568528,0.0004158406966150953
1.0,1.798145523438087,,0.9152967738606783,0.07062307845514554,0.02990103118085804,0.0,1.723493873156034,0.02045814048212308,0.0029901031180858038,17.23493873156034,0.001038412214256823,1.798145523438087,0.0,0.02998038875655486,0.07062307845514554,0.001038412214256823
2.0,1.6768478109286382,,1.1345117194950185,0.06550033275897686,0.07414695727997102,0.0,1.5904184671548696,0.04381807893514633,0.007414695727997101,15.904184671548697,0.013514333583701115,1.6768478109286382,0.0,0.10675496350114162,0.06550033275897686,0.013514333583701115
3.0,1.5788985399099498,,1.057868039369053,0.0649610382433121,0.05617963107159504,0.0,1.4480982817136325,0.08794123020309669,0.005617963107159504,14.480982817136324,0.06022126313585501,1.5788985399099498,0.0,0.2419700209911053,0.0649610382433121,0.06022126313585501
4.0,1.5164573788642883,,0.9571656951367716,0.05552265248619593,0.05353252489406329,0.0,1.3815831441145678,0.10333988958826432,0.005353252489406329,13.815831441145678,0.07399831024500039,1.5164573788642883,0.0,0.260989805826774,0.05552265248619593,0.07399831024500039
5.0,1.4838588283612177,,1.0460618526738668,0.06308673092952141,0.04378246315396749,0.0,1.3469811292795033,0.1023534949009235,0.004378246315396749,13.469811292795034,0.06941271917178081,1.4838588283612177,0.0,0.25467456304110014,0.06308673092952141,0.06941271917178081
6.0,1.4433827308508067,,1.0872146231359319,0.058165285019920424,0.03524100379301952,0.0,1.3075429256145772,0.10626908047841145,0.0035241003793019515,13.075429256145771,0.07415041298820423,1.4433827308508067,0.0,0.2649885599429791,0.058165285019920424,0.07415041298820423
7.0,1.4022273879784803,,1.1464236461916093,0.05738306905214603,0.044256652562090985,0.0,1.2687197795281042,0.1046374010351988,0.0044256652562091,12.687197795281044,0.07169887996636905,1.4022273879784803,0.0,0.26310359285427976,0.05738306905214603,0.07169887996636905
8.0,1.3824525062854474,,1.3079958725935694,0.06752769505748382,0.03639015662842072,0.0,1.2418311302478495,0.10197229110277616,0.0036390156628420722,12.418311302478497,0.0694546579168393,1.3824525062854474,0.0,0.2599555299832271,0.06752769505748382,0.0694546579168393
9.0,1.3439054764234102,,1.2828340551998676,0.05816832843881387,0.04145968157368211,0.0,1.2161429185133714,0.1006823995938668,0.00414596815736821,12.161429185133715,0.0654482007599794,1.3439054764234102,0.0,0.2527511761738704,0.05816832843881387,0.0654482007599794
