trip_id,trajectory,method,seed,distance_km,duration_s,observed_energy_kwh,predicted_energy_kwh,signed_error_kwh,absolute_error_kwh,percentage_error,heldout_trajectory
T1_03_29_2021,T1,physics,0,49.61069722222272,6198.0,4.3524,2.871975268094043,-1.4804247319059574,1.4804247319059574,-34.01398612043831,T1
T1_03_29_2021,T1,elasticnet,0,49.61069722222272,6198.0,4.3524,3.8493123974562122,-0.503087602543788,0.503087602543788,-11.558854943106976,T1
T1_03_29_2021,T1,weak_mlp,0,49.61069722222272,6198.0,4.3524,3.830715213484234,-0.5216847865157663,0.5216847865157663,-11.986140669877914,T1
T1_03_29_2021,T1,pinn,0,49.61069722222272,6198.0,4.3524,4.135004183517562,-0.2173958164824379,0.2173958164824379,-4.994849197740049,T1
T1_06_30_2021_1,T1,physics,0,45.64408055555533,5233.0,3.8184000000000005,2.753227787393527,-1.0651722126064733,1.0651722126064733,-27.895773428830747,T1
T1_06_30_2021_1,T1,elasticnet,0,45.64408055555533,5233.0,3.8184000000000005,3.608621837228494,-0.20977816277150652,0.20977816277150652,-5.4938760415751755,T1
T1_06_30_2021_1,T1,weak_mlp,0,45.64408055555533,5233.0,3.8184000000000005,4.048138442635536,0.22973844263553556,0.22973844263553556,6.016615405288485,T1
T1_06_30_2021_1,T1,pinn,0,45.64408055555533,5233.0,3.8184000000000005,4.125568040841156,0.30716804084115523,0.30716804084115523,8.044417579120973,T1
T1_06_30_2021_2,T1,physics,0,44.347602777777496,5902.0,3.6215999999999995,2.471605535958361,-1.1499944640416384,1.1499944640416384,-31.7537680594665,T1
T1_06_30_2021_2,T1,elasticnet,0,44.347602777777496,5902.0,3.6215999999999995,3.533324211292662,-0.08827578870733754,0.08827578870733754,-2.4374803597122146,T1
T1_06_30_2021_2,T1,weak_mlp,0,44.347602777777496,5902.0,3.6215999999999995,3.402223194804457,-0.2193768051955427,0.2193768051955427,-6.057455411849534,T1
T1_06_30_2021_2,T1,pinn,0,44.347602777777496,5902.0,3.6215999999999995,3.6214714300787696,-0.00012856992122989297,0.00012856992122989297,-0.003550086183727993,T1
T1_07_01_2021,T1,physics,0,37.8237152777776,4534.0,3.3528,2.2181726563141986,-1.1346273436858012,1.1346273436858012,-33.84118777397403,T1
T1_07_01_2021,T1,elasticnet,0,37.8237152777776,4534.0,3.3528,3.1007846407223374,-0.2520153592776624,0.2520153592776624,-7.516564044311095,T1
T1_07_01_2021,T1,weak_mlp,0,37.8237152777776,4534.0,3.3528,3.271969682706727,-0.08083031729327272,0.08083031729327272,-2.4108302700212576,T1
