epoch,train_loss,val_window_mae_kwh,grad_norm,w_state,loss,w_window,l_window,l_state
0.0,2.4681214913725853,,7.236220298145965,2.125360834598541,2.4681214913725853,0.34276063553988934,0.34276063553988934,21.253608345985413
1.0,2.2163661904633045,,6.799201600918836,2.094316390156746,2.2163661904633045,0.12204978335648775,0.12204978335648775,20.94316390156746
2.0,2.1193916350603104,,7.107947506028323,1.9806003242731096,2.1193916350603104,0.13879130850546062,0.13879130850546062,19.806003242731094
3.0,1.94324591755867,,6.786005119459222,1.8088024348020553,1.94324591755867,0.13444343605078757,0.13444343605078757,18.088024348020554
4.0,1.8808904476463795,,8.072328529994596,1.7078166514635087,1.8808904476463795,0.17307376046665013,0.17307376046665013,17.078166514635086
5.0,1.8085762336850166,,7.359334997708734,1.6024076253175736,1.8085762336850166,0.20616857591085136,0.20616857591085136,16.024076253175735
6.0,1.618395071476698,,7.4692691279519146,1.5203316420316697,1.618395071476698,0.0980633762665093,0.0980633762665093,15.203316420316696
7.0,1.5703109800815582,,8.881336252402983,1.4509626418352128,1.5703109800815582,0.11934831971302629,0.11934831971302629,14.509626418352127
8.0,1.6236547082662582,,9.431590433841112,1.4024303734302521,1.6236547082662582,0.22122432989999652,0.22122432989999652,14.02430373430252
9.0,1.5932485051453114,,9.426539275692063,1.3630652904510498,1.5932485051453114,0.23018319183029234,0.23018319183029234,13.630652904510498
10.0,1.4273767657577991,,7.722708659736609,1.3359064280986788,1.4273767657577991,0.09147030580788851,0.09147030580788851,13.359064280986786
11.0,1.4150956086814404,,7.949977954379792,1.3042127639055252,1.4150956086814404,0.11088282032869756,0.11088282032869756,13.042127639055252
12.0,1.4380353949964046,,7.970233088985088,1.2713956236839294,1.4380353949964046,0.16663974057883024,0.16663974057883024,12.713956236839294
13.0,1.3633929397910833,,8.027316509806791,1.204558402299881,1.3633929397910833,0.1588345319032669,0.1588345319032669,12.04558402299881
14.0,1.324345113709569,,7.544501579512146,1.1917943120002747,1.324345113709569,0.13255078252404928,0.13255078252404928,11.917943120002747
15.0,1.3120217211544514,,7.520446213010609,1.1237513095140457,1.3120217211544514,0.18827039608731866,0.18827039608731866,11.237513095140457
16.0,1.154656233265996,,6.950727564230486,1.075902509689331,1.154656233265996,0.0787537123542279,0.0787537123542279,10.75902509689331
17.0,1.1455472260713577,,7.346556610852985,1.028045466542244,1.1455472260713577,0.11750173941254616,0.11750173941254616,10.28045466542244
18.0,1.092731237411499,,7.295472277129276,0.998500967025757,1.092731237411499,0.09423026069998741,0.09423026069998741,9.985009670257568
19.0,1.0781170073896646,,7.476078600179865,0.9318664386868477,1.0781170073896646,0.14625054737553,0.14625054737553,9.318664386868477
20.0,0.9958214852958918,,7.193902284307303,0.8854732125997544,0.9958214852958918,0.11034824210219085,0.11034824210219085,8.854732125997543
21.0,0.9899518955498934,,7.027332279702236,0.8327382266521455,0.9899518955498934,0.15721365856006742,0.15721365856006742,8.327382266521454
