epoch,train_loss,val_window_mae_kwh,grad_norm,w_state,dynamics_residual_rmse,w_boundary,l_dynamics,loss,w_window,dynamics_residual_mae,w_prior,l_window,w_dynamics,l_prior,l_boundary,l_state
0.0,2.7807830050587654,,5.998262486268539,2.1055900901556015,0.018654026498552412,0.0,0.0003697847432704293,2.7807830050587654,0.674476770684123,0.01410515425959602,0.00034633318509804675,0.674476770684123,0.0003697847432704293,0.0034633318509804667,0.0,21.055900901556015
1.0,2.3227959536015987,,8.121467193123562,2.074412110447884,0.026520133658777922,0.0,0.0008073561184573919,2.3227959536015987,0.2446659660708974,0.01816776947816834,0.00291043576435186,0.2446659660708974,0.0008073561184573919,0.029104357643518597,0.0,20.744121104478836
2.0,2.1934858597815037,,7.9168715004293,1.96154160797596,0.08128813374787569,0.0,0.008261254093667958,2.1934858597815037,0.21942049357676296,0.033232432091608644,0.0042624348716344684,0.21942049357676296,0.008261254093667958,0.042624348716344684,0.0,19.615416079759598
3.0,2.03464587777853,,7.934299485179789,1.7632991552352908,0.24932674411684275,0.0,0.06686360284220427,2.03464587777853,0.20158727350644767,0.08266408275812864,0.002895866765175015,0.20158727350644767,0.06686360284220427,0.028958667651750147,0.0,17.632991552352905
4.0,2.01460450142622,,7.633022999145023,1.670412802696228,0.3044119291007519,0.0,0.09573781746439636,2.01460450142622,0.24429378763306886,0.11296093184500933,0.004160086065530777,0.24429378763306886,0.09573781746439636,0.04160086065530777,0.0,16.70412802696228
5.0,1.9323515333235264,,8.158920544033382,1.6153736859560013,0.28942411579191685,0.0,0.08563723927363753,1.9323515333235264,0.22750913043273613,0.11000228766351938,0.003831462364178151,0.22750913043273613,0.08563723927363753,0.03831462364178151,0.0,16.153736859560013
6.0,1.8567672818899155,,7.867271211602234,1.5632318019866944,0.30006094835698605,0.0,0.09173175925388932,1.8567672818899155,0.1988195984158665,0.11668364983052015,0.002984100137837231,0.1988195984158665,0.09173175925388932,0.02984100137837231,0.0,15.632318019866943
7.0,1.7985584698617458,,8.163593023231446,1.5153811633586884,0.28750930074602365,0.0,0.08461521146818995,1.7985584698617458,0.19550935737788677,0.11056858347728848,0.003052685351576656,0.19550935737788677,0.08461521146818995,0.03052685351576656,0.0,15.153811633586884
8.0,1.7479658797383308,,8.294309000020279,1.4674730837345122,0.29765218682587147,0.0,0.09018335840664804,1.7479658797383308,0.18701661354862154,0.11266981950029731,0.0032928243104834113,0.18701661354862154,0.09018335840664804,0.03292824310483411,0.0,14.674730837345123
9.0,1.7312538847327232,,8.337454313297041,1.427563238143921,0.29066098667681217,0.0,0.08718488272279501,1.7312538847327232,0.21382360014831647,0.10562416538596153,0.002682153292698786,0.21382360014831647,0.08718488272279501,0.026821532926987857,0.0,14.275632381439209
10.0,1.6687108352780342,,8.472868493597336,1.386681541800499,0.2837267266586423,0.0,0.08272033045068383,1.6687108352780342,0.19518168363720179,0.1049793940037489,0.004127257264917717,0.19518168363720179,0.08272033045068383,0.041272572649177164,0.0,13.86681541800499
11.0,1.644264992326498,,8.624318203873786,1.3403306394815444,0.2886254610493779,0.0,0.08649315359070897,1.644264992326498,0.21390607161447406,0.10216068429872394,0.003535126324277371,0.21390607161447406,0.08649315359070897,0.03535126324277371,0.0,13.403306394815445
