epoch,train_loss,val_window_mae_kwh,grad_norm,w_state,dynamics_residual_rmse,w_boundary,l_dynamics,loss,w_window,dynamics_residual_mae,w_prior,l_window,w_dynamics,l_prior,l_boundary,l_state
0.0,2.6472031846642494,,5.37140776834152,1.99105364382267,0.01910971343750134,0.0,0.000387172847695183,2.6472031846642494,0.6554401777684689,0.014651367033366114,0.0003221419711735507,0.6554401777684689,0.000387172847695183,0.003221419711735507,0.0,19.9105364382267
1.0,2.176813054829836,,7.303257432322843,1.9638880133628844,0.025444551545660943,0.0,0.0007160292898333864,2.176813054829836,0.2080838470137678,0.01899887138279155,0.0041251331334933635,0.2080838470137678,0.0007160292898333864,0.04125133133493364,0.0,19.638880133628845
2.0,2.2056229040026665,,7.603809493525186,1.8612021118402482,0.07353941921610385,0.0,0.006735565348208183,2.2056229040026665,0.3338602731237188,0.03249907668214291,0.003824902669293806,0.3338602731237188,0.006735565348208183,0.03824902669293806,0.0,18.61202111840248
3.0,1.8972693234682083,,7.106796741555474,1.6744126081466675,0.21008651982992887,0.0,0.04674503894057125,1.8972693234682083,0.1715799865196459,0.07695874059572816,0.00453163865604438,0.1715799865196459,0.04674503894057125,0.04531638656044379,0.0,16.744126081466675
4.0,1.91453130915761,,7.52242485015854,1.5491061508655548,0.3017519377171993,0.0,0.09320881590247154,1.91453130915761,0.2674816573271528,0.1147011648863554,0.004734681331319735,0.2674816573271528,0.09320881590247154,0.047346813313197345,0.0,15.491061508655548
5.0,1.772587239742279,,7.260696623815894,1.4982283204793931,0.2801473094150424,0.0,0.08248590980656445,1.772587239742279,0.18756134109571576,0.11402077740058303,0.0043116441229358315,0.18756134109571576,0.08248590980656445,0.043116441229358315,0.0,14.98228320479393
6.0,1.7386435456573963,,7.453862170487267,1.4521778434515,0.291406923905015,0.0,0.08739309618249536,1.7386435456573963,0.19560678296693368,0.11827219510450959,0.0034658016345929356,0.19560678296693368,0.08739309618249536,0.034658016345929354,0.0,14.521778434515
7.0,1.6898743137717247,,7.385989265518057,1.404535958170891,0.2821720587089658,0.0,0.08204749436117709,1.6898743137717247,0.1990447505377233,0.11327926581725478,0.00424608236644417,0.1990447505377233,0.08204749436117709,0.042460823664441705,0.0,14.045359581708908
8.0,1.6653129644691944,,7.6172406887939665,1.359126329421997,0.2861074535176158,0.0,0.08501245244406164,1.6653129644691944,0.2178579954779707,0.11177864344790578,0.0033161748666316274,0.2178579954779707,0.08501245244406164,0.03316174866631627,0.0,13.59126329421997
9.0,1.5806204490363598,,7.4053236593456395,1.3250331014394763,0.2753628473728895,0.0,0.07934827264398336,1.5806204490363598,0.1715090653160587,0.10835223319008946,0.004729971016058698,0.1715090653160587,0.07934827264398336,0.04729971016058698,0.0,13.25033101439476
10.0,1.6298006251454353,,7.823263438694113,1.2942869693040848,0.2722701393067837,0.0,0.0767185331787914,1.6298006251454353,0.25389050430385396,0.10587723646312952,0.004904593963874504,0.25389050430385396,0.0767185331787914,0.04904593963874504,0.0,12.942869693040848
11.0,1.5127713717520237,,7.540148192199383,1.242581069469452,0.285234235227108,0.0,0.08593406458385289,1.5127713717520237,0.17887479118508054,0.1064260401763022,0.00538146382314153,0.17887479118508054,0.08593406458385289,0.0538146382314153,0.0,12.425810694694519
12.0,1.5877939127385616,,7.84393039976181,1.2057727053761482,0.28292590752243996,0.0,0.08479251805692911,1.5877939127385616,0.29285160608560545,0.10393546847626567,0.004377076099626721,0.29285160608560545,0.08479251805692911,0.0437707609962672,0.0,12.057727053761482
13.0,1.482563029974699,,7.066407912913149,1.1680558636784553,0.2695697471499443,0.0,0.0775340455584228,1.482563029974699,0.23315594904124737,0.10327533213421702,0.0038171534717548646,0.23315594904124737,0.0775340455584228,0.03817153471754864,0.0,11.680558636784554
14.0,1.3635119572281837,,7.336890446686466,1.1355561017990112,0.2503219023346901,0.0,0.06542859727051109,1.3635119572281837,0.15696642157854512,0.09963002055883408,0.0055608014110475786,0.15696642157854512,0.06542859727051109,0.05560801411047578,0.0,11.355561017990112
15.0,1.32924135774374,,7.371464994761231,1.075682745873928,0.26309088710695505,0.0,0.07386277138721198,1.32924135774374,0.1749190188711509,0.09897631825879216,0.004776796326041222,0.1749190188711509,0.07386277138721198,0.047767963260412216,0.0,10.75682745873928
16.0,1.2656939812004566,,7.216551960116346,1.030441977083683,0.24500671215355396,0.0,0.0631042729364708,1.2656939812004566,0.16613044182304293,0.09675826830789447,0.006017252337187529,0.16613044182304293,0.0631042729364708,0.060172523371875286,0.0,10.30441977083683
17.0,1.2641344293951988,,7.509532273740505,0.9793792828917505,0.24454776290804148,0.0,0.06335719814524055,1.2641344293951988,0.21590794756775722,0.09381413669325411,0.005489977088291198,0.21590794756775722,0.06335719814524055,0.05489977088291198,0.0,9.793792828917503
18.0,1.1520818397402763,,7.197167810356824,0.9227765306830406,0.22728342562913895,0.0,0.054414378362707794,1.1520818397402763,0.16873202769784257,0.0923622865229845,0.00615890565677546,0.16873202769784257,0.054414378362707794,0.061589056567754596,0.0,9.227765306830406
19.0,1.1221233755350113,,7.419961995723963,0.8694264456629754,0.22343862894922495,0.0,0.0529233876732178,1.1221233755350113,0.19469582452438772,0.0893299572635442,0.005077698966488242,0.19469582452438772,0.0529233876732178,0.05077698966488242,0.0,8.694264456629753
20.0,1.0471035204827785,,7.087990395629716,0.8144670024514199,0.20789396716281772,0.0,0.045341980818193406,1.0471035204827785,0.18112879275577143,0.0868444589432329,0.006165740510914475,0.18112879275577143,0.045341980818193406,0.06165740510914475,0.0,8.144670024514198
21.0,1.0502721685916185,,7.481096785253293,0.7607248514890671,0.20608275523409247,0.0,0.04535684979055077,1.0502721685916185,0.23818422795739025,0.08256575232371688,0.006006223184522241,0.23818422795739025,0.04535684979055077,0.060062231845222414,0.0,7.607248514890671
22.0,0.9244658928364515,,7.012469338018347,0.7010148078203201,0.19104371080175042,0.0,0.038354660442564636,0.9244658928364515,0.17890583024563966,0.08119197748601437,0.006190587987657636,0.17890583024563966,0.038354660442564636,0.061905879876576364,0.0,7.010148078203201
23.0,0.8823732957243919,,7.154571254752785,0.6455293819308281,0.1884125298820436,0.0,0.03783309867139906,0.8823732957243919,0.19353047195364326,0.07741367700509727,0.005480345326941461,0.19353047195364326,0.03783309867139906,0.054803453269414604,0.0,6.455293819308281
24.0,0.8364784177392721,,6.929433174483986,0.5915713131427764,0.1739613050594926,0.0,0.031656801933422685,0.8364784177392721,0.20801172632491216,0.07478225091472268,0.005238561483565718,0.20801172632491216,0.031656801933422685,0.05238561483565718,0.0,5.915713131427765
25.0,0.7085753194987774,,7.029199673056171,0.5307344496250153,0.16892234049737453,0.0,0.02975358592811972,0.7085753194987774,0.1423530299216509,0.07247748365625739,0.005734236724674702,0.1423530299216509,0.02975358592811972,0.05734236724674702,0.0,5.307344496250153
26.0,0.6851086188107729,,7.061387189146495,0.49563222676515584,0.15397480130195618,0.0,0.024803978390991688,0.6851086188107729,0.15942244412144646,0.06735845562070608,0.005249947891570628,0.15942244412144646,0.024803978390991688,0.05249947891570628,0.0,4.956322267651558
