epoch,train_loss,val_window_mae_kwh,grad_norm,dynamics_residual_rmse,loss,w_dynamics,w_state,l_prior,dynamics_residual_mae,w_window,l_window,l_dynamics,w_prior,w_boundary,l_state,l_boundary,val_mae_soc_event_0.1,val_mae_soc_event_0.2,val_mae_soc_event_0.5,val_mae_time_60s,val_mae_time_120s,val_mae_time_300s,val_mae_time_600s,val_mae_full_trip
0.0,2.0241020826193004,0.07752835005521774,0.8288487132597978,0.019641721334594946,2.0241020826193004,0.0004037630614430572,1.8888470062842737,0.0019213525037440166,0.015007440717174457,0.13465912009661013,0.13465912009661013,0.0004037630614430572,0.0001921352503744017,0.0,18.888470062842735,0.0,0.013572209514677525,0.013800904154777527,0.015510737895965576,0.01386395376175642,0.022270381450653076,0.04795089736580849,0.06973440945148468,0.42352330684661865
1.0,1.9277717883770282,0.08944855153094977,0.9687233943386371,0.028890787767103084,1.9277717883770282,0.0009684950390902276,1.8551194264338566,0.03779397392645478,0.02021403732494666,0.06790444827996768,0.06790444827996768,0.0009684950390902276,0.003779397392645478,0.0,18.551194264338566,0.0,0.013176550157368183,0.013246260583400726,0.015513308346271515,0.012704107910394669,0.021435851231217384,0.04679872468113899,0.08586002886295319,0.5068535804748535
2.0,1.8096513473070586,0.047731577418744564,1.1768933811906181,0.10404988206349887,1.8096513473070586,0.01313117490364955,1.7223343482384317,0.05920918386142988,0.042216379195451736,0.06826484231994702,0.06826484231994702,0.01313117490364955,0.005920918386142988,0.0,17.223343482384315,0.0,0.012183927930891514,0.01235374715179205,0.014213376678526402,0.012237642891705036,0.019498677924275398,0.04170000180602074,0.05835609510540962,0.21130914986133575
3.0,1.6946629515061011,0.07019461353775114,1.03738081231874,0.240719192303144,1.6946629515061011,0.05962882133630606,1.5752438838665304,0.058709474781957954,0.08789313957095146,0.053919289977504656,0.053919289977504656,0.05962882133630606,0.005870947478195796,0.0,15.752438838665302,0.0,0.012246152386069298,0.012485357001423836,0.014641305431723595,0.012235109694302082,0.01994437351822853,0.04365508630871773,0.07374220341444016,0.3726073205471039
4.0,1.630455493927002,0.04698637861292809,1.1621361288567111,0.2678631188777777,1.630455493927002,0.07648240416668929,1.4859788271097036,0.04928562775827371,0.10270610852883412,0.06306569478832759,0.06306569478832759,0.07648240416668929,0.004928562775827371,0.0,14.859788271097036,0.0,0.012036819010972977,0.012262069620192051,0.014244446530938148,0.012135446071624756,0.019351284950971603,0.040084682404994965,0.060007382184267044,0.2057688981294632
5.0,1.574758460888496,0.060387971927411854,1.205891473968143,0.2673373038952167,1.574758460888496,0.07576476281078962,1.4397623318892259,0.03970872696775656,0.1048495603295473,0.05526043102145195,0.05526043102145195,0.07576476281078962,0.003970872696775657,0.0,14.39762331889226,0.0,0.012307434342801571,0.01256715226918459,0.014602054841816425,0.012329895049333572,0.01979343593120575,0.0412614531815052,0.06434690207242966,0.30589544773101807
6.0,1.5357018571633558,0.06443321355618536,1.3514886810889866,0.2789785380546863,1.5357018571633558,0.08172544607749352,1.3917838426736684,0.03622387757954689,0.10651589471560258,0.05857015300828677,0.05857015300828677,0.08172544607749352,0.0036223877579546894,0.0,13.917838426736685,0.0,0.012592186219990253,0.01276866439729929,0.014831488020718098,0.01240717526525259,0.020255625247955322,0.041149504482746124,0.06682294607162476,0.3346381187438965
7.0,1.4957904448876014,0.09376670676283538,1.3434334272837927,0.2771270779462961,1.4957904448876014,0.08072064329798405,1.3585927009582517,0.05060777243656608,0.10475237380999786,0.05141631298913406,0.05141631298913406,0.08072064329798405,0.005060777243656608,0.0,13.58592700958252,0.0,0.013585899956524372,0.013816239312291145,0.016109611839056015,0.013331540860235691,0.022471873089671135,0.04906822368502617,0.08674511313438416,0.5350051522254944
8.0,1.4933242431053748,0.06525916850659996,1.5499472674654062,0.27281560691503376,1.4933242431053748,0.07837149916360012,1.3371368591602033,0.04930076447243874,0.10336245309848052,0.07288576633884357,0.07288576633884357,0.07837149916360012,0.004930076447243873,0.0,13.371368591602032,0.0,0.012664297595620155,0.012846328318119049,0.014908797107636929,0.012413466349244118,0.02039296366274357,0.041446417570114136,0.06709661334753036,0.3403044641017914
9.0,1.4489614138236413,0.11398513906169683,1.4288008855670602,0.27355108238183534,1.4489614138236413,0.07865900775560966,1.3135675907135007,0.052596748913996495,0.10573804493133838,0.05147510566390478,0.05147510566390478,0.07865900775560966,0.005259674891399649,0.0,13.13567590713501,0.0,0.014403382316231728,0.014610515907406807,0.01701892912387848,0.013883125968277454,0.024197079241275787,0.05450603365898132,0.10106679052114487,0.6721952557563782
10.0,1.451673516860375,0.08059523405972868,1.6139897278856241,0.2741143863934737,1.451673516860375,0.07863358408212662,1.2955883906437802,0.0568103536676902,0.1056947112083435,0.0717704794727839,0.0717704794727839,0.07863358408212662,0.005681035366769021,0.0,12.955883906437801,0.0,0.013053066097199917,0.013195773586630821,0.015319009311497211,0.012602253817021847,0.021207008510828018,0.04373811185359955,0.07556148618459702,0.4500851631164551
11.0,1.4155027591265166,0.06967393239028752,1.5396261088625505,0.2728555580744377,1.4155027591265166,0.07818168201125585,1.2723139322721042,0.03707276564091444,0.10675688775686118,0.061299821361899376,0.061299821361899376,0.07818168201125585,0.0037072765640914444,0.0,12.72313932272104,0.0,0.012734124436974525,0.012897114269435406,0.014977561309933662,0.0123892268165946,0.020543832331895828,0.042208991944789886,0.06912028044462204,0.3725203275680542
12.0,1.3884230393629808,0.09681377140805125,1.5118112883258044,0.2667138840143497,1.3884230393629808,0.07462884714970222,1.2582105783315807,0.05188569702351323,0.10472334491518828,0.05039502594333429,0.05039502594333429,0.07462884714970222,0.005188569702351322,0.0,12.582105783315805,0.0,0.013729189522564411,0.013913160189986229,0.01621304452419281,0.013334444724023342,0.022559193894267082,0.04976671561598778,0.0888213962316513,0.5561730265617371
13.0,1.3889726125277007,0.06323219486512244,1.6584782306732526,0.2705413206265523,1.3889726125277007,0.07721253942984801,1.2359745612511266,0.051803864108828396,0.1057854420863665,0.07060510120712794,0.07060510120712794,0.07721253942984801,0.00518038641088284,0.0,12.359745612511269,0.0,0.012547298334538937,0.012766897678375244,0.014842778444290161,0.012302073650062084,0.02018849551677704,0.04174257069826126,0.0648823007941246,0.32658514380455017
14.0,1.3424540528884301,0.1051070416579023,1.4999091830143354,0.2655769300002318,1.3424540528884301,0.07462810352444649,1.2137789029341481,0.05345247263232103,0.10517791085518323,0.04870181115200886,0.04870181115200886,0.07462810352444649,0.005345247263232102,0.0,12.137789029341478,0.0,0.013946732506155968,0.014128303155303001,0.016503343358635902,0.013427474536001682,0.023123478516936302,0.05144411325454712,0.09542125463485718,0.6128616333007812
