epoch,train_loss,val_window_mae_kwh,grad_norm,dynamics_residual_rmse,loss,w_dynamics,w_state,l_prior,dynamics_residual_mae,w_window,l_window,l_dynamics,w_prior,w_boundary,l_state,l_boundary,val_mae_full_trip
0.0,2.539235225090614,0.47956228256225586,4.7904878877262975,0.01949708629399538,2.539235225090614,0.0003971210490607728,1.8899996207310603,0.001598772760749293,0.01489009872938578,0.6486785801557394,0.6486785801557394,0.0003971210490607728,0.00015987727607492933,0.0,18.899996207310604,0.0,0.47956228256225586
1.0,2.166863881624662,0.5818528532981873,6.1510741987963815,0.022902783149710067,2.166863881624662,0.0005574340018658683,1.874791655173668,0.03247086861385749,0.0182432490759171,0.28826771354159486,0.28826771354159486,0.0005574340018658683,0.003247086861385749,0.0,18.747916551736687,0.0,0.5818528532981873
2.0,2.1642247392581058,0.21584546566009521,7.160240483823331,0.03800332059080784,2.1642247392581058,0.0016701048723636912,1.824482895777776,0.05065080036337559,0.023600128550942127,0.33300662212646925,0.33300662212646925,0.0016701048723636912,0.005065080036337559,0.0,18.244828957777756,0.0,0.21584546566009521
3.0,1.8550740755521333,0.5690557360649109,6.4837407274937755,0.1042628176510334,1.8550740755521333,0.012379759546512594,1.6989311951857347,0.052387361987852134,0.04421691969037056,0.138524336167253,0.138524336167253,0.012379759546512594,0.005238736198785213,0.0,16.989311951857346,0.0,0.5690557360649109
4.0,1.871341361449315,0.22460345923900604,6.81527324631,0.24264813042604005,1.871341361449315,0.06203846289561345,1.5396278894864597,0.05591941123398451,0.08803535997867584,0.2640830292008244,0.2640830292008244,0.06203846289561345,0.005591941123398451,0.0,15.396278894864595,0.0,0.22460345923900604
5.0,1.699900365792788,0.5474883317947388,6.353646980915372,0.2923145718299426,1.699900365792788,0.09055137003843601,1.46039467224708,0.059482347864944204,0.11297980695962906,0.14300610239689165,0.14300610239689165,0.09055137003843601,0.00594823478649442,0.0,14.603946722470797,0.0,0.5474883317947388
6.0,1.7580000987419715,0.2480594366788864,6.72270094235894,0.2733603509572836,1.7580000987419715,0.07875712516789253,1.4205046983865588,0.05057613479976471,0.10927055718807074,0.25368062435434413,0.25368062435434413,0.07875712516789253,0.005057613479976472,0.0,14.205046983865591,0.0,0.2480594366788864
7.0,1.6275326609611511,0.3017330467700958,6.3345158438979325,0.28268230190643895,1.6275326609611511,0.08470958958451565,1.3844748643728404,0.04292952197675522,0.11632148520304607,0.1540552178541055,0.1540552178541055,0.08470958958451565,0.004292952197675522,0.0,13.844748643728403,0.0,0.3017330467700958
8.0,1.641446631688338,0.26457449793815613,6.617703120868545,0.27931803121016574,1.641446631688338,0.0826101595392594,1.3522245590503401,0.04491170309484005,0.11430483368726876,0.20212072707139528,0.20212072707139528,0.0826101595392594,0.004491170309484005,0.0,13.522245590503399,0.0,0.26457449793815613
9.0,1.554995284630702,0.47259095311164856,6.597135250813881,0.2746597482607915,1.554995284630702,0.079640665019934,1.326885403119601,0.047030735689287,0.11289806663990021,0.14376612623723653,0.14376612623723653,0.079640665019934,0.0047030735689287005,0.0,13.268854031196007,0.0,0.47259095311164856
10.0,1.5782654193731456,0.3889927566051483,6.762478222673591,0.2714832046857247,1.5782654193731456,0.07707387237594678,1.301372535412128,0.049892873574907966,0.11209982289717747,0.19482971326662943,0.19482971326662943,0.07707387237594678,0.004989287357490797,0.0,13.01372535412128,0.0,0.3889927566051483
11.0,1.5102335168765142,0.2669140100479126,6.822845650104554,0.27493127836630893,1.5102335168765142,0.07945842439165482,1.269301803295429,0.04860462391605744,0.11145973549439357,0.1566128068818496,0.1566128068818496,0.07945842439165482,0.004860462391605744,0.0,12.693018032954289,0.0,0.2669140100479126
12.0,1.5315029116777272,0.20211918652057648,6.912752074684941,0.27133607405882615,1.5315029116777272,0.07831951001515755,1.2461125630598804,0.04066619334312586,0.10913259650652225,0.2030042140529706,0.2030042140529706,0.07831951001515755,0.004066619334312586,0.0,12.461125630598803,0.0,0.20211918652057648
13.0,1.4689412713050842,0.49940207600593567,6.745518324042596,0.26284180123072404,1.4689412713050842,0.07254746241065171,1.2242566695580117,0.051929590435555346,0.10796019377616736,0.1669441509562043,0.1669441509562043,0.07254746241065171,0.0051929590435555355,0.0,12.242566695580116,0.0,0.49940207600593567
14.0,1.5081527875019953,0.2664860188961029,7.003706980485854,0.2625220074103429,1.5081527875019953,0.07257337123155594,1.1993966194299555,0.0501547003021607,0.10571014651885399,0.23116731428756163,0.23116731428756163,0.07257337123155594,0.00501547003021607,0.0,11.993966194299551,0.0,0.2664860188961029
15.0,1.4198892758442805,0.33232200145721436,6.602684447753207,0.26127644112476933,1.4198892758442805,0.07188371096092921,1.168415245643029,0.044602077382688336,0.10571559862448619,0.17513006130376688,0.17513006130376688,0.07188371096092921,0.004460207738268834,0.0,11.684152456430288,0.0,0.33232200145721436
16.0,1.3796696021006658,0.3140384256839752,6.753520436836604,0.2492766552246534,1.3796696021006658,0.06547083419102889,1.1434640957758977,0.04805242341871445,0.10405380106889285,0.1659294251495829,0.1659294251495829,0.06547083419102889,0.004805242341871446,0.0,11.434640957758976,0.0,0.3140384256839752
17.0,1.3432824153166552,0.40882036089897156,6.659942210529697,0.2409639679468595,1.3432824153166552,0.0606859869395311,1.115072404421293,0.055804697725062184,0.10190218056623752,0.16194357063907844,0.16194357063907844,0.0606859869395311,0.005580469772506218,0.0,11.150724044212929,0.0,0.40882036089897156
18.0,1.3269552955260644,0.364114373922348,6.811684703629483,0.24184371874882624,1.3269552955260644,0.06169812954389132,1.082328992623549,0.052948316415915124,0.10035189470419517,0.17763331869187263,0.17763331869187263,0.06169812954389132,0.005294831641591512,0.0,10.823289926235493,0.0,0.364114373922348
19.0,1.2687114706406226,0.4608183801174164,6.670200603751174,0.2340539120710813,1.2687114706406226,0.05740591855003284,1.044691221530621,0.0576075751047868,0.09999182361822861,0.1608535576468477,0.1608535576468477,0.05740591855003284,0.005760757510478679,0.0,10.44691221530621,0.0,0.4608183801174164
20.0,1.2415361221020038,0.4127325117588043,6.81837177012596,0.22930258856369898,1.2415361221020038,0.0556792334581797,1.0146077486184928,0.05404246061180647,0.09662820398807526,0.16584489594858426,0.16584489594858426,0.0556792334581797,0.005404246061180646,0.0,10.146077486184927,0.0,0.4127325117588043
21.0,1.19313023182062,0.514422595500946,6.699379270480061,0.22230455050101647,1.19313023182062,0.05197124727643453,0.9712211388808031,0.05910355221623412,0.09606547596362922,0.1640274775429414,0.1640274775429414,0.05197124727643453,0.005910355221623411,0.0,9.712211388808031,0.0,0.514422595500946
22.0,1.170419807617481,0.2588212788105011,6.863456261694429,0.218933010330567,1.170419807617481,0.051064021312273465,0.9398209975315976,0.050480092517458476,0.09187870988479027,0.1744867260926045,0.1744867260926045,0.051064021312273465,0.005048009251745848,0.0,9.398209975315975,0.0,0.2588212788105011
