epoch,train_loss,val_window_mae_kwh,grad_norm,dynamics_residual_rmse,loss,w_dynamics,w_state,l_prior,dynamics_residual_mae,w_window,l_window,l_dynamics,w_prior,w_boundary,l_state,l_boundary
0.0,2.130766924470663,,0.911526534543617,0.01970082486514002,2.130766924470663,0.0,2.000719654560089,0.0036189278660003765,0.01494532183278352,0.1296853357926011,0.1296853357926011,0.0004116856289329007,0.00036189278660003765,0.0,20.00719654560089,0.0
1.0,2.0031854435801506,,1.124136401365912,0.04409120779018849,2.0031854435801506,0.0,1.937283229827881,0.048715522105339915,0.02398322813678533,0.06103064783383161,0.06103064783383161,0.002633266496559372,0.0048715522105339925,0.0,19.37283229827881,0.0
2.0,1.816763423383236,,1.2880321675613375,0.20976836001500487,1.816763423383236,0.0,1.74304201900959,0.046893424820154905,0.0722057509701699,0.0690319953719154,0.0690319953719154,0.050094122532755136,0.004689342482015491,0.0,17.4304201900959,0.0
3.0,1.659284045919776,,1.2075781503286118,0.4520106855779886,1.659284045919776,0.0,1.5973221629858019,0.051110559375956655,0.16635277727618814,0.05685078364331275,0.05685078364331275,0.2102922024205327,0.005111055937595666,0.0,15.973221629858017,0.0
4.0,1.5650647655129433,,1.4360661266835035,0.5786608532071114,1.5650647655129433,0.0,1.4922663182020188,0.037689438671804965,0.2123685237020254,0.06902948021888733,0.06902948021888733,0.3488508276641369,0.0037689438671804965,0.0,14.922663182020187,0.0
5.0,1.4935657978057861,,1.5642233593246642,0.626361858099699,1.4935657978057861,0.0,1.429048401117325,0.034495113883167505,0.21417226735502481,0.06106787745375186,0.06106787745375186,0.40614169649779797,0.0034495113883167504,0.0,14.290484011173248,0.0
6.0,1.4524582736194134,,1.8772562888631565,0.652754807844758,1.4524582736194134,0.0,1.3781735390424728,0.033306659606751055,0.20050452463328838,0.07095405901782215,0.07095405901782215,0.43573382776230574,0.0033306659606751055,0.0,13.781735390424728,0.0
7.0,1.4146946221590042,,1.9128056572121528,0.6999461576342583,1.4146946221590042,0.0,1.348383215069771,0.03703745163511485,0.21354371029883623,0.06260764750186354,0.06260764750186354,0.5028312336653471,0.003703745163511485,0.0,13.483832150697708,0.0
8.0,1.3919043615460396,,1.9728493505366833,0.7124522998929024,1.3919043615460396,0.0,1.3294196099042892,0.04218154022237286,0.20785859320312738,0.05826658569276333,0.05826658569276333,0.5211334191262722,0.004218154022237287,0.0,13.294196099042892,0.0
9.0,1.3927212990820408,,2.12056058229664,0.7264950163662434,1.3927212990820408,0.0,1.3200537830591204,0.028635338618187234,0.20371704874560237,0.06980397994630039,0.06980397994630039,0.5468260431662202,0.0028635338618187233,0.0,13.200537830591202,0.0
10.0,1.3709040135145187,,2.027919206661215,0.7125874236226082,1.3709040135145187,0.0,1.3049324363470078,0.046459386707283556,0.2060706946067512,0.06132562237326056,0.06132562237326056,0.5227767881006002,0.004645938670728355,0.0,13.049324363470078,0.0
11.0,1.3839933425188065,,2.1834629703641677,0.7102157846093178,1.3839933425188065,0.0,1.3050807923078538,0.029902987807872705,0.21239302633330226,0.0759222162887454,0.0759222162887454,0.5268934303894639,0.0029902987807872705,0.0,13.050807923078537,0.0
12.0,1.359235905110836,,2.021031518019713,0.6591808963567019,1.359235905110836,0.0,1.27898750603199,0.0442447445821017,0.20369397150352597,0.07582391297910362,0.07582391297910362,0.4493759637698531,0.004424474458210171,0.0,12.7898750603199,0.0
