epoch,train_loss,val_window_mae_kwh,grad_norm,loss,w_state,w_window,l_window,l_state
0.0,2.2991287522017956,,6.422837265451294,2.2991287522017956,1.9912211239337922,0.3079075859859586,0.3079075859859586,19.91221123933792
1.0,2.083409294486046,,6.343384208789152,2.083409294486046,1.959119009971619,0.12429022463038564,0.12429022463038564,19.591190099716187
2.0,1.997086126357317,,6.743112028686259,1.997086126357317,1.8448764950037004,0.15220962441526353,0.15220962441526353,18.448764950037003
3.0,1.8441137336194515,,6.216237178546483,1.8441137336194515,1.6682496547698977,0.1758640327025205,0.1758640327025205,16.682496547698975
4.0,1.661762349307537,,6.758896201228339,1.661762349307537,1.5747346431016922,0.08702763658948243,0.08702763658948243,15.747346431016922
5.0,1.6257466673851013,,5.980877381523838,1.6257466673851013,1.4910435348749163,0.1347031109035015,0.1347031109035015,14.91043534874916
6.0,1.5287257134914398,,7.048613350229315,1.5287257134914398,1.4209220141172412,0.1078036876861006,0.1078036876861006,14.209220141172409
7.0,1.5228645540773869,,8.121730723107438,1.5228645540773869,1.3633612692356112,0.1595032662153244,0.1595032662153244,13.63361269235611
8.0,1.439301487058401,,7.562866852917647,1.439301487058401,1.3211622029542922,0.1181392758153379,0.1181392758153379,13.211622029542923
9.0,1.3767743520438671,,7.528877549495693,1.3767743520438671,1.2867255330085754,0.09004879859276116,0.09004879859276116,12.867255330085754
10.0,1.429734468460083,,7.978491286474506,1.429734468460083,1.2590083301067354,0.1707261186093092,0.1707261186093092,12.590083301067352
11.0,1.4125850275158882,,7.515918385465046,1.4125850275158882,1.2185497224330901,0.1940352930687368,0.1940352930687368,12.185497224330902
12.0,1.3334578089416027,,6.804799212123914,1.3334578089416027,1.204580581188202,0.1288771976251155,0.1288771976251155,12.045805811882019
13.0,1.2961350902915,,6.638316561969796,1.2961350902915,1.1335146248340608,0.1626204380299896,0.1626204380299896,11.335146248340607
14.0,1.1961911283433437,,6.625733317067979,1.1961911283433437,1.112457925081253,0.08373318868689239,0.08373318868689239,11.12457925081253
15.0,1.2363094724714756,,7.05921179166492,1.2363094724714756,1.0759007662534714,0.1604086752049625,0.1604086752049625,10.759007662534714
16.0,1.123450430110097,,6.717361429685054,1.123450430110097,1.0288884013891222,0.09456201270222664,0.09456201270222664,10.28888401389122
17.0,1.1410116236656904,,6.812004953865046,1.1410116236656904,0.9726439744234086,0.1683676380198449,0.1683676380198449,9.726439744234085
18.0,1.0188354812562466,,6.465278303385798,1.0188354812562466,0.946356363594532,0.07247911836020648,0.07247911836020648,9.46356363594532
19.0,1.0400988720357418,,6.907120464829715,1.0400988720357418,0.9036478534340859,0.1364510115236044,0.1364510115236044,9.036478534340858
20.0,0.9574351590126753,,6.638353654474817,0.9574351590126753,0.8645514756441117,0.0928836683742702,0.0928836683742702,8.645514756441116
21.0,0.9495742879807949,,6.562216738466335,0.9495742879807949,0.8025657147169114,0.14700854406692088,0.14700854406692088,8.025657147169113
22.0,0.8269351664930582,,6.1502528018121945,0.8269351664930582,0.7571572482585908,0.06977790989913046,0.06977790989913046,7.571572482585907
23.0,0.801439480856061,,5.866586872138411,0.801439480856061,0.7147978931665421,0.08664157125167549,0.08664157125167549,7.1479789316654205
24.0,0.7532652392983437,,6.2436009823525085,0.7532652392983437,0.6743834003806115,0.07888182811439037,0.07888182811439037,6.743834003806114
