epoch,train_loss,val_window_mae_kwh,grad_norm,w_window,dynamics_residual_mae,l_state,w_state,l_prior,loss,l_window,l_dynamics,l_boundary,dynamics_residual_rmse,w_prior,w_dynamics,w_boundary
0.0,2.415643870830536,,1.0415663733122946,0.14011988043785095,0.01347357981527845,22.75003918011983,2.275003918011983,0.0017434697013716989,2.415643870830536,0.14011988043785095,0.000345664670021506,0.0,0.018021696324770648,0.00017434697013716993,0.000345664670021506,0.0
1.0,2.3183779617150626,,1.2013158879850803,0.06705806016301115,0.01714144499662022,22.48300890127818,2.2483008901278176,0.023227779970814783,2.3183779617150626,0.06705806016301115,0.0006961899525776971,0.0,0.02480603273337086,0.0023227779970814784,0.0006961899525776971,0.0
2.0,2.218707243601481,,1.374012881801843,0.058962079075475536,0.03287024097517133,21.490259369214375,2.1490259369214377,0.02960018813610077,2.218707243601481,0.058962079075475536,0.007759183790767565,0.0,0.08164169701437156,0.0029600188136100773,0.007759183790767565,0.0
3.0,2.1272671272357306,,1.2805359203326014,0.0658413462030391,0.0763940808052818,20.106339931488037,2.0106339931488035,0.033975813925887145,2.1272671272357306,0.0658413462030391,0.04739416499311725,0.0,0.2154765563706557,0.003397581392588715,0.04739416499311725,0.0
4.0,2.037443995475769,,1.4636499063277215,0.06115958218773206,0.09948353717724483,18.954436858495075,1.8954436858495074,0.04155838411922256,2.037443995475769,0.06115958218773206,0.07668483738477032,0.0,0.2732316441833973,0.004155838411922256,0.07668483738477032,0.0
5.0,1.9506318966547649,,1.5831151554626655,0.059592153411358595,0.10214045892159145,18.132259368896484,1.8132259368896484,0.026221231712649267,1.9506318966547649,0.059592153411358595,0.07519165085007747,0.0,0.27091084420681,0.0026221231712649264,0.07519165085007747,0.0
6.0,1.8890625188748043,,1.780216338535569,0.059228540398180485,0.10857218814392884,17.367430408795673,1.7367430408795677,0.024603959095353883,1.8890625188748043,0.059228540398180485,0.09063053131103516,0.0,0.298579474290212,0.002460395909535388,0.09063053131103516,0.0
7.0,1.8319904456535976,,2.0439146139502506,0.060251318383961916,0.10523832713564236,16.72409498691559,1.6724094986915585,0.026950169587507844,1.8319904456535976,0.060251318383961916,0.09663454939921697,0.0,0.30773762861887616,0.0026950169587507847,0.09663454939921697,0.0
8.0,1.7854531159003575,,2.1794308990961775,0.06142291628445188,0.10237076257665952,16.28387705485026,1.6283877054850262,0.028225847869180143,1.7854531159003575,0.06142291628445188,0.09281987603753805,0.0,0.30122462784250575,0.002822584786918014,0.09281987603753805,0.0
9.0,1.744158958395322,,2.3322579533810246,0.06095413599784175,0.10142100291947524,15.879681666692099,1.58796816666921,0.02614961991397043,1.744158958395322,0.06095413599784175,0.09262167227764924,0.0,0.3004232943058014,0.002614961991397043,0.09262167227764924,0.0
10.0,1.7033828099568684,,2.339605375641704,0.06546989347164829,0.10273056291043758,15.461733301480612,1.5461733301480611,0.03048539295559749,1.7033828099568684,0.06546989347164829,0.08869104304661353,0.0,0.2949304406841596,0.0030485392955597493,0.08869104304661353,0.0
11.0,1.6827240983645122,,2.500499583292623,0.07126726334293683,0.10367375612258911,15.169753750165304,1.5169753750165305,0.0322682176095744,1.6827240983645122,0.07126726334293683,0.09125460001329581,0.0,0.298658965776364,0.0032268217609574407,0.09125460001329581,0.0
12.0,1.625670775771141,,2.3757286325260036,0.06581191252917051,0.1054807888964812,14.678711732228598,1.4678711732228598,0.02733465752680786,1.625670775771141,0.06581191252917051,0.08925424485156934,0.0,0.295469269156456,0.002733465752680786,0.08925424485156934,0.0
13.0,1.60238320628802,,2.5755884744006976,0.061585165870686374,0.10467315651476383,14.454510569572449,1.4454510569572447,0.02779693474682669,1.60238320628802,0.061585165870686374,0.09256726627548535,0.0,0.30038700128595036,0.0027796934746826692,0.09256726627548535,0.0
14.0,1.5627589970827103,,2.4631115270383157,0.07026472827419639,0.10564141223827998,13.964667995770773,1.3964667995770774,0.028863518295111135,1.5627589970827103,0.07026472827419639,0.09314107491324346,0.0,0.30098897591233253,0.0028863518295111136,0.09314107491324346,0.0
15.0,1.5388704637686412,,2.667918399331212,0.0679135766501228,0.10442629021902879,13.706788301467896,1.3706788301467896,0.038354424526914954,1.5388704637686412,0.0679135766501228,0.09644261188805103,0.0,0.30608413740992546,0.0038354424526914955,0.09644261188805103,0.0
16.0,1.4958196083704631,,2.550701632598396,0.06264192548890908,0.10475114236275355,13.305962284406027,1.3305962284406025,0.0279841369871671,1.4958196083704631,0.06264192548890908,0.09978304244577885,0.0,0.310951866209507,0.0027984136987167104,0.09978304244577885,0.0
17.0,1.4587588161230087,,2.6210497229528706,0.05936097167432308,0.10070998159547646,12.998026569684347,1.2998026569684347,0.03152617191274961,1.4587588161230087,0.05936097167432308,0.09644257773955663,0.0,0.305192315330108,0.003152617191274961,0.09644257773955663,0.0
18.0,1.4327142188946407,,2.5717280293570233,0.05584909487515688,0.10003367997705936,12.746974468231201,1.27469744682312,0.02840286896874507,1.4327142188946407,0.05584909487515688,0.0993273767332236,0.0,0.3095516227185726,0.0028402868968745065,0.0993273767332236,0.0
19.0,1.395594482620557,,2.5871254091569376,0.05972663965076208,0.09743763816853364,12.363301595052084,1.2363301595052083,0.030837899500814576,1.395594482620557,0.05972663965076208,0.0964538895835479,0.0,0.3047687920431296,0.0030837899500814575,0.0964538895835479,0.0
20.0,1.3670654942591984,,2.593708354478619,0.05620216050495704,0.09715371765196323,12.105226159095764,1.2105226159095765,0.032235749531537294,1.3670654942591984,0.05620216050495704,0.09711712754021089,0.0,0.30564024671912193,0.00322357495315373,0.09711712754021089,0.0
21.0,1.3282544910907745,,2.5200159725163087,0.054338418412953615,0.09432268639405568,11.765142699082693,1.1765142699082694,0.026051064875597756,1.3282544910907745,0.054338418412953615,0.09479664529984196,0.0,0.3017061601082484,0.0026051064875597762,0.09479664529984196,0.0
