epoch,train_loss,val_window_mae_kwh,grad_norm,w_window,dynamics_residual_mae,l_state,w_state,l_prior,loss,l_window,l_dynamics,l_boundary,dynamics_residual_rmse,w_prior,w_dynamics,w_boundary
0.0,2.076992084582647,,0.8619196922544486,0.13367438999315104,0.014826852905874452,19.427436192830402,1.94274361928304,0.001749383600326837,2.076992084582647,0.13367438999315104,0.0003990964990710684,0.0,0.019468721002340317,0.0001749383600326837,0.0003990964990710684,0.0
1.0,1.9846731921037037,,0.9818542066440857,0.0657910726343592,0.019898044333482783,19.144614219665527,1.9144614219665528,0.03550146768490473,1.9846731921037037,0.0657910726343592,0.0008704853086480094,0.0,0.027912180482720334,0.003550146768490473,0.0008704853086480094,0.0
2.0,1.8927645981311798,,1.2275597347429759,0.06766596126059692,0.040086635233213506,18.094423810640972,1.8094423810640972,0.06138329797734817,1.8927645981311798,0.06766596126059692,0.009517867370353391,0.0,0.08999336355676253,0.006138329797734817,0.009517867370353391,0.0
3.0,1.7667830884456635,,1.0225002656254523,0.04900707940881451,0.08502652558187644,16.610872586568195,1.6610872586568195,0.051898401230573654,1.7667830884456635,0.04900707940881451,0.051498874401052795,0.0,0.22293467943867049,0.005189840123057367,0.051498874401052795,0.0
4.0,1.695586731036504,,1.0900931632551618,0.0519612692296505,0.106522502998511,15.617469231287638,1.561746923128764,0.05689446488395333,1.695586731036504,0.0519612692296505,0.07618905076136191,0.0,0.26805121327439946,0.005689446488395333,0.07618905076136191,0.0
5.0,1.644678736726443,,1.221676793505917,0.05550156906247139,0.10972459614276886,15.046787897745768,1.5046787897745768,0.04371679170678059,1.644678736726443,0.05550156906247139,0.08012664255996545,0.0,0.27510644619663555,0.004371679170678059,0.08012664255996545,0.0
6.0,1.5999829669793446,,1.2425107015218266,0.05355197672421733,0.11476955873270829,14.550378839174906,1.455037883917491,0.04220923020814856,1.5999829669793446,0.05355197672421733,0.087172145023942,0.0,0.28786582748095196,0.004220923020814856,0.087172145023942,0.0
7.0,1.5652993371089299,,1.4060755255767894,0.05701689546306928,0.1131311288724343,14.152312318483988,1.4152312318483993,0.04066509256760279,1.5652993371089299,0.05701689546306928,0.08898471016436815,0.0,0.29179171721140545,0.00406650925676028,0.08898471016436815,0.0
8.0,1.528176595767339,,1.5020954841685066,0.05199335624153415,0.10973293334245682,13.875343124071756,1.387534312407176,0.042511401154721774,1.528176595767339,0.05199335624153415,0.08439777760456006,0.0,0.28459804132580757,0.004251140115472178,0.08439777760456006,0.0
9.0,1.5001163134972255,,1.494443347266521,0.04962149650479356,0.1095375952621301,13.62158751487732,1.3621587514877322,0.05238924214305977,1.5001163134972255,0.04962149650479356,0.0830971064666907,0.0,0.28357448304692906,0.005238924214305977,0.0830971064666907,0.0
