method,n,mae_kwh,rmse_kwh,mape_pct,mape_n_undefined,mape_denominator_rule,wape_pct,bias_kwh,r2
constant,17.0,0.2487540038620709,0.30565457249998124,10.820771053845338,0.0,exclude |E_obs| <= 1e-12,9.38811054349754,0.008868396746081263,0.9370946320638351
physics,17.0,0.7795536889442934,0.8543796534781759,30.057554577004957,0.0,exclude |E_obs| <= 1e-12,29.420777526291815,-0.7795536889442934,0.5084952634282234
elasticnet,17.0,0.1672998744640975,0.20995682626722212,8.72460721211806,0.0,exclude |E_obs| <= 1e-12,6.313987678578597,-0.006347479833568446,0.9703184954604149
weak_mlp,17.0,0.4692296591666011,0.6688556029502754,15.744814231252441,0.0,exclude |E_obs| <= 1e-12,17.708980929554436,0.17879065616902182,0.6987752506554485
mlp_state,17.0,0.5052551718111912,0.6678826901408654,18.76838120594021,0.0,exclude |E_obs| <= 1e-12,19.068603246552847,0.1511141374167274,0.6996509322536169
pinn_no_dynamics,17.0,0.25826520200742625,0.3140786344216641,11.102789777374435,0.0,exclude |E_obs| <= 1e-12,9.74706830177835,-0.02806968935992323,0.9335794143292915
pinn_fulltrip,17.0,0.2804395813076721,0.32979412051430673,11.490759946139583,0.0,exclude |E_obs| <= 1e-12,10.583941360591828,-0.10881587302094896,0.9267661728783259
pinn,17.0,0.35579018505615645,0.4594486917070344,13.458544249028526,0.0,exclude |E_obs| <= 1e-12,13.427713868881947,-0.08056650279843328,0.8578653543496981
