epoch,train_loss,val_window_mae_kwh,grad_norm,l_window,w_window
0.0,0.3173285839147866,,7.045298837952481,0.3173285839147866,0.3173285839147866
1.0,0.11058620433323085,,7.208598897123837,0.11058620433323085,0.11058620433323085
2.0,0.12534816632978618,,6.991573106117708,0.12534816632978618,0.12534816632978618
3.0,0.11351995170116425,,6.42074485604955,0.11351995170116425,0.11351995170116425
4.0,0.1707866471260786,,7.605576751509585,0.1707866471260786,0.1707866471260786
5.0,0.19100903044454753,,6.539399041181222,0.19100903044454753,0.19100903044454753
6.0,0.08691364526748657,,6.28476723167403,0.08691364526748657,0.08691364526748657
7.0,0.10077812243252993,,6.056387698305668,0.10077812243252993,0.10077812243252993
8.0,0.07102386886253953,,5.851175102144562,0.07102386886253953,0.07102386886253953
9.0,0.1038988339714706,,6.5508354650396505,0.1038988339714706,0.1038988339714706
10.0,0.17181526590138674,,6.067718373285743,0.17181526590138674,0.17181526590138674
11.0,0.08559527969919145,,5.9933129374161735,0.08559527969919145,0.08559527969919145
12.0,0.09222181211225688,,5.866641127188849,0.09222181211225688,0.09222181211225688
13.0,0.0763675996568054,,5.9987913459980415,0.0763675996568054,0.0763675996568054
14.0,0.13450167747214437,,5.920091281638345,0.13450167747214437,0.13450167747214437
15.0,0.12211450072936714,,6.5815354820308665,0.12211450072936714,0.12211450072936714
16.0,0.1878413672093302,,5.855871293695202,0.1878413672093302,0.1878413672093302
17.0,0.07737365458160639,,5.643658307175035,0.07737365458160639,0.07737365458160639
18.0,0.07950777979567647,,5.73470825801995,0.07950777979567647,0.07950777979567647
19.0,0.08884589234367013,,5.584092499022969,0.08884589234367013,0.08884589234367013
20.0,0.12236973457038403,,6.199807500265118,0.12236973457038403,0.12236973457038403
21.0,0.11960723297670484,,5.56538755564976,0.11960723297670484,0.11960723297670484
22.0,0.10026355646550655,,5.87676807931857,0.10026355646550655,0.10026355646550655
23.0,0.15766390739008784,,5.577747619465302,0.15766390739008784,0.15766390739008784
24.0,0.07122679753229022,,5.5845119621444175,0.07122679753229022,0.07122679753229022
25.0,0.08493537572212517,,5.557852437502879,0.08493537572212517,0.08493537572212517
26.0,0.06418635917361826,,5.3844567370938545,0.06418635917361826,0.06418635917361826
27.0,0.08935433032456785,,5.780322442047775,0.08935433032456785,0.08935433032456785
