epoch,train_loss,val_window_mae_kwh,grad_norm,l_state,w_state,w_boundary,w_prior,w_dynamics,dynamics_residual_mae,loss,l_window,l_boundary,dynamics_residual_rmse,w_window,l_prior,l_dynamics
0.0,2.7561393305659294,,5.853212040700798,20.72769656777382,2.072769656777382,0.0,0.00028979319208701784,0.00036939253277523676,0.01427760865772143,2.7561393305659294,0.6827104846015573,0.0,0.018642392475157976,0.6827104846015573,0.002897931920870178,0.00036939253277523676
1.0,2.362099800258875,,8.160306108950424,20.41260802745819,2.0412608027458194,0.0,0.002236112311948091,0.000838131067212089,0.019137252762448043,2.362099800258875,0.31776469433680177,0.0,0.027725393301807344,0.31776469433680177,0.022361123119480908,0.000838131067212089
2.0,2.188469037413597,,7.8890941346588885,19.465790688991547,1.9465790688991549,0.0,0.0021828764700330796,0.006599104526685551,0.037200972670689225,2.188469037413597,0.23310794093413278,0.0,0.07734854379668832,0.23310794093413278,0.021828764700330794,0.006599104526685551
3.0,2.0996646098792553,,7.479725265603747,17.761693686246872,1.776169368624687,0.0,0.0029334609120269307,0.04347848775796592,0.08385280147194862,2.0996646098792553,0.2770832794412854,0.0,0.20580774266272783,0.2770832794412854,0.029334609120269306,0.04347848775796592
4.0,1.997598895803094,,7.925245020927549,16.453493863344193,1.6453493863344193,0.0,0.0025410342263057824,0.0838979734107852,0.10978641477413476,1.997598895803094,0.2658104614238255,0.0,0.28643638361245394,0.2658104614238255,0.025410342263057828,0.0838979734107852
5.0,1.9585899822413921,,7.062207095307192,15.75330102443695,1.5753301024436952,0.0,0.0029750237736152485,0.08124362782109529,0.11423499882221222,1.9585899822413921,0.29904120619175956,0.0,0.2773140873759985,0.29904120619175956,0.029750237736152485,0.08124362782109529
6.0,1.872485440224409,,8.045229818700548,15.05007854104042,1.5050078541040421,0.0,0.003174791834317148,0.09082889510318637,0.11547088762745261,1.872485440224409,0.2734738733852282,0.0,0.29819617606699467,0.2734738733852282,0.03174791834317148,0.09082889510318637
7.0,1.813757836818695,,7.090487283678211,14.515173852443695,1.4515173852443695,0.0,0.0035070134181296453,0.09338942356407642,0.11791495280340314,1.813757836818695,0.26534398656804115,0.0,0.29583053942769766,0.26534398656804115,0.03507013418129645,0.09338942356407642
8.0,1.7911989204585552,,8.015118293933085,14.175709694623947,1.4175709694623948,0.0,0.0047517198487184945,0.08454746403731406,0.11110911937430501,1.7911989204585552,0.2843287339201197,0.0,0.28673993796110153,0.2843287339201197,0.04751719848718494,0.08454746403731406
9.0,1.658344004303217,,7.433375382203548,13.565875947475433,1.3565875947475434,0.0,0.004386411042651162,0.09396695927716792,0.11404637200757861,1.658344004303217,0.2034030252834782,0.0,0.2980378596112132,0.2034030252834782,0.043864110426511616,0.09396695927716792
10.0,1.6288852915167809,,7.8099584042862205,13.255743503570557,1.3255743503570558,0.0,0.004488266096450389,0.08530135848559439,0.10916571971029043,1.6288852915167809,0.21352129592560232,0.0,0.28675961401313543,0.21352129592560232,0.044882660964503884,0.08530135848559439
11.0,1.5715495087206364,,7.505429934256738,12.740977063775063,1.2740977063775065,0.0,0.0044685583270620555,0.0873315550852567,0.10755373351275921,1.5715495087206364,0.20565165881998837,0.0,0.28903892170637846,0.20565165881998837,0.044685583270620555,0.0873315550852567
12.0,1.5373576767742634,,7.769415085372036,12.319257691502571,1.2319257691502572,0.0,0.005081596411764622,0.08273420692421496,0.10467936657369137,1.5373576767742634,0.21761610015528277,0.0,0.2811251822859049,0.21761610015528277,0.05081596411764622,0.08273420692421496
13.0,1.4512880071997643,,7.6409948991713526,11.81933605670929,1.181933605670929,0.0,0.005068720132112504,0.08159692259505391,0.10159971006214619,1.4512880071997643,0.1826887385104783,0.0,0.27918784134089947,0.1826887385104783,0.05068720132112503,0.08159692259505391
14.0,1.4128955863416195,,7.572362385241226,11.287259340286255,1.1287259340286255,0.0,0.004878477461170405,0.07472721277736127,0.0992920808494091,1.4128955863416195,0.2045639833668247,0.0,0.2666120324283838,0.2045639833668247,0.04878477461170405,0.07472721277736127
