epoch,train_loss,val_window_mae_kwh,grad_norm,l_state,w_state,w_boundary,w_prior,w_dynamics,dynamics_residual_mae,loss,l_window,l_boundary,dynamics_residual_rmse,w_window,l_prior,l_dynamics
0.0,2.131659608334303,,0.8617943374864128,19.982864052057266,1.9982864052057265,0.0,0.00028497997935801324,0.0004092339931958122,0.014913116057869047,2.131659608334303,0.13267894694581628,0.0,0.019641307357233018,0.13267894694581628,0.0028497997935801322,0.0004092339931958122
1.0,2.008340001106262,,1.1458442836418667,19.27765452861786,1.927765452861786,0.0,0.0025783938064705583,0.0031788769902050262,0.026507199392654,2.008340001106262,0.07481722836382687,0.0,0.04987800063099712,0.07481722836382687,0.02578393806470558,0.0031788769902050262
2.0,1.8588513247668743,,1.154056722302987,17.58423039317131,1.758423039317131,0.0,0.00342358477646485,0.037636791821569204,0.0713294055312872,1.8588513247668743,0.059367895824834704,0.0,0.18729857495054603,0.059367895824834704,0.0342358477646485,0.037636791821569204
3.0,1.7785829231142998,,1.0229770109065863,16.438052594661713,1.6438052594661714,0.0,0.00579289619345218,0.07294867048040032,0.10551927471533418,1.7785829231142998,0.05603607650846243,0.0,0.2613293407484889,0.05603607650846243,0.057928961934521794,0.07294867048040032
4.0,1.7195253893733025,,1.2760134797730456,15.595479667186737,1.5595479667186738,0.0,0.004681064217584208,0.07710952137131244,0.11061183223500848,1.7195253893733025,0.07818683586083353,0.0,0.27197832986712456,0.07818683586083353,0.04681064217584208,0.07710952137131244
5.0,1.6325900591909885,,1.2820667444548435,14.85730117559433,1.485730117559433,0.0,0.004703483704361133,0.08455273788422346,0.11657149530947208,1.6325900591909885,0.05760373384691775,0.0,0.2848167819902301,0.05760373384691775,0.04703483704361133,0.08455273788422346
6.0,1.6223307698965073,,1.619231734408594,14.376467823982239,1.437646782398224,0.0,0.004001665476243943,0.0945487767457962,0.11424780637025833,1.6223307698965073,0.08613349427469075,0.0,0.30372986383736134,0.08613349427469075,0.04001665476243943,0.0945487767457962
7.0,1.5424442179501057,,1.5026564168449221,13.986938297748566,1.3986938297748566,0.0,0.00352270373259671,0.08299881685525179,0.11173811322078109,1.5424442179501057,0.05722887744195759,0.0,0.2813067976385355,0.05722887744195759,0.0352270373259671,0.08299881685525179
8.0,1.5386655777692795,,1.6820322567309758,13.792944759130478,1.3792944759130479,0.0,0.0028061717981472615,0.0905998160596937,0.11381015414372087,1.5386655777692795,0.06596510205417871,0.0,0.2972795758396387,0.06596510205417871,0.02806171798147261,0.0905998160596937
9.0,1.497634693980217,,1.6002848491332755,13.41636872291565,1.341636872291565,0.0,0.00379881240951363,0.08293184405192733,0.11097403662279248,1.497634693980217,0.069267125451006,0.0,0.2806649748235941,0.069267125451006,0.0379881240951363,0.08293184405192733
10.0,1.478974886238575,,1.7080996180438381,13.232864379882812,1.3232864379882814,0.0,0.0038650090573355556,0.08710531750693917,0.11190614243969321,1.478974886238575,0.06471807975322008,0.0,0.2908295998349786,0.06471807975322008,0.038650090573355556,0.08710531750693917
11.0,1.433908835053444,,1.5758415822051217,12.82733279466629,1.282733279466629,0.0,0.004142442910233512,0.08384344214573503,0.10896382294595242,1.433908835053444,0.06318962655495852,0.0,0.28140637930482626,0.06318962655495852,0.041424429102335125,0.08384344214573503
