epoch,train_loss,val_window_mae_kwh,grad_norm,l_state,w_state,loss,l_window,w_window
0.0,2.438827719539404,,7.112471407395608,21.244241625070572,2.124424162507057,2.438827719539404,0.3144035027362406,0.3144035027362406
1.0,2.198320847004652,,7.469951503106776,20.776390701532364,2.0776390701532366,2.198320847004652,0.12068174965679646,0.12068174965679646
2.0,2.052688844501972,,6.872826021745455,19.438111394643784,1.9438111394643784,2.052688844501972,0.10887763788923621,0.10887763788923621
3.0,1.900562908500433,,7.130031986619825,17.98391681909561,1.7983916819095613,1.900562908500433,0.10217119893059134,0.10217119893059134
4.0,1.802905660122633,,7.71784515672428,17.160034090280533,1.7160034090280534,1.802905660122633,0.08690222492441535,0.08690222492441535
5.0,1.7225091271102428,,7.3698972849720175,16.220543801784515,1.6220543801784517,1.7225091271102428,0.1004547078628093,0.1004547078628093
6.0,1.6875079199671745,,8.77392788134133,15.215303480625153,1.5215303480625155,1.6875079199671745,0.16597756696864963,0.16597756696864963
7.0,1.7567723281681538,,9.241325600815554,14.538391023874283,1.4538391023874284,1.7567723281681538,0.3029331862926483,0.3029331862926483
8.0,1.5450822226703167,,7.514155528927881,14.114398330450058,1.4114398330450058,1.5450822226703167,0.13364237546920776,0.13364237546920776
9.0,1.635002501308918,,6.871796668727857,13.81739628314972,1.3817396283149719,1.635002501308918,0.2532628714106977,0.2532628714106977
10.0,1.452023571357131,,6.828770428411568,13.478208839893341,1.3478208839893342,1.452023571357131,0.10420266352593899,0.10420266352593899
11.0,1.503332756459713,,7.852909918523984,13.104937881231308,1.3104937881231309,1.503332756459713,0.19283897895365953,0.19283897895365953
12.0,1.455590594559908,,7.381750631648428,12.520703107118607,1.2520703107118607,1.455590594559908,0.20352028217166662,0.20352028217166662
13.0,1.2914262413978577,,6.550739733858606,12.180516391992569,1.218051639199257,1.2914262413978577,0.07337457803077996,0.07337457803077996
14.0,1.2579707857221365,,6.784827670763127,11.642180860042572,1.1642180860042572,1.2579707857221365,0.09375268057920039,0.09375268057920039
