epoch,train_loss,val_window_mae_kwh,grad_norm,l_state,w_state,loss,l_window,w_window
0.0,2.2954049445688725,,6.194671286421661,19.934098780155182,1.9934098780155183,2.2954049445688725,0.30199506413191557,0.30199506413191557
1.0,2.0467244759202003,,6.242959679388312,19.454524517059326,1.9454524517059328,2.0467244759202003,0.10127199068665504,0.10127199068665504
2.0,1.932463612407446,,6.308268254597314,18.027199447155,1.8027199447155002,1.932463612407446,0.12974362215027213,0.12974362215027213
3.0,1.7701940163969994,,7.232265629240185,16.611730456352234,1.6611730456352234,1.7701940163969994,0.10902094794437289,0.10902094794437289
4.0,1.705489695072174,,7.12326782429364,15.706137597560883,1.5706137597560885,1.705489695072174,0.1348759306129068,0.1348759306129068
5.0,1.6081098355352879,,6.97451729322482,15.04577773809433,1.504577773809433,1.6081098355352879,0.1035320246592164,0.1035320246592164
6.0,1.6245535835623741,,8.510413914443406,14.432672709226608,1.4432672709226608,1.6245535835623741,0.1812862753868103,0.1812862753868103
7.0,1.549424048513174,,8.685922255596543,13.836582213640213,1.3836582213640214,1.549424048513174,0.16576581238768995,0.16576581238768995
8.0,1.4275168739259243,,7.352149309414148,13.516690462827682,1.3516690462827685,1.4275168739259243,0.07584779988974333,0.07584779988974333
9.0,1.4344809763133526,,8.229539996295912,13.250186264514923,1.3250186264514925,1.4344809763133526,0.10946231614798307,0.10946231614798307
10.0,1.4807510823011398,,8.400263298376194,13.043756544589996,1.3043756544589997,1.4807510823011398,0.1763753795530647,0.1763753795530647
11.0,1.5438879802823067,,7.508989275530659,12.742929577827454,1.2742929577827453,1.5438879802823067,0.26959498785436153,0.26959498785436153
12.0,1.338745303452015,,6.452375375579347,12.465314745903015,1.2465314745903016,1.338745303452015,0.0922138150781393,0.0922138150781393
13.0,1.3654847517609596,,7.033856135559434,12.377296760678291,1.2377296760678291,1.3654847517609596,0.12775503075681627,0.12775503075681627
14.0,1.3100885041058064,,6.657086626083185,11.712835997343063,1.1712835997343063,1.3100885041058064,0.1388048860244453,0.1388048860244453
15.0,1.2783313542604446,,6.716333639108871,11.493915095925331,1.1493915095925331,1.2783313542604446,0.12893981346860528,0.12893981346860528
16.0,1.2656554020941257,,6.581343865984436,11.08047066628933,1.108047066628933,1.2656554020941257,0.15760832116939127,0.15760832116939127
17.0,1.132685100659728,,6.209410121895216,10.561118483543396,1.0561118483543397,1.132685100659728,0.07657324778847396,0.07657324778847396
18.0,1.152429435402155,,6.367724047888018,10.157514497637749,1.015751449763775,1.152429435402155,0.1366779562085867,0.1366779562085867
19.0,1.0798422526568174,,6.542936294155396,9.8166174441576,0.9816617444157602,1.0798422526568174,0.09818048356100917,0.09818048356100917
20.0,1.0984542518854141,,6.541933052329101,9.446692034602165,0.9446692034602165,1.0984542518854141,0.1537850103341043,0.1537850103341043
21.0,0.960205152630806,,5.902168118256832,8.887028485536575,0.8887028485536576,0.960205152630806,0.07150228647515178,0.07150228647515178
22.0,0.9334346633404493,,6.15256692424054,8.332874700427055,0.8332874700427055,0.9334346633404493,0.10014718491584063,0.10014718491584063
23.0,0.9271693769842386,,6.490505585577121,7.904742062091827,0.7904742062091827,0.9271693769842386,0.13669515238143504,0.13669515238143504
24.0,0.8631997630000114,,6.115196573074574,7.447368144989014,0.7447368144989015,0.8631997630000114,0.11846293183043599,0.11846293183043599
25.0,0.7806342616677284,,5.985512640820707,7.055617868900299,0.7055617868900299,0.7806342616677284,0.07507246779277921,0.07507246779277921
26.0,0.7519662790000439,,6.027924606824829,6.6825402826070786,0.6682540282607079,0.7519662790000439,0.0837122246157378,0.0837122246157378
