epoch,train_loss,val_window_mae_kwh,grad_norm,l_window,w_window
0.0,0.32382719311863184,,6.5922428720981685,0.32382719311863184,0.32382719311863184
1.0,0.11978316237218678,,6.49438090346232,0.11978316237218678,0.11978316237218678
2.0,0.13632292905822396,,6.621904625929381,0.13632292905822396,0.13632292905822396
3.0,0.11745179956778884,,5.95183990151697,0.11745179956778884,0.11745179956778884
4.0,0.14388682483695447,,6.378699346415016,0.14388682483695447,0.14388682483695447
5.0,0.16141350218094885,,6.003286003182607,0.16141350218094885,0.16141350218094885
6.0,0.0840978380292654,,5.607608978321784,0.0840978380292654,0.0840978380292654
7.0,0.12874987325631082,,5.651581361679294,0.12874987325631082,0.12874987325631082
8.0,0.12516612745821476,,5.989868086051219,0.12516612745821476,0.12516612745821476
9.0,0.16544583206996322,,5.489222078172657,0.16544583206996322,0.16544583206996322
10.0,0.08292978699319065,,5.454462096335762,0.08292978699319065,0.08292978699319065
11.0,0.10575744486413896,,5.482245474687155,0.10575744486413896,0.10575744486413896
12.0,0.07854671706445515,,5.020639441548166,0.07854671706445515,0.07854671706445515
13.0,0.09751720377244055,,5.4808944507069395,0.09751720377244055,0.09751720377244055
14.0,0.10786043130792677,,5.186966023015611,0.10786043130792677,0.10786043130792677
15.0,0.1315287055913359,,5.745893760153265,0.1315287055913359,0.1315287055913359
16.0,0.14197003818117082,,5.22616010030566,0.14197003818117082,0.14197003818117082
17.0,0.08463771361857653,,5.140301989511932,0.08463771361857653,0.08463771361857653
18.0,0.09241774305701256,,5.1519051232499375,0.09241774305701256,0.09241774305701256
19.0,0.07387731177732348,,4.759563553617513,0.07387731177732348,0.07387731177732348
20.0,0.09244526992551982,,5.26274481725474,0.09244526992551982,0.09244526992551982
21.0,0.09417880466207862,,4.899262382534866,0.09417880466207862,0.09417880466207862
22.0,0.12672568066045642,,5.5554160889841055,0.12672568066045642,0.12672568066045642
23.0,0.12386409658938646,,5.0190895158599425,0.12386409658938646,0.12386409658938646
24.0,0.07569227926433086,,4.858386288899222,0.07569227926433086,0.07569227926433086
25.0,0.08424494764767587,,4.827346467058247,0.08424494764767587,0.08424494764767587
26.0,0.09786636708304286,,5.106801493153721,0.09786636708304286,0.09786636708304286
27.0,0.12884017219766974,,4.835353792648686,0.12884017219766974,0.12884017219766974
28.0,0.06623703218065202,,4.669285547159609,0.06623703218065202,0.06623703218065202
29.0,0.06979607441462576,,4.7126836344873135,0.06979607441462576,0.06979607441462576
30.0,0.07702892657835037,,4.776287450483488,0.07702892657835037,0.07702892657835037
31.0,0.07817681692540646,,4.788677700514815,0.07817681692540646,0.07817681692540646
32.0,0.09836244955658913,,5.006267274770353,0.09836244955658913,0.09836244955658913
33.0,0.09429537039250135,,4.570035522466423,0.09429537039250135,0.09429537039250135
34.0,0.09315067902207375,,4.965051880083932,0.09315067902207375,0.09315067902207375
35.0,0.11893086670897901,,4.716130122632588,0.11893086670897901,0.11893086670897901
36.0,0.06732912454754114,,4.439825363973015,0.06732912454754114,0.06732912454754114
37.0,0.08219410397578031,,4.859771558086296,0.08219410397578031,0.08219410397578031
38.0,0.09965822333469987,,4.538481826071874,0.09965822333469987,0.09965822333469987
39.0,0.08475550916045904,,4.852965120451324,0.08475550916045904,0.08475550916045904
40.0,0.1261509470641613,,4.898185455865193,0.1261509470641613,0.1261509470641613
41.0,0.0672209553886205,,4.626102618416259,0.0672209553886205,0.0672209553886205
42.0,0.08124737022444606,,4.512651869858707,0.08124737022444606,0.08124737022444606
