epoch,train_loss,val_window_mae_kwh,grad_norm,w_window,l_window,val_mae_soc_event_0.1,val_mae_soc_event_0.2,val_mae_soc_event_0.5,val_mae_time_60s,val_mae_time_120s,val_mae_time_300s,val_mae_time_600s,val_mae_full_trip
0.0,0.22728297921518484,0.16954539623111486,4.544970909061397,0.22728297921518484,0.22728297921518484,0.027184344828128815,0.0268646702170372,0.03164741396903992,0.02608521655201912,0.04529019072651863,0.1012067049741745,0.19377118349075317,0.9043134450912476
1.0,0.16556928555170694,0.1174836007412523,5.089445853077372,0.16556928555170694,0.16556928555170694,0.019841555505990982,0.021358879283070564,0.02326071634888649,0.0202292799949646,0.03666962310671806,0.08250988274812698,0.1374538540840149,0.5985450148582458
2.0,0.10768710169941187,0.1669163319747895,4.96064080420988,0.10768710169941187,0.10768710169941187,0.024907061830163002,0.024261677637696266,0.02948302961885929,0.023777693510055542,0.04108534753322601,0.09365270286798477,0.18683744966983795,0.9113256931304932
3.0,0.1498020455862085,0.11969298589974642,4.439997484852681,0.1498020455862085,0.1498020455862085,0.020635364577174187,0.019992509856820107,0.024528810754418373,0.019502462819218636,0.03259766474366188,0.07240359485149384,0.14109742641448975,0.6267860531806946
4.0,0.11315779636303584,0.0957060141954571,4.601593544577346,0.11315779636303584,0.11315779636303584,0.01839236170053482,0.019437940791249275,0.022367918863892555,0.018290994688868523,0.032142505049705505,0.07490690052509308,0.12383760511875153,0.4562718868255615
5.0,0.1037933931996425,0.1353763567749411,4.6710325205009235,0.1037933931996425,0.1037933931996425,0.020610572770237923,0.020172301679849625,0.02463681250810623,0.019642043858766556,0.03411227464675903,0.07563513517379761,0.15633970499038696,0.7318620085716248
6.0,0.10980481902758281,0.07432233542203903,4.375109043636031,0.10980481902758281,0.10980481902758281,0.017771579325199127,0.018332580104470253,0.021119162440299988,0.01703193597495556,0.028865352272987366,0.06290698051452637,0.12140966951847076,0.30714142322540283
7.0,0.07266226100424926,0.07159085012972355,4.095095560154516,0.07266226100424926,0.07266226100424926,0.01779690384864807,0.018037155270576477,0.02093200944364071,0.016772029921412468,0.02872554212808609,0.05996363237500191,0.1260112076997757,0.284488320350647
8.0,0.07391918171197176,0.0769108822569251,4.028386124895701,0.07391918171197176,0.07391918171197176,0.018088651821017265,0.018537381663918495,0.021355021744966507,0.01705942489206791,0.029179507866501808,0.06245195120573044,0.12161384522914886,0.32700127363204956
9.0,0.06820081733167171,0.08711408148519695,4.009073838513937,0.06820081733167171,0.06820081733167171,0.0178200863301754,0.017633579671382904,0.02102438546717167,0.016742298379540443,0.028280852362513542,0.05785924196243286,0.12428262829780579,0.413269579410553
