epoch,train_loss,val_window_mae_kwh,grad_norm,w_window,l_prior,l_boundary,w_state,dynamics_residual_mae,w_prior,l_state,l_dynamics,loss,w_boundary,dynamics_residual_rmse,l_window,w_dynamics,val_mae_soc_event_0.1,val_mae_soc_event_0.2,val_mae_soc_event_0.5,val_mae_time_60s,val_mae_time_120s,val_mae_time_300s,val_mae_time_600s,val_mae_full_trip
0.0,1.808814601464705,0.08456380921415985,0.7511571996428004,0.13215239549225027,0.0009560592906258204,0.0,1.6761471835049717,0.015528170645914295,9.560592906258207e-05,16.761471835049715,0.00041939801700540227,1.808814601464705,0.0,0.020112481476231056,0.13215239549225027,0.00041939801700540227,0.01563708856701851,0.01613324135541916,0.01647108979523182,0.01619999296963215,0.025139858946204185,0.052597932517528534,0.0751357153058052,0.4591955542564392
1.0,1.7377283789894797,0.0762850564206019,0.8265131961850493,0.08133109150962396,0.022240257329857824,0.0,1.653494644165039,0.01897549976340749,0.0022240257329857824,16.53494644165039,0.0006785808641738681,1.7377283789894797,0.0,0.0250819901173765,0.08133109150962396,0.0006785808641738681,0.013887309469282627,0.01418710220605135,0.01570497453212738,0.014057951979339123,0.023306503891944885,0.04907253757119179,0.0782865658402443,0.4017775058746338
2.0,1.640309523452412,0.10922048753127456,1.0220969345543518,0.05991870537400246,0.08177667661485347,0.0,1.5676957043734463,0.03146075711331584,0.008177667661485349,15.676957043734463,0.004517379253891043,1.640309523452412,0.0,0.06125582399016077,0.05991870537400246,0.004517379253891043,0.015018969774246216,0.015307937748730183,0.017741378396749496,0.014967373572289944,0.025537241250276566,0.057125531136989594,0.10612640529870987,0.6219390630722046
3.0,1.5221376798369668,0.06635228509549052,1.048949084302694,0.06401618248359724,0.07511043480851433,0.0,1.4178708293221214,0.06426495110446756,0.0075110434808514336,14.178708293221213,0.032739606431939385,1.5221376798369668,0.0,0.17401646890423514,0.06401618248359724,0.032739606431939385,0.013842185959219933,0.014107906259596348,0.015806974843144417,0.014278009533882141,0.022635042667388916,0.04514898732304573,0.06722990423440933,0.3377692699432373
4.0,1.4500318548896096,0.0963981463573873,0.9627052071728321,0.05703975429589098,0.06268417039378123,0.0,1.3198052276264536,0.09390910613265904,0.006268417039378123,13.198052276264537,0.06691843542185696,1.4500318548896096,0.0,0.2546764774755998,0.05703975429589098,0.06691843542185696,0.014666972681879997,0.014887291006743908,0.016933515667915344,0.014730253256857395,0.024237042292952538,0.05215432122349739,0.09017423540353775,0.5434015393257141
5.0,1.40953438390385,0.08685342280659825,0.9991730716874178,0.060604965314269066,0.05541531132026152,0.0,1.2751913417469372,0.0978756533427672,0.005541531132026153,12.751913417469371,0.06819651004942981,1.40953438390385,0.0,0.2531627240506085,0.060604965314269066,0.06819651004942981,0.014367230236530304,0.01461003627628088,0.016298439353704453,0.014365090057253838,0.02369304746389389,0.04906024411320686,0.07795678824186325,0.4844765067100525
6.0,1.3846852454272183,0.07956914557144046,1.0343248764661161,0.061172125353054566,0.043895559893413025,0.0,1.2521034587513318,0.09981782260266217,0.004389555989341303,12.521034587513316,0.06702010960064152,1.3846852454272183,0.0,0.2512357383966446,0.061172125353054566,0.06702010960064152,0.014228079468011856,0.014450589194893837,0.015923598781228065,0.014235956594347954,0.023383697494864464,0.04692431539297104,0.07328055053949356,0.4341263771057129
7.0,1.3556822592561895,0.06620844930876046,1.093047924132936,0.06168067184361545,0.0375662584873763,0.0,1.22384146343578,0.10047801651737907,0.003756625848737631,12.238414634357799,0.0664034743200649,1.3556822592561895,0.0,0.2519036721099507,0.06168067184361545,0.0664034743200649,0.014046857133507729,0.014356131665408611,0.015490962192416191,0.014283297583460808,0.022748537361621857,0.04563479870557785,0.06830020993947983,0.33480679988861084
8.0,1.318937290798534,0.1024681074777618,1.0689401757835806,0.05620336549525911,0.0441490031609481,0.0,1.1936446536671033,0.09864339909770271,0.00441490031609481,11.936446536671031,0.06467438760128888,1.318937290798534,0.0,0.2505949911746112,0.05620336549525911,0.06467438760128888,0.015434523113071918,0.015734201297163963,0.017646318301558495,0.015287142246961594,0.025847680866718292,0.055127017199993134,0.09260650724172592,0.5820614695549011
9.0,1.3058729551055215,0.08065987576264888,1.2004898213419677,0.06714527207342061,0.042215695096687836,0.0,1.173442840576172,0.09587927162647247,0.004221569509668784,11.734428405761719,0.06106329506093806,1.3058729551055215,0.0,0.2442966252565384,0.06714527207342061,0.06106329506093806,0.014502448961138725,0.014749296009540558,0.016248174011707306,0.01448910403996706,0.023920750245451927,0.04823146015405655,0.07413323223590851,0.4390045404434204
