epoch,train_loss,val_window_mae_kwh,grad_norm,w_window,l_prior,l_boundary,w_state,dynamics_residual_mae,w_prior,l_state,l_dynamics,loss,w_boundary,dynamics_residual_rmse,l_window,w_dynamics,val_mae_soc_event_0.1,val_mae_soc_event_0.2,val_mae_soc_event_0.5,val_mae_time_60s,val_mae_time_120s,val_mae_time_300s,val_mae_time_600s,val_mae_full_trip
0.0,1.9197132190068562,0.07899461477063596,0.7415208606534026,0.1449787157277266,0.0011298277894032556,0.0,1.7742109537124637,0.01529518406217297,0.00011298277894032557,17.742109537124634,0.0004105250736756716,1.9197132190068562,0.0,0.01980726219092806,0.1449787157277266,0.0004105250736756716,0.012786228209733963,0.013036164455115795,0.018033204600214958,0.012430868111550808,0.023758115246891975,0.05403058975934982,0.08992639929056168,0.4079553484916687
1.0,1.8338051736354828,0.055353310192003846,0.8346792224423867,0.08033989416435361,0.028874659018280607,0.0,1.7498389244079589,0.019579363676408928,0.0028874659018280607,17.49838924407959,0.0007388519091667453,1.8338051736354828,0.0,0.026077729494621355,0.08033989416435361,0.0007388519091667453,0.011884264647960663,0.01211350504308939,0.016355380415916443,0.010809768922626972,0.02168194204568863,0.052407849580049515,0.11100564897060394,0.20656812191009521
2.0,1.7302406926949818,0.04875648650340736,1.019546812317747,0.06023082323372364,0.08842479158192873,0.0,1.6540977835655213,0.038824014676113926,0.008842479158192874,16.540977835655212,0.007069603326575209,1.7302406926949818,0.0,0.07771644120415051,0.06023082323372364,0.007069603326575209,0.012429343536496162,0.012790507636964321,0.01720096357166767,0.011495032347738743,0.022485630586743355,0.05397602915763855,0.11631609499454498,0.1433582901954651
3.0,1.601662869254748,0.04784782649949193,0.9159813732938774,0.05359529393414656,0.07988830547158916,0.0,1.4967732588450113,0.08216898174335559,0.007988830547158916,14.967732588450113,0.0433054695216318,1.601662869254748,0.0,0.2043017546335856,0.05359529393414656,0.0433054695216318,0.012232727371156216,0.012482368387281895,0.017077729105949402,0.011358566582202911,0.022443924099206924,0.054442018270492554,0.11298007518053055,0.139765202999115
4.0,1.5158942987521489,0.055247393203899264,0.9649016113822336,0.05089389098187288,0.07266039587557316,0.0,1.38538791735967,0.10335629185040791,0.007266039587557316,13.8538791735967,0.07234645665933688,1.5158942987521489,0.0,0.2630859315395355,0.05089389098187288,0.07234645665933688,0.011608376167714596,0.011841518804430962,0.016450736671686172,0.010779130272567272,0.021367566660046577,0.05203258991241455,0.10487425327301025,0.21302497386932373
5.0,1.4629677335421245,0.03327237535268068,1.0838586802998014,0.05639967772488793,0.0498070086662968,0.0,1.3202557841936748,0.1077398390819629,0.00498070086662968,13.202557841936747,0.08133157699679334,1.4629677335421245,0.0,0.2750876856346925,0.05639967772488793,0.08133157699679334,0.010822348296642303,0.010881399735808372,0.015283450484275818,0.00990566611289978,0.019559985026717186,0.046053510159254074,0.091060109436512,0.06261253356933594
6.0,1.4126157661279042,0.05704769096337259,1.1040894461198991,0.05650104163214564,0.052502043545246124,0.0,1.277333958943685,0.10539301484823227,0.005250204354524612,12.77333958943685,0.07353057401875655,1.4126157661279042,0.0,0.2622057969371478,0.05650104163214564,0.07353057401875655,0.01085631549358368,0.01093763392418623,0.015681307762861252,0.009975354187190533,0.01993388682603836,0.047929566353559494,0.09717974066734314,0.24388772249221802
7.0,1.3753810375928879,0.03006226127035916,1.2773638036170907,0.06200899059573809,0.047555490396916866,0.0,1.2359633207321166,0.10309612688918908,0.004755549039691687,12.359633207321167,0.07265315670520067,1.3753810375928879,0.0,0.2628888636827469,0.06200899059573809,0.07265315670520067,0.010834736749529839,0.010879063978791237,0.015154372900724411,0.009787585586309433,0.019224556162953377,0.045289963483810425,0.09135273844003677,0.03797507286071777
8.0,1.3384642104307811,0.08468008413910866,1.2158946574365987,0.05229238048195839,0.0666303561689953,0.0,1.206634779771169,0.10334179115792115,0.006663035616899532,12.06634779771169,0.0728739785651366,1.3384642104307811,0.0,0.26156557848056156,0.05229238048195839,0.0728739785651366,0.012081640772521496,0.012222454883158207,0.01699930429458618,0.01115821860730648,0.02259531430900097,0.056762032210826874,0.11813618242740631,0.42748552560806274
9.0,1.333382432659467,0.042327916133217514,1.3356177349269576,0.068460488691926,0.07340414139131705,0.0,1.1881620446840924,0.10333782869080703,0.007340414139131706,11.881620446840921,0.06941947713494301,1.333382432659467,0.0,0.2575734419127305,0.068460488691926,0.06941947713494301,0.011195720173418522,0.01127488724887371,0.015533825382590294,0.010125581175088882,0.02030349336564541,0.04893368482589722,0.10134828090667725,0.11990785598754883
10.0,1.2968345532814662,0.03832803887780756,1.2929113536107522,0.056915647350251675,0.05056859692558646,0.0,1.1645315170288086,0.10461007493237655,0.005056859692558647,11.645315170288086,0.07033052667975426,1.2968345532814662,0.0,0.2588530903061231,0.056915647350251675,0.07033052667975426,0.01150556094944477,0.011574470438063145,0.016010144725441933,0.0105219017714262,0.020816702395677567,0.05058242008090019,0.10464872419834137,0.08096438646316528
11.0,1.2720200369755428,0.06062209338415414,1.2608220616350112,0.0534165445715189,0.06684345069030921,0.0,1.1462810794512432,0.10296711636086305,0.006684345069030921,11.46281079451243,0.06563805416226387,1.2720200369755428,0.0,0.2500627574821313,0.0534165445715189,0.06563805416226387,0.011547687463462353,0.011681027710437775,0.016106216236948967,0.010546114295721054,0.021399464458227158,0.051975227892398834,0.10715106129646301,0.254569947719574
12.0,1.2529567678769429,0.042616284103132784,1.3005773409332488,0.057427643332630396,0.06294738423700134,0.0,1.124092793464661,0.10361125692725182,0.006294738423700134,11.240927934646606,0.06514157510052125,1.2529567678769429,0.0,0.2499278336763382,0.057427643332630396,0.06514157510052125,0.011664938181638718,0.011835388839244843,0.01633843407034874,0.010724800638854504,0.021061843261122704,0.051272083073854446,0.1065179780125618,0.11151480674743652
13.0,1.2250237862269084,0.060229374445043504,1.2446537072491421,0.05322806164622307,0.06850105756893754,0.0,1.1010190010070802,0.10400247822205226,0.006850105756893754,11.0101900100708,0.06392661714926362,1.2250237862269084,0.0,0.24760349839925766,0.05322806164622307,0.06392661714926362,0.011883586645126343,0.012013488449156284,0.016430169343948364,0.01082104817032814,0.022075770422816277,0.05403435230255127,0.11144166439771652,0.24313491582870483
14.0,1.2046306480964024,0.04658613121137023,1.2990616425153318,0.056588119361549616,0.06829163804650307,0.0,1.079608702659607,0.10302411578595638,0.006829163804650305,10.79608702659607,0.06160464261968931,1.2046306480964024,0.0,0.24398650725682577,0.056588119361549616,0.06160464261968931,0.011961743235588074,0.012195662595331669,0.016704795882105827,0.010999786667525768,0.02168883942067623,0.05302225425839424,0.11155949532985687,0.13455647230148315
15.0,1.1727875471115112,0.04305447346996516,1.263049132748949,0.051993963308632374,0.06502085411921144,0.0,1.0532771031061807,0.10269902584453423,0.006502085411921143,10.532771031061808,0.061014384807397924,1.1727875471115112,0.0,0.242802361647288,0.051993963308632374,0.061014384807397924,0.011835646815598011,0.012066797353327274,0.01650477573275566,0.010845311917364597,0.021686680614948273,0.052937041968107224,0.11087718605995178,0.10768234729766846
