epoch,train_loss,val_window_mae_kwh,grad_norm,w_window,l_window
0.0,0.3079427471384406,,6.375056674771761,0.3079427471384406,0.3079427471384406
1.0,0.12601658329367638,,6.1809064981616615,0.12601658329367638,0.12601658329367638
2.0,0.1538188646081835,,6.563173432757229,0.1538188646081835,0.1538188646081835
3.0,0.17958502075634897,,5.808200883017843,0.17958502075634897,0.17958502075634897
4.0,0.0810699702706188,,5.475579883432362,0.0810699702706188,0.0810699702706188
5.0,0.10109681077301502,,5.357094675856954,0.10109681077301502,0.10109681077301502
6.0,0.08116017142310739,,5.336921728603374,0.08116017142310739,0.08116017142310739
7.0,0.07456771424040198,,5.203022000280971,0.07456771424040198,0.07456771424040198
8.0,0.08309092372655869,,5.342817837832815,0.08309092372655869,0.08309092372655869
9.0,0.0932573270983994,,5.1925709112200735,0.0932573270983994,0.0932573270983994
10.0,0.10608478635549545,,5.207682183256242,0.10608478635549545,0.10608478635549545
11.0,0.15163612947799265,,5.888556265132722,0.15163612947799265,0.15163612947799265
12.0,0.153673687716946,,5.175797028781276,0.153673687716946,0.153673687716946
13.0,0.0731893116608262,,4.942242512226608,0.0731893116608262,0.0731893116608262
14.0,0.08318998734466732,,4.673240024299712,0.08318998734466732,0.08318998734466732
15.0,0.09330085595138371,,4.785652828727567,0.09330085595138371,0.09330085595138371
16.0,0.09710710681974888,,5.239986843393668,0.09710710681974888,0.09710710681974888
17.0,0.15724086249247193,,5.009682092982306,0.15724086249247193,0.15724086249247193
18.0,0.06462801108136773,,4.6993389513679595,0.06462801108136773,0.06462801108136773
19.0,0.11154222092591226,,5.290048542034575,0.11154222092591226,0.11154222092591226
20.0,0.141679379157722,,4.882528116387482,0.141679379157722,0.141679379157722
21.0,0.07111814431846142,,4.731334215114981,0.07111814431846142,0.07111814431846142
