epoch,train_loss,val_window_mae_kwh,grad_norm,dynamics_residual_rmse,loss,w_dynamics,w_state,l_prior,dynamics_residual_mae,w_window,l_window,l_dynamics,w_prior,w_boundary,l_state,l_boundary
0.0,2.6472031846642494,,5.37140776834152,0.01910971343750134,2.6472031846642494,0.000387172847695183,1.99105364382267,0.003221419711735507,0.014651367033366114,0.6554401777684689,0.6554401777684689,0.000387172847695183,0.0003221419711735507,0.0,19.9105364382267,0.0
1.0,2.176813054829836,,7.303257432322843,0.025444551545660943,2.176813054829836,0.0007160292898333864,1.9638880133628844,0.04125133133493364,0.01899887138279155,0.2080838470137678,0.2080838470137678,0.0007160292898333864,0.0041251331334933635,0.0,19.638880133628845,0.0
2.0,2.2056229040026665,,7.603809493525186,0.07353941921610385,2.2056229040026665,0.006735565348208183,1.8612021118402482,0.03824902669293806,0.03249907668214291,0.3338602731237188,0.3338602731237188,0.006735565348208183,0.003824902669293806,0.0,18.61202111840248,0.0
3.0,1.8972693234682083,,7.106796741555474,0.21008651982992887,1.8972693234682083,0.04674503894057125,1.6744126081466675,0.04531638656044379,0.07695874059572816,0.1715799865196459,0.1715799865196459,0.04674503894057125,0.00453163865604438,0.0,16.744126081466675,0.0
4.0,1.91453130915761,,7.52242485015854,0.3017519377171993,1.91453130915761,0.09320881590247154,1.5491061508655548,0.047346813313197345,0.1147011648863554,0.2674816573271528,0.2674816573271528,0.09320881590247154,0.004734681331319735,0.0,15.491061508655548,0.0
5.0,1.772587239742279,,7.260696623815894,0.2801473094150424,1.772587239742279,0.08248590980656445,1.4982283204793931,0.043116441229358315,0.11402077740058303,0.18756134109571576,0.18756134109571576,0.08248590980656445,0.0043116441229358315,0.0,14.98228320479393,0.0
6.0,1.7386435456573963,,7.453862170487267,0.291406923905015,1.7386435456573963,0.08739309618249536,1.4521778434515,0.034658016345929354,0.11827219510450959,0.19560678296693368,0.19560678296693368,0.08739309618249536,0.0034658016345929356,0.0,14.521778434515,0.0
7.0,1.6898743137717247,,7.385989265518057,0.2821720587089658,1.6898743137717247,0.08204749436117709,1.404535958170891,0.042460823664441705,0.11327926581725478,0.1990447505377233,0.1990447505377233,0.08204749436117709,0.00424608236644417,0.0,14.045359581708908,0.0
8.0,1.6653129644691944,,7.6172406887939665,0.2861074535176158,1.6653129644691944,0.08501245244406164,1.359126329421997,0.03316174866631627,0.11177864344790578,0.2178579954779707,0.2178579954779707,0.08501245244406164,0.0033161748666316274,0.0,13.59126329421997,0.0
9.0,1.5806204490363598,,7.4053236593456395,0.2753628473728895,1.5806204490363598,0.07934827264398336,1.3250331014394763,0.04729971016058698,0.10835223319008946,0.1715090653160587,0.1715090653160587,0.07934827264398336,0.004729971016058698,0.0,13.25033101439476,0.0
10.0,1.6298006251454353,,7.823263438694113,0.2722701393067837,1.6298006251454353,0.0767185331787914,1.2942869693040848,0.04904593963874504,0.10587723646312952,0.25389050430385396,0.25389050430385396,0.0767185331787914,0.004904593963874504,0.0,12.942869693040848,0.0
11.0,1.5127713717520237,,7.540148192199383,0.285234235227108,1.5127713717520237,0.08593406458385289,1.242581069469452,0.0538146382314153,0.1064260401763022,0.17887479118508054,0.17887479118508054,0.08593406458385289,0.00538146382314153,0.0,12.425810694694519,0.0
12.0,1.5877939127385616,,7.84393039976181,0.28292590752243996,1.5877939127385616,0.08479251805692911,1.2057727053761482,0.0437707609962672,0.10393546847626567,0.29285160608560545,0.29285160608560545,0.08479251805692911,0.004377076099626721,0.0,12.057727053761482,0.0
