epoch,train_loss,val_window_mae_kwh,grad_norm,w_window,l_window
0.0,0.31079733092337847,,6.444035383354393,0.31079733092337847,0.31079733092337847
1.0,0.11857058922760189,,6.256532144054023,0.11857058922760189,0.11857058922760189
2.0,0.13734961301088333,,6.556381236108776,0.13734961301088333,0.13734961301088333
3.0,0.11256330739706755,,5.897973479733835,0.11256330739706755,0.11256330739706755
4.0,0.14242420252412558,,6.199960349151922,0.14242420252412558,0.14242420252412558
5.0,0.1537167823407799,,5.752181369313561,0.1537167823407799,0.1537167823407799
6.0,0.08541605155915022,,5.435699923556504,0.08541605155915022,0.08541605155915022
7.0,0.1170564026106149,,5.303315879951523,0.1170564026106149,0.1170564026106149
8.0,0.1277617800515145,,5.757500761398183,0.1277617800515145,0.1277617800515145
9.0,0.15769092552363873,,5.287858345630763,0.15769092552363873,0.15769092552363873
10.0,0.07916573155671358,,5.119851129781062,0.07916573155671358,0.07916573155671358
11.0,0.09517345437780023,,5.2469141936814605,0.09517345437780023,0.09517345437780023
12.0,0.11538356123492122,,5.1370136523631125,0.11538356123492122,0.11538356123492122
13.0,0.1058066226541996,,5.375551214164588,0.1058066226541996,0.1058066226541996
14.0,0.10735387890599668,,4.99146134820138,0.10735387890599668,0.10735387890599668
15.0,0.07920304453000426,,5.065614492220348,0.07920304453000426,0.07920304453000426
