epoch,train_loss,val_window_mae_kwh,grad_norm,w_window,dynamics_residual_mae,l_state,w_state,l_prior,loss,l_window,l_dynamics,l_boundary,dynamics_residual_rmse,w_prior,w_dynamics,w_boundary,val_mae_soc_event_0.1,val_mae_soc_event_0.2,val_mae_soc_event_0.5,val_mae_time_60s,val_mae_time_120s,val_mae_time_300s,val_mae_time_600s,val_mae_full_trip
0.0,2.205528908305698,0.11668979923706502,0.8696415355313178,0.13937966028849283,0.014079472670952478,20.657040490044487,2.0657040490044487,0.0005753531424690866,2.205528908305698,0.13937966028849283,0.00038764904376067634,0.0,0.019109893383251295,5.7535314246908664e-05,0.00038764904376067634,0.0,0.014910121448338032,0.015160954557359219,0.016715794801712036,0.015245000831782818,0.026537947356700897,0.05884113907814026,0.09854765236377716,0.6875597834587097
1.0,2.145047187805176,0.05898630584124476,0.9945310773073311,0.08921917610698277,0.016348680895235803,20.541202333238388,2.054120233323839,0.011993343786646923,2.145047187805176,0.08921917610698277,0.0005083973438660097,0.0,0.021780094959669642,0.0011993343786646923,0.0005083973438660097,0.0,0.01240023784339428,0.012530043721199036,0.014189752750098705,0.011970419436693192,0.02113822102546692,0.04312824457883835,0.07218647003173828,0.2843470573425293
2.0,2.0803960959116616,0.09398021444212645,1.1151194095918018,0.053006927172342934,0.02301589192615615,20.208648681640625,2.020864868164063,0.05068136710259649,2.0803960959116616,0.053006927172342934,0.001456142008666777,0.0,0.03631897105111016,0.00506813671025965,0.001456142008666777,0.0,0.012973932549357414,0.013165779411792755,0.01483517698943615,0.012499005533754826,0.022103482857346535,0.050923943519592285,0.0943298265337944,0.5310105681419373
3.0,2.0142787959840565,0.05580892087891698,1.1629638897500234,0.06165027287271288,0.04374550738268428,19.379368040296768,1.9379368040296765,0.05083582881424162,2.0142787959840565,0.06165027287271288,0.009608127176761627,0.0,0.0932640102174547,0.0050835828814241625,0.009608127176761627,0.0,0.011532047763466835,0.011753103695809841,0.013356736861169338,0.011286640539765358,0.019965389743447304,0.04136984050273895,0.06972464174032211,0.2674829661846161
4.0,1.915659228960673,0.06268931250087917,1.0541984591052482,0.04645695351064205,0.08631374769740635,18.22300057941013,1.822300057941013,0.04593167909317546,1.915659228960673,0.04645695351064205,0.042309025302529335,0.0,0.200792182650831,0.004593167909317546,0.042309025302529335,0.0,0.011498413048684597,0.011740541085600853,0.013416646979749203,0.011353917419910431,0.020064128562808037,0.04256747290492058,0.07670322805643082,0.31417015194892883
5.0,1.8490230441093445,0.060569760273210704,1.0637107939882346,0.045010547257132,0.11516429111361504,17.19410604900784,1.7194106049007842,0.05098668817016813,1.8490230441093445,0.045010547257132,0.07950313886006673,0.0,0.2739980071783066,0.005098668817016814,0.07950313886006673,0.0,0.011422411538660526,0.011709706857800484,0.013342948630452156,0.011464342474937439,0.01981590874493122,0.04163032025098801,0.0727408304810524,0.3024316132068634
6.0,1.7922823429107666,0.05584665108472109,1.131924353102856,0.04697475334008535,0.12027678307559755,16.504499594370525,1.6504499594370525,0.047677151237924896,1.7922823429107666,0.04697475334008535,0.09008992815183268,0.0,0.29091372423701817,0.004767715123792489,0.09008992815183268,0.0,0.011496275663375854,0.011794576421380043,0.013433076441287994,0.01171659491956234,0.019935157150030136,0.0410735122859478,0.06646754592657089,0.27085646986961365
7.0,1.7493144538667467,0.05382275546435267,1.2336710774396975,0.050055701492561236,0.12237217939562267,15.996104134453667,1.599610413445367,0.04038775049977832,1.7493144538667467,0.050055701492561236,0.09560952045851284,0.0,0.3016219172212813,0.004038775049977832,0.09560952045851284,0.0,0.011722669005393982,0.011956778354942799,0.01368195191025734,0.011985821649432182,0.020409511402249336,0.041705045849084854,0.06439337879419327,0.2547268867492676
8.0,1.7019013166427612,0.05388491053599864,1.345662491277956,0.051748659875657826,0.1244927015569475,15.447822623782688,1.544782262378269,0.03353782184422016,1.7019013166427612,0.051748659875657826,0.10201661081777678,0.0,0.312622790535291,0.0033537821844220163,0.10201661081777678,0.0,0.011912453919649124,0.012110330164432526,0.013793282210826874,0.012081746943295002,0.020701568573713303,0.04249658063054085,0.06425287574529648,0.253730446100235
9.0,1.6565904551082187,0.05552952631842345,1.440119670511621,0.04883460555639532,0.1209253544608752,15.040244102478027,1.5040244102478029,0.03446830374499162,1.6565904551082187,0.04883460555639532,0.1002845929728614,0.0,0.3100376824537913,0.003446830374499162,0.1002845929728614,0.0,0.011799176223576069,0.012102088890969753,0.013711838982999325,0.011699836701154709,0.020327884703874588,0.04257442429661751,0.06638845056295395,0.2656325101852417
