epoch,train_loss,val_window_mae_kwh,grad_norm,w_window,dynamics_residual_mae,l_state,w_state,l_prior,loss,l_window,l_dynamics,l_boundary,dynamics_residual_rmse,w_prior,w_dynamics,w_boundary
0.0,2.300257017215093,,0.9847736564860395,0.14347494766116142,0.014486629981547594,21.562089999516804,2.1562089999516805,0.0018151727878527406,2.300257017215093,0.14347494766116142,0.00039155245637327124,0.0,0.019215182090799015,0.0001815172787852741,0.00039155245637327124,0.0
1.0,2.2035772452751794,,1.1574290640674836,0.07098062491665284,0.01859718079989155,21.28963875770569,2.128963875770569,0.028959855437278748,2.2035772452751794,0.07098062491665284,0.0007367290187782297,0.0,0.025800644575307768,0.0028959855437278754,0.0007367290187782297,0.0
2.0,2.1053828249375024,,1.332327535896205,0.06570136112471421,0.03711418202146888,20.27165965239207,2.027165965239207,0.04650206180910269,2.1053828249375024,0.06570136112471421,0.007865229728243625,0.0,0.08323320280760527,0.004650206180910269,0.007865229728243625,0.0
3.0,1.9974622031052907,,1.1711284087473819,0.05829724948853254,0.08514320229490598,18.84687312444051,1.8846873124440513,0.04847019615893563,1.9974622031052907,0.05829724948853254,0.04963058310871323,0.0,0.21991538256406784,0.004847019615893563,0.04963058310871323,0.0
4.0,1.9188264509042103,,1.340719215350587,0.0553370911317567,0.10712443136920531,17.81589186191559,1.7815891861915591,0.045911104107896485,1.9188264509042103,0.0553370911317567,0.07730899937450886,0.0,0.27043843269348145,0.004591110410789649,0.07730899937450886,0.0
5.0,1.8505633473396301,,1.4052306986153464,0.05396195004383723,0.10761011143525441,17.145710229873657,1.7145710229873659,0.04005950495290259,1.8505633473396301,0.05396195004383723,0.0780244106426835,0.0,0.27317070091764134,0.0040059504952902605,0.0780244106426835,0.0
6.0,1.7940796415011089,,1.5462157997266885,0.058540706833203636,0.11469890177249908,16.406071106592815,1.6406071106592812,0.03492463706061244,1.7940796415011089,0.058540706833203636,0.0914393396427234,0.0,0.2983304125567277,0.003492463706061244,0.0914393396427234,0.0
7.0,1.7370383193095524,,1.6699775785289444,0.05483764006445805,0.11191249700884025,15.84902044137319,1.584902044137319,0.039255767672633134,1.7370383193095524,0.05483764006445805,0.09337307667980592,0.0,0.30184922864039737,0.003925576767263313,0.09337307667980592,0.0
8.0,1.713531215985616,,1.928361404359336,0.071788199711591,0.10600038307408492,15.491936484972635,1.5491936484972637,0.03305704410498341,1.713531215985616,0.071788199711591,0.08924362187584241,0.0,0.29417596384882927,0.0033057044104983415,0.08924362187584241,0.0
9.0,1.656906579931577,,1.8873106404887139,0.05596315752093991,0.10566057140628497,15.110604127248129,1.5110604127248128,0.04023742221761495,1.656906579931577,0.05596315752093991,0.08585924593110879,0.0,0.28839930271108943,0.004023742221761495,0.08585924593110879,0.0
