epoch,train_loss,val_window_mae_kwh,grad_norm,w_window,dynamics_residual_mae,l_state,w_state,l_prior,loss,l_window,l_dynamics,l_boundary,dynamics_residual_rmse,w_prior,w_dynamics,w_boundary,val_mae_soc_event_0.1,val_mae_soc_event_0.2,val_mae_soc_event_0.5,val_mae_time_60s,val_mae_time_120s,val_mae_time_300s,val_mae_time_600s,val_mae_full_trip
0.0,2.2170245912339954,0.11773468065075576,0.8543401105642534,0.14861041638586256,0.014538867295616202,20.679706043667263,2.0679706043667263,0.0005190727768220111,2.2170245912339954,0.14861041638586256,0.0003916391061567184,0.0,0.019363906441463366,5.1907277682201116e-05,0.0003916391061567184,0.0,0.014545487239956856,0.015071805566549301,0.017009345814585686,0.01490120030939579,0.023582927882671356,0.05154573917388916,0.08637390285730362,0.7188470363616943
1.0,2.1595043738683066,0.05935682472772896,0.9577863262295807,0.10100962221622467,0.016374093376927905,20.56908713446723,2.056908713446723,0.011095128539535735,2.1595043738683066,0.10100962221622467,0.0004765259218402207,0.0,0.021240427986615233,0.0011095128539535734,0.0004765259218402207,0.0,0.012438718229532242,0.013012579642236233,0.014950850047171116,0.012588031589984894,0.01994883082807064,0.04130580276250839,0.06466303765773773,0.29594674706459045
2.0,2.0886217024591236,0.061158205033279955,1.1086334647608873,0.06078417681985431,0.021749929938879278,20.219509230719673,2.0219509230719677,0.04724240965313382,2.0886217024591236,0.06078417681985431,0.0011622898552256327,0.0,0.03238105670445495,0.0047242409653133815,0.0011622898552256327,0.0,0.012152859941124916,0.012706675566732883,0.014498824253678322,0.012286577373743057,0.019155606627464294,0.04138171300292015,0.06651138514280319,0.3105719983577728
3.0,2.0075195497936673,0.08253703825175762,1.1731072815351957,0.0632281464835008,0.03957449644804001,19.305669519636368,1.9305669519636366,0.05707192483047644,2.0075195497936673,0.0632281464835008,0.00801718589435849,0.0,0.08502928457326359,0.005707192483047644,0.00801718589435849,0.0,0.013181599788367748,0.013779997825622559,0.01541098952293396,0.013480021618306637,0.020604023709893227,0.045183297246694565,0.07401537150144577,0.4646410048007965
4.0,1.9069007635116577,0.08374423696659505,1.0851396093112322,0.054033081150717206,0.07911890372633934,18.083174811469185,1.8083174811469185,0.05791911482810974,1.9069007635116577,0.054033081150717206,0.03875825761093034,0.0,0.1940837088558409,0.005791911482810975,0.03875825761093034,0.0,0.013724161311984062,0.014237577095627785,0.01597214862704277,0.013687681406736374,0.021615875884890556,0.047321029007434845,0.08232700079679489,0.46106842160224915
5.0,1.8402260939280193,0.07983792712911963,1.1091758459982652,0.051521260705259114,0.10777260114749272,17.054784138997395,1.7054784138997396,0.06639837452934848,1.8402260939280193,0.051521260705259114,0.07658658425013225,0.0,0.2714902427461412,0.0066398374529348485,0.07658658425013225,0.0,0.013240174390375614,0.01386189553886652,0.015427886508405209,0.013108721934258938,0.02060796692967415,0.04361730068922043,0.07712676376104355,0.44171270728111267
6.0,1.79040969742669,0.05868642695713788,1.1795865349244,0.05242976360023022,0.11336483889155918,16.41208447350396,1.6412084473503963,0.05522507346338696,1.79040969742669,0.05242976360023022,0.09124894854095247,0.0,0.29305081566174823,0.005522507346338697,0.09124894854095247,0.0,0.01232938002794981,0.01300940290093422,0.014722630381584167,0.012495631352066994,0.01918688416481018,0.040263980627059937,0.06752529740333557,0.2899582087993622
7.0,1.7468529807196722,0.050550636602565646,1.256135836705006,0.05488999022377862,0.11538261009587182,15.966646671295166,1.5966646671295166,0.046523460704419345,1.7468529807196722,0.05488999022377862,0.09064592255486383,0.0,0.29394519494639504,0.004652346070441935,0.09064592255486383,0.0,0.012195137329399586,0.012901166453957558,0.014934664592146873,0.01225487794727087,0.019326021894812584,0.04091096296906471,0.07031324505805969,0.2215690165758133
8.0,1.703340510527293,0.04846072825603187,1.414551588339799,0.06133420765399933,0.11348329236110051,15.501736376020643,1.5501736376020643,0.043322279014521174,1.703340510527293,0.06133420765399933,0.08750045299530029,0.0,0.2918933398193783,0.004332227901452118,0.08750045299530029,0.0,0.012101803906261921,0.01275447104126215,0.014725702814757824,0.012261674739420414,0.01913386583328247,0.04080027714371681,0.06752156466245651,0.20838646590709686
9.0,1.6537871559460957,0.043700177571736276,1.500185363638922,0.058895128261711865,0.11102336231205198,15.026826911502415,1.5026826911502418,0.03578653517696592,1.6537871559460957,0.058895128261711865,0.08863068123658498,0.0,0.2951360195875168,0.003578653517696593,0.08863068123658498,0.0,0.012134984135627747,0.012813798151910305,0.01483833882957697,0.012240986339747906,0.019299466162919998,0.04091936722397804,0.06755200773477554,0.1698024719953537
