epoch,train_loss,val_window_mae_kwh,grad_norm,w_window,l_window,val_mae_soc_event_0.1,val_mae_soc_event_0.2,val_mae_soc_event_0.5,val_mae_time_60s,val_mae_time_120s,val_mae_time_300s,val_mae_time_600s,val_mae_full_trip
0.0,0.30591480020019746,0.2502495292574167,5.863404897729396,0.30591480020019746,0.30591480020019746,0.030826469883322716,0.03118208982050419,0.035989612340927124,0.02928747981786728,0.052577756345272064,0.11937983334064484,0.2074308842420578,1.4953221082687378
1.0,0.21442355174157354,0.11388392769731581,6.259629237785948,0.21442355174157354,0.21442355174157354,0.022990064695477486,0.023039307445287704,0.025356125086545944,0.0224783793091774,0.03756188601255417,0.07774534076452255,0.10691048204898834,0.5949898362159729
2.0,0.11324908832708995,0.13253228249959648,6.078216376855443,0.11324908832708995,0.11324908832708995,0.021460887044668198,0.02167353220283985,0.024496473371982574,0.021895918995141983,0.03694218024611473,0.07799560576677322,0.10291434079408646,0.7528793215751648
3.0,0.10930592070023219,0.12161046802066267,6.202086796729983,0.10930592070023219,0.10930592070023219,0.0211880374699831,0.021535228937864304,0.024024922400712967,0.02024097368121147,0.03416416794061661,0.07002672553062439,0.10436270385980606,0.6773409843444824
4.0,0.08105685851640171,0.06702785240486264,5.69850224328806,0.08105685851640171,0.08105685851640171,0.019717196002602577,0.02002287283539772,0.02192310430109501,0.01919494941830635,0.03199990466237068,0.06078849360346794,0.07837312668561935,0.2842031717300415
5.0,0.08198029837674564,0.09524847287684679,5.812199114304078,0.08198029837674564,0.08198029837674564,0.020366335287690163,0.020292138680815697,0.022737989202141762,0.020026149228215218,0.03277546539902687,0.06736627221107483,0.08358325809240341,0.49484017491340637
6.0,0.08014844813280636,0.08043399779126048,5.805962450466954,0.08014844813280636,0.08014844813280636,0.01933739334344864,0.019602211192250252,0.021378081291913986,0.01861981675028801,0.03082100860774517,0.05980495736002922,0.08072036504745483,0.39318814873695374
7.0,0.0701530199084017,0.0899485214613378,5.455995295952699,0.0701530199084017,0.0701530199084017,0.01963001675903797,0.019712764769792557,0.021587956696748734,0.01899356208741665,0.03132614865899086,0.06171274185180664,0.08061539381742477,0.46600958704948425
8.0,0.07600853095451991,0.09782051225192845,5.859570100892347,0.07600853095451991,0.07600853095451991,0.019931377843022346,0.01972237229347229,0.022306011989712715,0.020154649391770363,0.03303159400820732,0.06845957785844803,0.08629538863897324,0.5126631259918213
9.0,0.07927682167953914,0.10093909618444741,5.674839808248752,0.07927682167953914,0.07927682167953914,0.019523192197084427,0.019691510125994682,0.0218917615711689,0.018690239638090134,0.03135910630226135,0.061561115086078644,0.09073752164840698,0.5440583229064941
