epoch,train_loss,val_window_mae_kwh,grad_norm,l_state,w_state,w_boundary,w_prior,w_dynamics,dynamics_residual_mae,loss,l_window,l_boundary,dynamics_residual_rmse,w_window,l_prior,l_dynamics
0.0,2.2525650523602962,,0.9673546392905397,21.232591420412064,2.1232591420412064,0.0,0.0003880846175775332,0.0004005689152108971,0.014502900186926126,2.2525650523602962,0.1285172044299543,0.0,0.01933048467617482,0.1285172044299543,0.003880846175775332,0.0004005689152108971
1.0,2.1267018988728523,,1.2408870819874673,20.595408022403717,2.059540802240372,0.0,0.0037494767690077428,0.002789360238239169,0.023548621160443872,2.1267018988728523,0.06062223738990724,0.0,0.045483965426683426,0.06062223738990724,0.037494767690077424,0.002789360238239169
2.0,1.9823171086609364,,1.2297323807520413,18.82251524925232,1.8822515249252318,0.0,0.0047331409121397884,0.03887932887300849,0.0674723603297025,1.9823171086609364,0.056453110300935805,0.0,0.18842687644064426,0.056453110300935805,0.04733140912139788,0.03887932887300849
3.0,1.8827374391257763,,1.3580807404362503,17.42921793460846,1.742921793460846,0.0,0.0033642024151049558,0.08066728385165334,0.10840239678509533,1.8827374391257763,0.055784075520932674,0.0,0.2784563759341836,0.055784075520932674,0.033642024151049554,0.08066728385165334
4.0,1.8059816397726536,,1.5038809645709974,16.574374675750732,1.6574374675750732,0.0,0.002786744607146829,0.08677397901192307,0.11209704866632819,1.8059816397726536,0.0589834094280377,0.0,0.2909202789887786,0.0589834094280377,0.027867446071468294,0.08677397901192307
5.0,1.7415924184024334,,1.716630746071389,15.80927687883377,1.5809276878833771,0.0,0.0032091860310174527,0.09656848036684096,0.11157818138599396,1.7415924184024334,0.060886997263878584,0.0,0.3071093950420618,0.060886997263878584,0.032091860310174525,0.09656848036684096
6.0,1.693442814052105,,1.918592261957729,15.327481597661972,1.5327481597661974,0.0,0.0025630040152464064,0.09557374333962798,0.10852644965052605,1.693442814052105,0.06255785014946014,0.0,0.305002611130476,0.06255785014946014,0.025630040152464062,0.09557374333962798
7.0,1.6465247608721256,,1.9663018195536355,14.931276232004166,1.4931276232004167,0.0,0.0032808977470267565,0.09233946283347905,0.10791671089828014,1.6465247608721256,0.057776757748797536,0.0,0.2990649100393057,0.057776757748797536,0.032808977470267564,0.09233946283347905
8.0,1.6187490746378899,,2.0527205116760694,14.582919597625732,1.4582919597625734,0.0,0.0025304538372438404,0.09168455691542476,0.10749811492860317,1.6187490746378899,0.06624208868015558,0.0,0.2959916405379772,0.06624208868015558,0.0253045383724384,0.09168455691542476
9.0,1.5768394023180008,,2.0116355194697544,14.236674547195435,1.4236674547195434,0.0,0.003214394525275566,0.08731303038075566,0.10770303360186517,1.5768394023180008,0.06264448817819357,0.0,0.28859781567007303,0.06264448817819357,0.03214394525275566,0.08731303038075566
