epoch,train_loss,val_window_mae_kwh,grad_norm,l_state,w_state,w_boundary,w_prior,w_dynamics,dynamics_residual_mae,loss,l_window,l_boundary,dynamics_residual_rmse,w_window,l_prior,l_dynamics
0.0,2.2357766926288605,,0.9247452092314266,21.007338166236877,2.1007338166236877,0.0,0.0003068832168196423,0.0,0.014308070240076631,2.2357766926288605,0.13473595306277275,0.0,0.019156210939399898,0.13473595306277275,0.0030688321681964226,0.00039568444299220573
1.0,2.097719620913267,,1.2693117189679173,20.177526235580444,2.0177526235580445,0.0,0.002264364663278684,0.0,0.029387159913312644,2.097719620913267,0.07770259992685169,0.0,0.061274353065527976,0.07770259992685169,0.02264364663278684,0.004939036442010547
2.0,1.8985021114349365,,1.2732908763916901,18.346968680620193,1.8346968680620193,0.0,0.0030030294961761687,0.0,0.10470056161284447,1.8985021114349365,0.060802212567068636,0.0,0.2705918764695525,0.060802212567068636,0.030030294961761683,0.07935912709217519
3.0,1.75396160595119,,1.1549560206525125,16.897982209920883,1.6897982209920883,0.0,0.005969885957892985,0.0,0.22284419648349285,1.75396160595119,0.05819350224919617,0.0,0.5581813976168633,0.05819350224919617,0.05969885957892984,0.3176655387505889
4.0,1.6560985837131739,,1.5483906534593348,15.64179927110672,1.564179927110672,0.0,0.003825788968242705,0.0,0.24649554444476962,1.6560985837131739,0.08809282397851348,0.0,0.6869032271206379,0.08809282397851348,0.03825788968242705,0.47894929908216
5.0,1.5556762851774693,,1.7800898815004615,14.834685176610947,1.4834685176610947,0.0,0.003050056291976944,0.0,0.20788399642333388,1.5556762851774693,0.06915768817998469,0.0,0.6868000254034996,0.06915768817998469,0.030500562919769436,0.48086418583989143
6.0,1.5140627324581146,,2.098907530566379,14.316497325897217,1.431649732589722,0.0,0.0025589933735318485,0.0,0.1822032001800835,1.5140627324581146,0.0798539558891207,0.0,0.7132632993161678,0.0798539558891207,0.025589933735318482,0.5247249361127615
7.0,1.4754492938518524,,2.0998831130138194,14.05865427851677,1.4058654278516771,0.0,0.0025949295202735813,0.0,0.20011715684086084,1.4754492938518524,0.06698890053667128,0.0,0.7726310156285763,0.06698890053667128,0.02594929520273581,0.6115994453430176
8.0,1.4616569466888905,,2.2736520976622936,13.868325859308243,1.3868325859308244,0.0,0.0025191784516209736,0.0,0.19038618355989456,1.4616569466888905,0.07230512658134103,0.0,0.7680195048451424,0.07230512658134103,0.025191784516209736,0.6104066306725144
9.0,1.447681825608015,,2.177017173987113,13.764867007732391,1.3764867007732393,0.0,0.004231131839333102,0.0,0.20823810389265418,1.447681825608015,0.06696395995095372,0.0,0.8086406588554382,0.06696395995095372,0.04231131839333102,0.6685660127550364
10.0,1.4443433322012424,,2.224433619119808,13.614456713199615,1.3614456713199616,0.0,0.0031664527850807644,0.0,0.1908105700276792,1.4443433322012424,0.07973119989037514,0.0,0.7778691966086626,0.07973119989037514,0.031664527850807644,0.62621277756989
