epoch,train_loss,val_window_mae_kwh,grad_norm,l_state,w_state,loss,l_window,w_window,val_mae_soc_event_0.1,val_mae_soc_event_0.2,val_mae_soc_event_0.5,val_mae_time_60s,val_mae_time_120s,val_mae_time_300s,val_mae_time_600s,val_mae_full_trip
0.0,2.3307574712313137,0.24152700044214725,5.954400857600222,20.440908285287712,2.044090828528771,2.3307574712313137,0.286666608773745,0.286666608773745,0.026927487924695015,0.0274079367518425,0.032240524888038635,0.022917980328202248,0.04431948438286781,0.09898994117975235,0.1745425909757614,1.504870057106018
1.0,2.127090866749103,0.2106402199715376,6.203406508791223,20.212804354154148,2.021280435415415,2.127090866749103,0.10581039006893452,0.10581039006893452,0.024395765736699104,0.025030070915818214,0.027781566604971886,0.02437088079750538,0.040902476757764816,0.09421166777610779,0.15873835980892181,1.2896909713745117
2.0,2.113509705433479,0.37760229408741,6.829887212270107,19.54409940426166,1.9544099404261663,2.113509705433479,0.15909972528998667,0.15909972528998667,0.034135617315769196,0.03555373102426529,0.04114305227994919,0.029958311468362808,0.06029992178082466,0.14526888728141785,0.28622540831565857,2.3882334232330322
3.0,1.9859255093794603,0.21232226165011525,5.8805110103656535,18.11509788953341,1.8115097889533407,1.9859255093794603,0.1744157035763447,0.1744157035763447,0.023816294968128204,0.024589983746409416,0.02770340070128441,0.020595135167241096,0.03824768215417862,0.08674845844507217,0.16335813701152802,1.31351900100708
4.0,1.770290704873892,0.08027720637619495,5.590028525175445,16.760979138887844,1.6760979138887846,1.770290704873892,0.09419274215514843,0.09419274215514843,0.020368997007608414,0.021165551617741585,0.022086935117840767,0.019546521827578545,0.030990147963166237,0.06684036552906036,0.10203176736831665,0.35918736457824707
5.0,1.7097689922039325,0.3428365006111562,6.720719947378527,16.00184363585252,1.600184363585252,1.7097689922039325,0.10958461921948653,0.10958461921948653,0.0312783420085907,0.03266972675919533,0.03766093775629997,0.0271025151014328,0.05469764396548271,0.13214930891990662,0.26042863726615906,2.1667048931121826
6.0,1.6883650788894067,0.20968539966270328,6.764447530389862,15.194885584024282,1.5194885584024282,1.6883650788894067,0.16887646397719017,0.16887646397719017,0.02328195795416832,0.023842239752411842,0.027432795614004135,0.020091315731406212,0.03732829913496971,0.08320403844118118,0.1516730636358261,1.3106294870376587
7.0,1.5588980042017424,0.22718679485842586,7.137993382635676,14.580918422112099,1.4580918422112097,1.5588980042017424,0.10080611906372584,0.10080611906372584,0.028667358681559563,0.02969382330775261,0.03247418999671936,0.027507396414875984,0.04816884547472,0.11037897318601608,0.18868352472782135,1.351920247077942
8.0,1.658365630186521,0.9198953248560429,8.935952967248653,13.965177866128775,1.3965177866128775,1.658365630186521,0.2618478353206928,0.2618478353206928,0.07504215836524963,0.07905647158622742,0.09080976992845535,0.06845041364431381,0.1387300193309784,0.350043386220932,0.7164637446403503,5.840566635131836
9.0,1.6569175215867848,0.10069261188618839,8.399754751415642,13.55798259148231,1.355798259148231,1.6569175215867848,0.3011192980294044,0.3011192980294044,0.020773205906152725,0.021082203835248947,0.024167610332369804,0.019008364528417587,0.0327676497399807,0.06720654666423798,0.10808295011520386,0.5124523639678955
10.0,1.4126997544215276,0.31424105702899396,6.814201829711858,13.274017920860878,1.3274017920860879,1.4126997544215276,0.08529791178611609,0.08529791178611609,0.02920117974281311,0.030515896156430244,0.035043805837631226,0.024951938539743423,0.05002186447381973,0.1202574372291565,0.23752297461032867,1.9864133596420288
11.0,1.4307021223581755,0.08310700440779328,7.467920819189544,12.901491641998291,1.2901491641998293,1.4307021223581755,0.14055292222362298,0.14055292222362298,0.018787911161780357,0.01921817660331726,0.021421892568469048,0.0177614726126194,0.029883887618780136,0.06226937472820282,0.10085871815681458,0.39465460181236267
12.0,1.3673574809844677,0.35065517551265657,7.388995492936159,12.645868191352257,1.2645868191352259,1.3673574809844677,0.10277064918325497,0.10277064918325497,0.032560721039772034,0.03459823131561279,0.03917915001511574,0.028784962370991707,0.05619198828935623,0.14028483629226685,0.28192436695098877,2.1917171478271484
