epoch,train_loss,val_window_mae_kwh,grad_norm,l_state,w_state,w_boundary,w_prior,w_dynamics,dynamics_residual_mae,loss,l_window,l_boundary,dynamics_residual_rmse,w_window,l_prior,l_dynamics,val_mae_soc_event_0.1,val_mae_soc_event_0.2,val_mae_soc_event_0.5,val_mae_time_60s,val_mae_time_120s,val_mae_time_300s,val_mae_time_600s,val_mae_full_trip
0.0,2.0424552789101234,0.06087711628060788,0.803371409318965,19.00996208190918,1.9009962081909182,0.0,0.00016212592017836867,0.0004090799170976075,0.01516037412847464,2.0424552789101234,0.14088782438865075,0.0,0.01981843814540368,0.14088782438865075,0.0016212592017836869,0.0004090799170976075,0.012501401826739311,0.012640630826354027,0.01466354075819254,0.01243123784661293,0.020478708669543266,0.04534392058849335,0.06658849120140076,0.30236899852752686
1.0,1.9428609884702241,0.12281763122882694,0.9042553586266049,18.707386603722206,1.8707386603722205,0.0,0.003832580618417034,0.0008403007041824122,0.020133853460160587,1.9428609884702241,0.06744940865498322,0.0,0.027437188017826814,0.06744940865498322,0.038325806184170336,0.0008403007041824122,0.014453581534326077,0.014631764963269234,0.01750953122973442,0.013506384566426277,0.02442876622080803,0.056858353316783905,0.11639612913131714,0.7247565388679504
2.0,1.8392617748333857,0.05083553341683,1.1504403856826741,17.471245765686035,1.7471245765686034,0.0,0.007555953141015309,0.01127826466332548,0.04428768415863697,1.8392617748333857,0.07330298309142773,0.0,0.09705219990932025,0.07330298309142773,0.07555953141015309,0.01127826466332548,0.011586024425923824,0.011744046583771706,0.013946115039288998,0.011073685251176357,0.01859356090426445,0.04124976694583893,0.07546292990446091,0.22302813827991486
3.0,1.708484030686892,0.055401946301572025,0.9894235085589659,15.872654438018799,1.5872654438018803,0.0,0.005818410676259262,0.0611690916121006,0.09525394525665504,1.708484030686892,0.05423108058480116,0.0,0.2427898381765072,0.05423108058480116,0.058184106762592606,0.0611690916121006,0.011472856625914574,0.011601445265114307,0.01390523836016655,0.01110478863120079,0.018406879156827927,0.04052664339542389,0.07726214826107025,0.2589355707168579
4.0,1.6396277867830718,0.10075490700546652,0.953159541248067,15.004861831665039,1.5004861831665037,0.0,0.0069028483130610906,0.08437363473841777,0.1107006657582063,1.6396277867830718,0.04786508157849312,0.0,0.2781960597405067,0.04786508157849312,0.06902848313061091,0.08437363473841777,0.013213138096034527,0.013497607782483101,0.01610199175775051,0.012812351807951927,0.022465471178293228,0.051379650831222534,0.10335284471511841,0.5732161998748779
5.0,1.59671845802894,0.05674535199068487,1.1753536417095491,14.441864160391,1.4441864160391,0.0,0.00521467229208121,0.08389747615617055,0.1132363287302164,1.59671845802894,0.06341986587414375,0.0,0.2811280546280054,0.06341986587414375,0.05214672292081209,0.08389747615617055,0.011649558320641518,0.01189229916781187,0.014236055314540863,0.011287768371403217,0.018909882754087448,0.04107099026441574,0.07486561685800552,0.27005064487457275
6.0,1.536200436261984,0.08988791913725436,1.1947869543822078,13.937197428483229,1.3937197428483232,0.0,0.004821392721854723,0.08476176542731431,0.11227867465752822,1.536200436261984,0.05289749185053202,0.0,0.28524148005705613,0.05289749185053202,0.04821392721854723,0.08476176542731431,0.012806438840925694,0.013024947606027126,0.015571174211800098,0.012173824943602085,0.021310053765773773,0.04695795848965645,0.0942629873752594,0.5029959678649902
7.0,1.5050955277222853,0.0648987750755623,1.4101357628438143,13.554800767164965,1.3554800767164965,0.0,0.00438956212467299,0.08228948511756383,0.10878169593902734,1.5050955277222853,0.06293638623677768,0.0,0.28313053571260893,0.06293638623677768,0.0438956212467299,0.08228948511756383,0.012039940804243088,0.012139659374952316,0.014443246647715569,0.011236376129090786,0.01948530599474907,0.04237645864486694,0.07987874746322632,0.3275904655456543
8.0,1.4615649580955505,0.14327323937322944,1.3271472175322125,13.279556127694937,1.3279556127694936,0.0,0.006641031027986454,0.07766134635760234,0.10695871653465125,1.4615649580955505,0.04930693011444349,0.0,0.2748218167286653,0.04930693011444349,0.06641031027986453,0.07766134635760234,0.015545525588095188,0.015752332285046577,0.01877177506685257,0.014688100665807724,0.026975009590387344,0.064278744161129,0.1310604363679886,0.8591139912605286
9.0,1.4671811507298396,0.09580479608848691,1.5039554473535404,13.023246948535625,1.3023246948535627,0.0,0.00767470868304372,0.07864210324791762,0.10840544276512586,1.4671811507298396,0.0785396250967796,0.0,0.27655578461977154,0.0785396250967796,0.07674708683043718,0.07864210324791762,0.013021213002502918,0.013187121599912643,0.01572885923087597,0.01211834792047739,0.021529216319322586,0.04889822006225586,0.09848619997501373,0.5434691905975342
