epoch,train_loss,val_window_mae_kwh,grad_norm,l_state,w_state,w_boundary,w_prior,w_dynamics,dynamics_residual_mae,loss,l_window,l_boundary,dynamics_residual_rmse,w_window,l_prior,l_dynamics,val_mae_full_trip
0.0,2.795242029886979,0.4145730435848236,5.594689528836957,21.02237584040715,2.102237584040715,0.0,0.0001461400821706495,0.0003571091119038801,0.014094630256295204,2.795242029886979,0.6925012560991141,0.0,0.01840354996518447,0.6925012560991141,0.001461400821706495,0.0003571091119038801,0.4145730435848236
1.0,2.367071876159081,0.36225879192352295,7.33409777344066,20.834503430586594,2.0834503430586597,0.0,0.0018317724506442363,0.0005831267044413835,0.017651210467402752,2.367071876159081,0.28120658682802546,0.0,0.023239014741892997,0.28120658682802546,0.018317724506442364,0.0005831267044413835,0.36225879192352295
2.0,2.415584600888766,0.2965594530105591,8.32828000242269,20.40160138790424,2.0401601387904242,0.0,0.0037449690011831438,0.002073767921851518,0.026524543905487426,2.415584600888766,0.36960568751853246,0.0,0.04334847027292618,0.36960568751853246,0.03744969001183143,0.002073767921851518,0.2965594530105591
3.0,2.2540877140485325,0.23254434764385223,7.506329244072499,19.335594984201286,1.9335594984201285,0.0,0.0024531503163206466,0.013744398378408872,0.05439813807606697,2.2540877140485325,0.30433062779215664,0.0,0.1127083100951635,0.30433062779215664,0.024531503163206462,0.013744398378408872,0.23254434764385223
4.0,2.0173644377635074,0.3299829661846161,7.516636357213366,17.79586780988253,1.7795867809882533,0.0,0.002936720353766129,0.05074828017789584,0.09465423398292981,2.0173644377635074,0.1840925897256686,0.0,0.22229953339466682,0.1840925897256686,0.029367203537661295,0.05074828017789584,0.3299829661846161
5.0,1.969986115510647,0.32867419719696045,7.315991385429356,16.603149524101845,1.6603149524101846,0.0,0.003033470204816415,0.08101146582227486,0.11433444286768253,1.969986115510647,0.22562619897500832,0.0,0.2807330764256991,0.22562619897500832,0.030334702048164148,0.08101146582227486,0.32867419719696045
6.0,1.8789765330461354,0.2943434417247772,7.729201082171072,15.855053424835205,1.5855053424835206,0.0,0.00280944428478296,0.09232614991756585,0.12247246045332688,1.8789765330461354,0.19833558998428857,0.0,0.29793338706860173,0.19833558998428857,0.0280944428478296,0.09232614991756585,0.2943434417247772
7.0,1.8023786223851717,0.28584930300712585,7.882622227673924,15.350775682009184,1.5350775682009186,0.0,0.00344258055377465,0.08773848615013637,0.12332001099219689,1.8023786223851717,0.17611998326789874,0.0,0.2917673266850985,0.17611998326789874,0.034425805537746504,0.08773848615013637,0.28584930300712585
8.0,1.7352918707407439,0.2817190885543823,7.969490375749928,14.841321761791523,1.4841321761791522,0.0,0.003438947485903135,0.08708963743769206,0.12178922903079253,1.7352918707407439,0.16063104684536272,0.0,0.291834118274542,0.16063104684536272,0.03438947485903135,0.08708963743769206,0.2817190885543823
9.0,1.700728673201341,0.4695717394351959,8.037374447055615,14.355545337383564,1.4355545337383562,0.0,0.004474130674050405,0.08199932454870297,0.11810956952663568,1.700728673201341,0.17870064480946615,0.0,0.28284096259337205,0.17870064480946615,0.04474130674050404,0.08199932454870297,0.4695717394351959
10.0,1.7599858274826636,0.3288864195346832,8.512820823369227,13.949328972743107,1.394932897274311,0.0,0.003722547868696544,0.09542490284030254,0.1208413506929691,1.7599858274826636,0.2659054668441128,0.0,0.304685414983676,0.2659054668441128,0.03722547868696543,0.09542490284030254,0.3288864195346832
11.0,1.6985796552438002,0.397029310464859,7.729512726203822,13.466827355898344,1.3466827355898343,0.0,0.003086770863200609,0.09256625060851757,0.11777505851708926,1.6985796552438002,0.25624389129762465,0.0,0.295670564358051,0.25624389129762465,0.030867708632006094,0.09256625060851757,0.397029310464859
12.0,1.6153362347529485,0.29891538619995117,8.255544605201205,13.404100198012133,1.340410019801213,0.0,0.003423628483254176,0.08376095787836955,0.11317620712977189,1.6153362347529485,0.18774162433468378,0.0,0.2853449434041977,0.18774162433468378,0.034236284832541757,0.08376095787836955,0.29891538619995117
13.0,1.5550190714689403,0.37685155868530273,7.980924524596931,12.819666348970854,1.281966634897085,0.0,0.003919505284955869,0.09033548058225559,0.11382126750854346,1.5550190714689403,0.17879742498581225,0.0,0.29448164999485016,0.17879742498581225,0.03919505284955868,0.09033548058225559,0.37685155868530273
14.0,1.5397253403296838,0.2937960624694824,8.300799608004853,12.562504364893986,1.2562504364893987,0.0,0.003332633095291945,0.09421367140916678,0.11420185405474442,1.5397253403296838,0.18592859854778418,0.0,0.30176188624822176,0.18592859854778418,0.033326330952919446,0.09421367140916678,0.2937960624694824
15.0,1.5526641240486732,0.36667418479919434,7.733730927587798,12.08354297051063,1.2083542970510632,0.0,0.0038379521252444155,0.0922906668140338,0.10950457992462012,1.5526641240486732,0.24818115681409836,0.0,0.2953201543826323,0.24818115681409836,0.038379521252444156,0.0922906668140338,0.36667418479919434
16.0,1.4569505911607008,0.2574004828929901,8.172799467664527,11.912939438453087,1.191293943845309,0.0,0.004650145683151025,0.08598993689968036,0.10809070960833476,1.4569505911607008,0.1750165389564175,0.0,0.28823966819506425,0.1750165389564175,0.04650145683151025,0.08598993689968036,0.2574004828929901
17.0,1.4007629339511578,0.32399842143058777,7.89199678691396,11.38052617586576,1.1380526175865762,0.0,0.00481513560964511,0.0887695662677288,0.10721852401128182,1.4007629339511578,0.1691256191294927,0.0,0.29177527358898747,0.1691256191294927,0.048151356096451096,0.0887695662677288,0.32399842143058777
18.0,1.36272689470878,0.2401994913816452,8.08564813542808,11.07421326637268,1.1074213266372679,0.0,0.004270892647596506,0.08472332845513637,0.1043618367268489,1.36272689470878,0.16631133360071823,0.0,0.28552785286536586,0.16631133360071823,0.04270892647596506,0.08472332845513637,0.2401994913816452
19.0,1.3335227278562694,0.2940291166305542,7.146512290528029,10.606770056944628,1.0606770056944628,0.0,0.004461298216707431,0.07864727223148713,0.10024955868721008,1.3335227278562694,0.18973711377811225,0.0,0.27430627093865323,0.18973711377811225,0.044612982167074315,0.07864727223148713,0.2940291166305542
20.0,1.2799139710573049,0.3029724359512329,8.084466341698043,10.24282640677232,1.024282640677232,0.0,0.0046344652198828185,0.07263417456012505,0.09884160642440502,1.2799139710573049,0.1783626523728554,0.0,0.26526013245949376,0.1783626523728554,0.04634465219882818,0.07263417456012505,0.3029724359512329
21.0,1.2000777308757489,0.3633973300457001,7.737585309213443,9.703705640939566,0.9703705640939566,0.0,0.005054096368929515,0.0648092285085183,0.09376512926358443,1.2000777308757489,0.15984382666647434,0.0,0.24967769017586341,0.15984382666647434,0.05054096368929514,0.0648092285085183,0.3633973300457001
22.0,1.2357617158156176,0.2979713976383209,8.202690610828983,9.38796171775231,0.9387961717752309,0.0,0.004991346611999548,0.061498128737394624,0.09340429879151858,1.2357617158156176,0.23047604504972696,0.0,0.24455314645400414,0.23047604504972696,0.04991346611999548,0.061498128737394624,0.2979713976383209
23.0,1.1201097850616162,0.32579168677330017,7.582895280848267,8.77322400533236,0.8773224005332358,0.0,0.004495464122066131,0.053396889653343424,0.08869573932427627,1.1201097850616162,0.18489501711267692,0.0,0.2271720996269813,0.18489501711267692,0.04495464122066131,0.053396889653343424,0.32579168677330017
24.0,1.0586794981589684,0.27002498507499695,7.95536081247821,8.389049970186674,0.8389049970186674,0.0,0.0043299379257055425,0.05141178518533707,0.0890944588642854,1.0586794981589684,0.1640327423810959,0.0,0.22341787700469679,0.1640327423810959,0.04329937925705543,0.05141178518533707,0.27002498507499695
25.0,1.043636842415883,0.30918702483177185,7.479646783701715,7.791329732308021,0.7791329732308022,0.0,0.004308922338084533,0.0458385139130629,0.0839427296931927,1.043636842415883,0.21435642743913028,0.0,0.2106492966413498,0.21435642743913028,0.04308922338084532,0.0458385139130629,0.30918702483177185
26.0,0.9518613769457891,0.31169500946998596,7.8917974342471675,7.32359086550199,0.732359086550199,0.0,0.005166093174081583,0.045677369173902735,0.08467495613373242,0.9518613769457891,0.1686588219868449,0.0,0.21067397869550264,0.1686588219868449,0.051660931740815826,0.045677369173902735,0.31169500946998596
27.0,0.8936795133810777,0.38160383701324463,7.625248519286428,6.767207512488732,0.6767207512488732,0.0,0.004678330935824377,0.04215736429278667,0.08141792279023391,0.8936795133810777,0.17012304368500525,0.0,0.2017626899939317,0.17012304368500525,0.046783309358243756,0.04215736429278667,0.38160383701324463
28.0,0.8383400692389562,0.30558934807777405,7.839328430156295,6.374342588277964,0.6374342588277963,0.0,0.004015375401538152,0.03905340742606383,0.08026664474835762,0.8383400692389562,0.1578370304017041,0.0,0.1941939936234401,0.1578370304017041,0.04015375401538152,0.03905340742606383,0.30558934807777405
29.0,0.8043166995048523,0.3257070779800415,7.589752223256914,5.865524988908034,0.5865524988908034,0.0,0.004340742664554945,0.0354217288012688,0.0787055899317448,0.8043166995048523,0.17800174137720695,0.0,0.18524140807298514,0.17800174137720695,0.043407426645549446,0.0354217288012688,0.3257070779800415
30.0,0.784105530151954,0.2772659361362457,8.037735741965955,5.559124781535222,0.5559124781535222,0.0,0.004319083203489963,0.036239405520833455,0.07756092685919541,0.784105530151954,0.1876345404352133,0.0,0.1867751616698045,0.1876345404352133,0.04319083203489964,0.036239405520833455,0.2772659361362457
31.0,0.7346903108633481,0.3107055127620697,7.574360621950836,5.060768365859985,0.5060768365859987,0.0,0.0043098941230430045,0.036178446733034574,0.07802235335111618,0.7346903108633481,0.1881251224818138,0.0,0.1866079167677806,0.1881251224818138,0.04309894123043005,0.036178446733034574,0.3107055127620697
32.0,0.6765546844555781,0.26709166169166565,7.890729679740572,4.73378168619596,0.47337816861959603,0.0,0.004360821527930407,0.03362796541589957,0.0741524240718438,0.6765546844555781,0.16518772465105241,0.0,0.1806408315896988,0.16518772465105241,0.043608215279304065,0.03362796541589957,0.26709166169166565
33.0,0.666016528239617,0.30334100127220154,7.400790448917733,4.357465606469375,0.4357465606469375,0.0,0.004393073945091322,0.03053758479654789,0.06839396030857013,0.666016528239617,0.1953393006697297,0.0,0.1711269892179049,0.1953393006697297,0.043930739450913206,0.03053758479654789,0.30334100127220154
34.0,0.5878537251399114,0.2574051320552826,7.770841257314473,4.043660842455351,0.4043660842455351,0.0,0.004444085133190338,0.029990419387244262,0.06625300502547851,0.5878537251399114,0.1490531223378359,0.0,0.16953647709809816,0.1490531223378359,0.04444085133190338,0.029990419387244262,0.2574051320552826
35.0,0.6438861282972189,0.3175946772098541,7.488826266525924,4.021438341874343,0.4021438341874343,0.0,0.003983711730688811,0.03273030291669644,0.0659981518983841,0.6438861282972189,0.20502828255009192,0.0,0.1745152622461319,0.20502828255009192,0.039837117306888103,0.03273030291669644,0.3175946772098541
