epoch,train_loss,val_window_mae_kwh,grad_norm,l_state,w_state,w_boundary,w_prior,w_dynamics,dynamics_residual_mae,loss,l_window,l_boundary,dynamics_residual_rmse,w_window,l_prior,l_dynamics,val_mae_soc_event_0.1,val_mae_soc_event_0.2,val_mae_soc_event_0.5,val_mae_time_60s,val_mae_time_120s,val_mae_time_300s,val_mae_time_600s,val_mae_full_trip
0.0,2.060442245923556,0.11071438563521951,0.8159652328571146,19.26444779909574,1.9264447799095743,0.0,0.00011013940852885403,0.0003901975511465795,0.014731198119429441,2.060442245923556,0.13349710404872894,0.0,0.019366377606414832,0.13349710404872894,0.0011013940852885402,0.0003901975511465795,0.015235424041748047,0.015513943508267403,0.017091332003474236,0.015466059558093548,0.027553580701351166,0.06310835480690002,0.10043855011463165,0.63130784034729
1.0,1.961461264353532,0.09228902729228139,0.9566875300187198,18.849481399242695,1.8849481399242696,0.0,0.002348572330979201,0.001298625187840886,0.020759889067938693,1.961461264353532,0.07286589592695236,0.0,0.03339585912628816,0.07286589592695236,0.023485723309792005,0.001298625187840886,0.01401175931096077,0.014186269603669643,0.016437796875834465,0.013317991979420185,0.02464904822409153,0.05273412540555,0.09826353937387466,0.5047116875648499
2.0,1.8602661077792828,0.056171599426306784,1.226989579995964,17.560014247894287,1.7560014247894289,0.0,0.005217871428109131,0.017562032838423666,0.048180052580741733,1.8602661077792828,0.08148476925606911,0.0,0.12496275110886647,0.08148476925606911,0.052178714281091325,0.017562032838423666,0.012820925563573837,0.012955178506672382,0.01474886853247881,0.012440779246389866,0.022475874051451683,0.04842204600572586,0.07845859974622726,0.24705052375793457
3.0,1.7589003352018504,0.05528085329569876,1.0901894432641857,16.290988995478703,1.6290988995478708,0.0,0.004069662409333083,0.06718822396718539,0.08791438318215884,1.7589003352018504,0.058543538817992576,0.0,0.25609270196694595,0.058543538817992576,0.04069662409333082,0.06718822396718539,0.012601553462445736,0.012765740975737572,0.014635252766311169,0.012206103652715683,0.022059371694922447,0.04688015580177307,0.08167994767427444,0.23941870033740997
4.0,1.695425991828625,0.06278900150209665,1.074803090489031,15.692108190976656,1.5692108190976657,0.0,0.0049273011632836785,0.06827733436456093,0.09483645799068305,1.695425991828625,0.05301050870464398,0.0,0.2542983511319527,0.05301050870464398,0.04927301163283678,0.06827733436456093,0.012650080025196075,0.012775477021932602,0.014817478135228157,0.012255433946847916,0.022044340148568153,0.047380607575178146,0.08509285002946854,0.29529574513435364
5.0,1.6469309834333568,0.0551004852168262,1.1649544408813863,15.168893887446476,1.5168893887446477,0.0,0.004618848831607745,0.06454682636719483,0.09728432274781741,1.6469309834333568,0.0608759020956663,0.0,0.2482899519113394,0.0608759020956663,0.046188488316077456,0.06454682636719483,0.012565460987389088,0.012682011350989342,0.014535536989569664,0.01225240994244814,0.0218286644667387,0.04717809706926346,0.07877003401517868,0.24099166691303253
6.0,1.5969329338807325,0.056441871798597276,1.2528094257747269,14.566848278045654,1.4566848278045654,0.0,0.0036708187383527944,0.07877706163204633,0.10698062983842996,1.5969329338807325,0.05780020671395155,0.0,0.27503713965415955,0.05780020671395155,0.03670818738352794,0.07877706163204633,0.012661976739764214,0.012768560089170933,0.014554045163094997,0.012311347760260105,0.02188589796423912,0.04746266454458237,0.07706069201231003,0.25282979011535645
7.0,1.5454643552119915,0.06372581201139838,1.3429193970365176,14.103595073406513,1.4103595073406514,0.0,0.0040362278142800695,0.07656914970049492,0.10549177286716607,1.5454643552119915,0.054499454223192655,0.0,0.27330785531264085,0.054499454223192655,0.040362278142800696,0.07656914970049492,0.012773964554071426,0.01288723386824131,0.014700124971568584,0.012447452172636986,0.022258011624217033,0.04779598116874695,0.07983392477035522,0.3071098029613495
8.0,1.5285392357752874,0.0590086632873863,1.5477966747417606,13.809714500720684,1.3809714500720685,0.0,0.0033371354524905864,0.07850536302878307,0.1049173422730886,1.5285392357752874,0.06572521807482609,0.0,0.27684470552664536,0.06572521807482609,0.03337135452490587,0.07850536302878307,0.012980837374925613,0.013029670342803001,0.014715534634888172,0.01264477800577879,0.022576820105314255,0.04951610416173935,0.07274620980024338,0.2738593518733978
9.0,1.486952515748831,0.08462326333392411,1.4642908439822422,13.53623052743765,1.3536230527437652,0.0,0.00414176330400201,0.07484098581167367,0.10537675596200503,1.486952515748831,0.05434666402064837,0.0,0.26926538004324985,0.05434666402064837,0.0414176330400201,0.07484098581167367,0.013399570249021053,0.013510506600141525,0.015458675101399422,0.012916002422571182,0.02353893220424652,0.05190887302160263,0.09566409885883331,0.45058944821357727
