epoch,train_loss,val_window_mae_kwh,grad_norm,l_window,w_window,val_mae_soc_event_0.1,val_mae_soc_event_0.2,val_mae_soc_event_0.5,val_mae_time_60s,val_mae_time_120s,val_mae_time_300s,val_mae_time_600s,val_mae_full_trip
0.0,0.2560963097673196,0.2198296864517033,5.21827589211145,0.2560963097673196,0.2560963097673196,0.025740357115864754,0.026056967675685883,0.03023304045200348,0.022176841273903847,0.042615704238414764,0.09837602823972702,0.17096588015556335,1.3424726724624634
1.0,0.09136190408697495,0.30817375727929175,5.457618525085679,0.09136190408697495,0.09136190408697495,0.029848385602235794,0.030954057350754738,0.035382229834795,0.030026618391275406,0.05470473691821098,0.12857423722743988,0.23007622361183167,1.9258235692977905
2.0,0.15675914344879296,0.3643982803914696,6.260130240033776,0.15675914344879296,0.15675914344879296,0.03207775205373764,0.03352188691496849,0.03823114559054375,0.028160540387034416,0.0567101426422596,0.14065074920654297,0.271282434463501,2.314551591873169
3.0,0.1625623436501393,0.16366260242648423,5.307117328208656,0.1625623436501393,0.1625623436501393,0.02256792224943638,0.02345135249197483,0.026856623589992523,0.02035686932504177,0.0382668599486351,0.08865687251091003,0.1539877951145172,0.935156524181366
4.0,0.09372106165840076,0.3242487704847008,5.328010982568994,0.09372106165840076,0.09372106165840076,0.029006389901041985,0.030150461941957474,0.03423081338405609,0.029414992779493332,0.053875017911195755,0.12699873745441437,0.23897579312324524,2.051337957382202
5.0,0.1178352116392209,0.2570350009482354,5.694254543837379,0.1178352116392209,0.1178352116392209,0.026483697816729546,0.026992445811629295,0.03129556030035019,0.022946475073695183,0.04468422010540962,0.10727372020483017,0.19167694449424744,1.6049269437789917
6.0,0.1457153011399966,0.11253721476532519,5.135368958946248,0.1457153011399966,0.1457153011399966,0.0194153543561697,0.019936304539442062,0.02278617024421692,0.017785169184207916,0.03210753947496414,0.07327109575271606,0.12336622178554535,0.5916298627853394
7.0,0.07014762366620395,0.1986781982704997,4.869898347999045,0.07014762366620395,0.07014762366620395,0.022230636328458786,0.023650355637073517,0.026370827108621597,0.02167973294854164,0.04038121923804283,0.08949260413646698,0.15550382435321808,1.2101163864135742
8.0,0.11812198448639649,0.1140661973040551,5.541017371449938,0.11812198448639649,0.11812198448639649,0.019638152793049812,0.020164016634225845,0.02321045659482479,0.017739417031407356,0.031608663499355316,0.07264643162488937,0.12275052815675735,0.6047719120979309
9.0,0.07509664904612762,0.2991768044885248,4.705674548550542,0.07509664904612762,0.07509664904612762,0.02850961685180664,0.0293852798640728,0.0331636480987072,0.028744874522089958,0.052083611488342285,0.12182477861642838,0.22656133770942688,1.8731412887573242
10.0,0.1253126639013107,0.2284522051922977,5.479915044579044,0.1253126639013107,0.1253126639013107,0.02422080747783184,0.025090746581554413,0.02885596640408039,0.021174632012844086,0.04091262444853783,0.0964525043964386,0.17463617026805878,1.4162741899490356
11.0,0.11396279701819786,0.11192675051279366,4.862731891437122,0.11396279701819786,0.11396279701819786,0.01842195726931095,0.019327273592352867,0.021632201969623566,0.01784546487033367,0.0322449617087841,0.07029812037944794,0.12177612632513046,0.5938678979873657
12.0,0.07053925311909272,0.13377476017922163,4.833902807969119,0.07053925311909272,0.07053925311909272,0.019579868763685226,0.02042382024228573,0.02335541322827339,0.017694639042019844,0.032463885843753815,0.074275903403759,0.1263475865125656,0.7560569643974304
13.0,0.07339605860985242,0.24742857948876917,4.646451572148414,0.07339605860985242,0.07339605860985242,0.02544374205172062,0.02602938562631607,0.02880292758345604,0.025543734431266785,0.045590516179800034,0.10273151844739914,0.18280825018882751,1.5424785614013672
