epoch,train_loss,val_window_mae_kwh,grad_norm,l_state,w_state,loss,l_window,w_window,val_mae_soc_event_0.1,val_mae_soc_event_0.2,val_mae_soc_event_0.5,val_mae_time_60s,val_mae_time_120s,val_mae_time_300s,val_mae_time_600s,val_mae_full_trip
0.0,2.1474077976666965,0.14202117105014622,5.678746475479784,18.681804987100456,1.8681804987100454,2.1474077976666965,0.279227240727498,0.279227240727498,0.02119217813014984,0.02127453126013279,0.025242026895284653,0.019865181297063828,0.034114450216293335,0.06700926274061203,0.12117248773574829,0.826299250125885
1.0,1.9489758014678955,0.2390960764605552,5.932611403462382,18.415640354156494,1.8415640354156497,1.9489758014678955,0.1074117413507058,0.1074117413507058,0.02642182819545269,0.02756616100668907,0.031189586967229843,0.02692338079214096,0.04923136159777641,0.11149245500564575,0.19680821895599365,1.4431356191635132
2.0,1.9006112768099859,0.15584523300640285,6.365618728881714,17.6566272515517,1.7656627251551702,1.9006112768099859,0.13494852529122278,0.13494852529122278,0.020810123533010483,0.020551634952425957,0.024385208263993263,0.019544294103980064,0.03444213792681694,0.07143007218837738,0.13744349777698517,0.9181548953056335
3.0,1.7443101085149324,0.16347851906903088,5.730176124557056,16.255567183861366,1.6255567183861364,1.7443101085149324,0.11875333665655209,0.11875333665655209,0.026625974103808403,0.027671270072460175,0.031463801860809326,0.0262618288397789,0.04824553802609444,0.1024230346083641,0.1653449684381485,0.8797917366027832
4.0,1.6552768074549162,0.25092061748728156,6.86462489359762,15.185886786534237,1.5185886786534235,1.6552768074549162,0.13668811006041673,0.13668811006041673,0.027223626151680946,0.02699390798807144,0.03236649930477142,0.02559060789644718,0.048139072954654694,0.1078871563076973,0.2131415158510208,1.5260225534439087
5.0,1.6074639696341295,0.13125866162590683,6.206779187401823,14.49194203890287,1.4491942038902874,1.6074639696341295,0.15826974923794085,0.15826974923794085,0.019890785217285156,0.019738979637622833,0.022946052253246307,0.0190324354916811,0.03282030299305916,0.0683964341878891,0.13189542293548584,0.7353488802909851
6.0,1.510308861732483,0.1513283650856465,6.1443643178103935,14.067693636967586,1.4067693636967584,1.510308861732483,0.10353947717409867,0.10353947717409867,0.02137099951505661,0.02204015478491783,0.024974696338176727,0.02175535447895527,0.03754226863384247,0.08005400747060776,0.1279187649488449,0.8749706745147705
7.0,1.4676388318722065,0.25671946979127824,6.412523511846492,13.63867132480328,1.3638671324803278,1.4676388318722065,0.1037717008819947,0.1037717008819947,0.026791932061314583,0.026888862252235413,0.03178253769874573,0.02558400109410286,0.049135565757751465,0.11251231282949448,0.22828218340873718,1.5527783632278442
8.0,1.5008515761448786,0.07664101244881749,6.930272755264588,13.158494509183443,1.315849450918344,1.5008515761448786,0.18500210631352204,0.18500210631352204,0.017097968608140945,0.01712101325392723,0.01985054463148117,0.01636020839214325,0.025943685322999954,0.04858791083097458,0.08089441061019897,0.38727235794067383
9.0,1.3750272484926076,0.31607605423778296,6.775216277677758,12.775862547067495,1.2775862547067496,1.3750272484926076,0.0974409869657113,0.0974409869657113,0.03302042931318283,0.03443548083305359,0.03935866802930832,0.03328811377286911,0.06257680058479309,0.14644919335842133,0.26524510979652405,1.9142346382141113
10.0,1.4546235570540795,0.32950130570679903,7.932222674952611,12.480050783890944,1.2480050783890944,1.4546235570540795,0.20661847035472208,0.20661847035472208,0.03222242370247841,0.03272854909300804,0.0384332649409771,0.03140237554907799,0.060707464814186096,0.1402299553155899,0.2948557138442993,2.0054306983947754
11.0,1.4139397832063527,0.08490966120734811,7.148512710194196,12.249614312098576,1.2249614312098576,1.4139397832063527,0.18897833875738657,0.18897833875738657,0.018548155203461647,0.019024131819605827,0.021809767931699753,0.018897902220487595,0.030999157577753067,0.06211067736148834,0.10339139401912689,0.40449610352516174
