method,metric,mean,ci_low,ci_high,n
constant,mae_kwh,0.2487540038620709,0.16816085810043305,0.33689382779797317,17.0
elasticnet,mae_kwh,0.1672998744640975,0.11259358866201578,0.2319493675149217,17.0
mlp_state,mae_kwh,0.5052551718111912,0.3117630526020325,0.7269125797779693,17.0
physics,mae_kwh,0.7795536889442934,0.6141992053408494,0.9484649888367294,17.0
pinn,mae_kwh,0.35579018505615645,0.23224480387543264,0.5070948854899012,17.0
pinn_fulltrip,mae_kwh,0.2804395813076721,0.20133928096701892,0.36518446455319115,17.0
pinn_no_dynamics,mae_kwh,0.25826520200742625,0.17540375334737104,0.3441221072619254,17.0
weak_mlp,mae_kwh,0.4692296591666011,0.27582303047957574,0.7296934975999904,17.0
