Method,MAE_kWh,RMSE_kWh,MAPE_pct,WAPE_pct,Bias_kWh,R2,MAPE_n_undefined,MAE_CI_low,MAE_CI_high
constant,0.24875400386207094,0.3056545724999813,10.820771053845338,9.388110543497538,0.00886839674608125,0.9370946320638351,0.0,0.168160858100433,0.3368938277979731
elasticnet,0.16729987446409755,0.20995682626722215,8.72460721211806,6.313987678578596,-0.006347479833568511,0.9703184954604149,0.0,0.1125935886620157,0.2319493675149216
mlp_state,0.37218192202915024,0.4872541491924682,14.311196186437009,14.046346881067464,0.14026619423048672,0.8401410320750474,0.0,0.2652210273571979,0.4857469673759895
physics,0.7795536889442934,0.8543796534781761,30.057554577004968,29.4207775262918,-0.7795536889442934,0.5084952634282232,0.0,0.6141992053408494,0.9484649888367294
pinn,0.29491429839148414,0.3732790134415266,11.514528937847473,11.130225006116696,-0.05187484684495882,0.9061805116888278,0.0,0.2091955396905807,0.3921154501673338
pinn_fulltrip,0.24278444607670222,0.3009072939469009,10.246048590401005,9.162816206462816,-0.098540111168337,0.9390334888517938,0.0,0.1823732386219962,0.3061323952830729
pinn_no_dynamics,0.27765886800937406,0.3484973940768014,11.602004150095269,10.47899573789274,-0.023287828031119354,0.9182241658799533,0.0,0.2148887308139354,0.3415157102162652
weak_mlp,0.47514187787090767,0.6291183535841259,16.33519974207779,17.932111258681275,0.19097036309546103,0.733504043922729,0.0,0.312055690678125,0.6551104036095777
