method,seed,n,mae_kwh,rmse_kwh,mape_pct,wape_pct,bias_kwh,r2
constant,0,17,0.2487540038620709,0.3056545724999813,10.82077105384534,9.38811054349754,0.00886839674608125,0.9370946320638351
constant,1,17,0.2487540038620709,0.3056545724999813,10.82077105384534,9.38811054349754,0.00886839674608125,0.9370946320638351
constant,2,17,0.2487540038620709,0.3056545724999813,10.82077105384534,9.38811054349754,0.00886839674608125,0.9370946320638351
elasticnet,0,17,0.16729987446409755,0.20995682626722212,8.72460721211806,6.3139876785785995,-0.006347479833568511,0.9703184954604149
elasticnet,1,17,0.16729987446409755,0.20995682626722212,8.72460721211806,6.3139876785785995,-0.006347479833568511,0.9703184954604149
elasticnet,2,17,0.16729987446409755,0.20995682626722212,8.72460721211806,6.3139876785785995,-0.006347479833568511,0.9703184954604149
mlp_state,0,17,0.34221255830113406,0.5234550410516612,14.062474646130735,12.915286897193168,0.0788296456182702,0.8155049638829812
mlp_state,1,17,0.4071725806766866,0.5113646952005271,14.442478183997071,15.366913248935878,0.21791491379200242,0.8239291769009883
mlp_state,2,17,0.3671606271096302,0.42041739523466864,14.428635729183217,13.856840497073364,0.1240540232811876,0.8809889554411731
physics,0,17,0.7795536889442934,0.8543796534781759,30.057554577004964,29.420777526291815,-0.7795536889442934,0.5084952634282234
physics,1,17,0.7795536889442934,0.8543796534781759,30.057554577004964,29.420777526291815,-0.7795536889442934,0.5084952634282234
physics,2,17,0.7795536889442934,0.8543796534781759,30.057554577004964,29.420777526291815,-0.7795536889442934,0.5084952634282234
pinn,0,17,0.34992910197427557,0.45733081500350964,12.960091815610472,13.206513425781418,-0.06266058011332266,0.8591727031798418
pinn,1,17,0.27436729854066955,0.3356610807970337,10.92592001433953,10.35477012723309,-0.053561601673234184,0.924137370827749
pinn,2,17,0.2604464946595073,0.31014807772099917,10.657574983592411,9.82939146533559,-0.0394023587483196,0.9352314610588929
pinn_fulltrip,0,17,0.26192457105704015,0.3115936249885572,11.065362228773722,9.885174867396797,-0.09030086277031718,0.9346263038543186
pinn_fulltrip,1,17,0.2538362106961351,0.3241085408347645,10.430377972920652,9.579915776066052,-0.11956943298297673,0.9292694778846277
pinn_fulltrip,2,17,0.21259255647693134,0.2636259950683734,9.24240556950864,8.023357975925606,-0.08575003775171704,0.9532046848164354
pinn_no_dynamics,0,17,0.2811296502087106,0.3331580730932111,11.94471531366315,10.609984933860993,-0.06524035434887147,0.9252645599813448
pinn_no_dynamics,1,17,0.225866629979284,0.2623099973553201,10.197464266743495,8.524328683804931,-0.03202181621002951,0.9536707148866038
pinn_no_dynamics,2,17,0.32598032384012754,0.42959337128875114,12.663832869879169,12.30267359601231,0.027398686465542926,0.8757372227719112
weak_mlp,0,17,0.44484997875861887,0.5799315963640281,15.503163923766053,16.788878615092045,0.14072100663746098,0.7735462823725088
weak_mlp,1,17,0.48924576234124056,0.6695232304148597,16.287818248310014,18.46439948095899,0.22353432767585973,0.6981736072420957
weak_mlp,2,17,0.49132989251286374,0.6346555726712911,17.2146170541573,18.54305567999282,0.20865575497306235,0.7287922421535828
