trip_id,trajectory,method,seed,distance_km,duration_s,observed_energy_kwh,predicted_energy_kwh,signed_error_kwh,absolute_error_kwh,percentage_error,n_train,repeat,subset_ids,reused_loto
T1_03_29_2021,T1,pinn,0,49.61069722222272,6198.0,4.3524,3.737650713506672,-0.6147492864933284,0.6147492864933284,-14.12437474711259,8,0,"T1_06_30_2021_1,T2_03_29_2021,T2_03_30_2021,T2_04_26_2021,T3_04_22_2021_1,T3_05_25_2021_04,T3_05_25_2021_2,T3_05_31_2021",
T1_03_29_2021,T1,elasticnet,0,49.61069722222272,6198.0,4.3524,3.624721098070369,-0.7276789019296315,0.7276789019296315,-16.71902632868375,8,1,"T1_06_30_2021_2,T2_03_30_2021,T2_04_26_2021,T3_04_22_2021_2,T3_04_26_2021_2,T3_05_25_2021_1,T3_05_25_2021_2,T3_05_25_2021_3",
T1_03_29_2021,T1,weak_mlp,0,49.61069722222272,6198.0,4.3524,3.675215068194601,-0.6771849318053991,0.6771849318053991,-15.558885483995017,8,1,"T1_06_30_2021_2,T2_03_30_2021,T2_04_26_2021,T3_04_22_2021_2,T3_04_26_2021_2,T3_05_25_2021_1,T3_05_25_2021_2,T3_05_25_2021_3",
T1_03_29_2021,T1,pinn,0,49.61069722222272,6198.0,4.3524,4.232033686861396,-0.1203663131386045,0.1203663131386045,-2.765515879482689,8,1,"T1_06_30_2021_2,T2_03_30_2021,T2_04_26_2021,T3_04_22_2021_2,T3_04_26_2021_2,T3_05_25_2021_1,T3_05_25_2021_2,T3_05_25_2021_3",
T1_03_29_2021,T1,elasticnet,0,49.61069722222272,6198.0,4.3524,3.6991888961506376,-0.6532111038493627,0.6532111038493627,-15.008066902154273,8,2,"T1_06_30_2021_1,T1_06_30_2021_2,T2_03_29_2021,T2_03_30_2021,T2_04_26_2021,T3_04_22_2021_1,T3_04_26_2021_1,T3_05_25_2021_2",
T1_03_29_2021,T1,weak_mlp,0,49.61069722222272,6198.0,4.3524,4.1755807091792425,-0.1768192908207577,0.1768192908207577,-4.062569865379049,8,2,"T1_06_30_2021_1,T1_06_30_2021_2,T2_03_29_2021,T2_03_30_2021,T2_04_26_2021,T3_04_22_2021_1,T3_04_26_2021_1,T3_05_25_2021_2",
T1_03_29_2021,T1,pinn,0,49.61069722222272,6198.0,4.3524,4.0578949738984615,-0.2945050261015387,0.2945050261015387,-6.7664972452334045,8,2,"T1_06_30_2021_1,T1_06_30_2021_2,T2_03_29_2021,T2_03_30_2021,T2_04_26_2021,T3_04_22_2021_1,T3_04_26_2021_1,T3_05_25_2021_2",
T1_03_29_2021,T1,elasticnet,0,49.61069722222272,6198.0,4.3524,3.711665044112571,-0.6407349558874293,0.6407349558874293,-14.72141705466936,12,0,"T1_06_30_2021_1,T1_06_30_2021_2,T1_07_01_2021,T2_03_29_2021,T2_03_30_2021,T3_04_22_2021_1,T3_04_22_2021_2,T3_04_26_2021_2,T3_05_25_2021_04,T3_05_25_2021_3,T3_05_31_2021,T3_06_07_2021",
T1_03_29_2021,T1,weak_mlp,0,49.61069722222272,6198.0,4.3524,4.5907670922411805,0.2383670922411802,0.2383670922411802,5.476681652448769,12,0,"T1_06_30_2021_1,T1_06_30_2021_2,T1_07_01_2021,T2_03_29_2021,T2_03_30_2021,T3_04_22_2021_1,T3_04_22_2021_2,T3_04_26_2021_2,T3_05_25_2021_04,T3_05_25_2021_3,T3_05_31_2021,T3_06_07_2021",
T1_03_29_2021,T1,pinn,0,49.61069722222272,6198.0,4.3524,4.480266907242022,0.127866907242022,0.127866907242022,2.937848250207288,12,0,"T1_06_30_2021_1,T1_06_30_2021_2,T1_07_01_2021,T2_03_29_2021,T2_03_30_2021,T3_04_22_2021_1,T3_04_22_2021_2,T3_04_26_2021_2,T3_05_25_2021_04,T3_05_25_2021_3,T3_05_31_2021,T3_06_07_2021",
T1_03_29_2021,T1,elasticnet,0,49.61069722222272,6198.0,4.3524,3.953287704887762,-0.3991122951122383,0.3991122951122383,-9.169936014893814,12,1,"T1_06_30_2021_1,T1_06_30_2021_2,T1_07_01_2021,T2_03_29_2021,T2_03_30_2021,T2_04_26_2021,T3_04_22_2021_2,T3_05_25_2021_04,T3_05_25_2021_1,T3_05_25_2021_3,T3_05_31_2021,T3_06_07_2021",
T1_03_29_2021,T1,weak_mlp,0,49.61069722222272,6198.0,4.3524,4.2426786074373455,-0.1097213925626547,0.1097213925626547,-2.520940000060996,12,1,"T1_06_30_2021_1,T1_06_30_2021_2,T1_07_01_2021,T2_03_29_2021,T2_03_30_2021,T2_04_26_2021,T3_04_22_2021_2,T3_05_25_2021_04,T3_05_25_2021_1,T3_05_25_2021_3,T3_05_31_2021,T3_06_07_2021",
T1_03_29_2021,T1,pinn,0,49.61069722222272,6198.0,4.3524,4.132292878126933,-0.2201071218730677,0.2201071218730677,-5.057143687920864,12,1,"T1_06_30_2021_1,T1_06_30_2021_2,T1_07_01_2021,T2_03_29_2021,T2_03_30_2021,T2_04_26_2021,T3_04_22_2021_2,T3_05_25_2021_04,T3_05_25_2021_1,T3_05_25_2021_3,T3_05_31_2021,T3_06_07_2021",
T1_03_29_2021,T1,elasticnet,0,49.61069722222272,6198.0,4.3524,3.969928767648351,-0.3824712323516497,0.3824712323516497,-8.787593795415166,12,2,"T1_06_30_2021_1,T1_06_30_2021_2,T1_07_01_2021,T2_03_29_2021,T2_03_30_2021,T3_04_22_2021_1,T3_04_22_2021_2,T3_04_26_2021_1,T3_04_26_2021_2,T3_05_25_2021_04,T3_05_25_2021_1,T3_05_25_2021_2",
T1_03_29_2021,T1,weak_mlp,0,49.61069722222272,6198.0,4.3524,4.8000341863764655,0.4476341863764652,0.4476341863764652,10.284766712077596,12,2,"T1_06_30_2021_1,T1_06_30_2021_2,T1_07_01_2021,T2_03_29_2021,T2_03_30_2021,T3_04_22_2021_1,T3_04_22_2021_2,T3_04_26_2021_1,T3_04_26_2021_2,T3_05_25_2021_04,T3_05_25_2021_1,T3_05_25_2021_2",
T1_03_29_2021,T1,pinn,0,49.61069722222272,6198.0,4.3524,4.30234882429863,-0.0500511757013706,0.0500511757013706,-1.1499672755576378,12,2,"T1_06_30_2021_1,T1_06_30_2021_2,T1_07_01_2021,T2_03_29_2021,T2_03_30_2021,T3_04_22_2021_1,T3_04_22_2021_2,T3_04_26_2021_1,T3_04_26_2021_2,T3_05_25_2021_04,T3_05_25_2021_1,T3_05_25_2021_2",
T1_03_29_2021,T1,elasticnet,0,49.61069722222272,6198.0,4.3524,3.934003656585373,-0.4183963434146278,0.4183963434146278,-9.613003019360074,16,0,"T1_06_30_2021_1,T1_06_30_2021_2,T1_07_01_2021,T2_03_29_2021,T2_03_30_2021,T2_04_26_2021,T3_04_22_2021_1,T3_04_22_2021_2,T3_04_26_2021_1,T3_04_26_2021_2,T3_05_25_2021_04,T3_05_25_2021_1,T3_05_25_2021_2,T3_05_25_2021_3,T3_05_31_2021,T3_06_07_2021",
