trip_id,method,seed,soc_mae_pp,soc_rmse_pp,soc_end_error_pp,soc_within_half_q_fraction,soc_tolerance_pp,saturation_frac
T1_03_29_2021,physics,0,11.686052925054351,13.423800380779484,24.673745531766382,0.0063015026660203,0.01,
T1_03_29_2021,weak_mlp,0,5.975318516147422,7.082617506132075,-10.182193115287276,0.0029083858458555,0.01,0.0
T1_03_29_2021,mlp_state,0,2.050423550288507,2.456126385615524,1.5646262169546787,0.0035546938116012,0.01,0.0
T1_03_29_2021,pinn_no_dynamics,0,4.300224379289853,5.068299568340754,9.138422427679096,0.0012926159314913,0.01,0.0
T1_03_29_2021,pinn_fulltrip,0,1.7740856525312898,2.043302499954573,2.631144242466263,0.0012926159314913,0.01,0.0
T1_03_29_2021,pinn,0,5.396362932932823,6.362843471847369,11.691078469404651,0.0022620778801098,0.01,0.0
T1_06_30_2021_1,physics,0,10.007698610845322,11.562931562165929,17.752870210108092,0.0038461538461538,0.01,
T1_06_30_2021_1,weak_mlp,0,6.5153994406163935,7.643318011531256,8.304439624106529,0.000576923076923,0.01,0.0
T1_06_30_2021_1,mlp_state,0,5.879621037549821,7.191195960366038,-14.809987066564403,0.0003846153846153,0.01,0.0
T1_06_30_2021_1,pinn_no_dynamics,0,1.9230501375430449,2.445089965857121,-0.5949000826857116,0.0021153846153846,0.01,0.0
T1_06_30_2021_1,pinn_fulltrip,0,4.742825596881586,5.581766325403735,6.840813367273036,0.01,0.01,0.0
T1_06_30_2021_1,pinn,0,2.334426824283046,2.9826560865295493,-6.730804688444692,0.0011538461538461,0.01,0.0
T1_06_30_2021_2,physics,0,10.567116304739615,12.132548878010605,19.16657440069433,0.0049127562256479,0.01,
T1_06_30_2021_2,weak_mlp,0,5.22205253988028,5.940333831964424,-11.0810850725793,0.0006776215483652,0.01,0.0
T1_06_30_2021_2,mlp_state,0,1.4379549012667971,1.7559405824043537,0.3102470239443065,0.0072844316449263,0.01,0.0
T1_06_30_2021_2,pinn_no_dynamics,0,3.01680865583891,4.067040408865931,-8.495341107722169,0.002202270032187,0.01,0.0
T1_06_30_2021_2,pinn_fulltrip,0,3.235028049135393,3.781981363670623,3.8499942380617895,0.0045739454514653,0.01,0.0
T1_06_30_2021_2,pinn,0,1.9007990823343632,2.56651540572066,-6.117606920180705,0.0135524309673047,0.01,0.0
T1_07_01_2021,physics,0,9.99805565730863,11.739680852802724,18.9104557280968,0.002425578831312,0.01,
T1_07_01_2021,weak_mlp,0,2.737666094816427,3.213313608659188,3.538246838384161,0.0011025358324145,0.01,0.0
T1_07_01_2021,mlp_state,0,2.455019973899412,2.9523161850541952,-4.362736961554639,0.0030871003307607,0.01,0.0
T1_07_01_2021,pinn_no_dynamics,0,3.622483552984241,4.382045303407489,5.432613532481,0.0019845644983461,0.01,0.0
T1_07_01_2021,pinn_fulltrip,0,1.7372406679908945,2.1184996495006185,0.7952220324095052,0.0130099228224917,0.01,0.0
T1_07_01_2021,pinn,0,5.179318659248505,6.372867712657666,8.958023645517898,0.0063947078280044,0.01,0.0
T2_03_29_2021,physics,0,7.228865732492393,8.788180998792257,18.440954800874973,0.0042248562375308,0.01,
T2_03_29_2021,weak_mlp,0,15.06415861390633,17.167805448051766,-25.76720329832125,0.0011735711770918,0.01,0.0
T2_03_29_2021,mlp_state,0,2.343283171509924,2.886116804223124,5.167515017478475,0.0024644994718929,0.01,0.0
T2_03_29_2021,pinn_no_dynamics,0,7.018504370503156,7.85707367864346,-10.09808813195227,0.0029339279427297,0.01,0.0
T2_03_29_2021,pinn_fulltrip,0,2.4942153921264905,2.959139345607792,3.525511035887828,0.0032859992958572,0.01,0.0
T2_03_29_2021,pinn,0,3.542467796480531,4.123364237125417,9.204447815266189,0.0022297852364745,0.01,0.0
T2_03_30_2021,physics,0,7.815957758590082,9.27981540097102,16.685133343556515,0.0045136866627839,0.01,
T2_03_30_2021,weak_mlp,0,4.94390767763685,5.7485274654008265,8.428973428584996,0.000873616773442,0.01,0.0
T2_03_30_2021,mlp_state,0,1.594216069106574,2.1089146911659555,-0.5898786695357217,0.0090273733255678,0.01,0.0
T2_03_30_2021,pinn_no_dynamics,0,1.5242752089893272,1.7649437453707737,-1.6013107368199826,0.0090273733255678,0.01,0.0
T2_03_30_2021,pinn_fulltrip,0,5.207242867746451,5.912559369577855,-11.08121946796497,0.0010192195690157,0.01,0.0
T2_03_30_2021,pinn,0,1.426225876382594,1.7425949708961217,-0.1594294062049783,0.0043680838672102,0.01,0.0
T2_04_26_2021,physics,0,10.382000015035173,12.189145111995344,19.912051166681643,0.0018835616438356,0.01,
T2_04_26_2021,weak_mlp,0,8.81363985368727,9.698481555569971,-15.716439740415012,0.0041095890410958,0.01,0.0
T2_04_26_2021,mlp_state,0,15.586476591041809,17.018948515161533,-27.545218999076997,0.0003424657534246,0.01,0.0
T2_04_26_2021,pinn_no_dynamics,0,1.7869218357802554,2.254677905981944,-3.8897070360681454,0.0041095890410958,0.01,0.0
T2_04_26_2021,pinn_fulltrip,0,3.1690787408966523,3.8191813495009774,-6.9730867006989286,0.0053082191780821,0.01,0.0
T2_04_26_2021,pinn,0,9.519745069481914,11.266554246476096,-20.8244280538072,0.0006849315068493,0.01,0.0
T3_04_22_2021_1,physics,0,1.3067028155596558,1.880396403471136,4.287908749449912,0.0228789323164918,0.01,
T3_04_22_2021_1,weak_mlp,0,2.82174755160408,3.4948498577941445,-5.248863629323509,0.0038131553860819,0.01,0.0
T3_04_22_2021_1,mlp_state,0,4.210845315032048,4.867593360629098,-7.052334578655376,0.0019065776930409,0.01,0.0
T3_04_22_2021_1,pinn_no_dynamics,0,1.802934391837522,2.119447712645908,-1.9184587000586648,0.0028598665395614,0.01,0.0
T3_04_22_2021_1,pinn_fulltrip,0,1.3251038757331353,1.6345046229353632,-1.295617364777485,0.0162059103908484,0.01,0.0
T3_04_22_2021_1,pinn,0,1.5180888767351566,1.864510799152984,-1.804332807400712,0.0695900857959961,0.01,0.0
T3_04_22_2021_2,physics,0,5.084509987573839,6.152810315958909,10.803492827824384,0.0054644808743169,0.02,
T3_04_22_2021_2,weak_mlp,0,2.533261631575292,3.1802417775713785,5.64982258827596,0.0054644808743169,0.02,0.0
T3_04_22_2021_2,mlp_state,0,4.246449095921475,5.128756280690061,9.27929043268714,0.0054644808743169,0.02,0.0
T3_04_22_2021_2,pinn_no_dynamics,0,3.3486540619774745,4.144726368469077,7.298990546509053,0.01183970856102,0.02,0.0
T3_04_22_2021_2,pinn_fulltrip,0,2.8815206915207208,3.515713069599552,6.11181428258341,0.0091074681238615,0.02,0.0
T3_04_22_2021_2,pinn,0,2.5657206725983874,3.173202731564035,5.626313103663684,0.01183970856102,0.02,0.0
T3_04_26_2021_1,physics,0,3.430664856979299,4.621698235616499,9.68459622552612,0.0087209302325581,0.01,
T3_04_26_2021_1,weak_mlp,0,0.882298412354791,0.998174027679046,1.7689575314963548,0.00484496124031,0.01,0.0
T3_04_26_2021_1,mlp_state,0,0.9069643591265876,1.0574809954889652,2.2112939892433587,0.003875968992248,0.01,0.0
T3_04_26_2021_1,pinn_no_dynamics,0,1.3876944341310062,2.221838653914208,5.211180612861568,0.0465116279069767,0.01,0.0
T3_04_26_2021_1,pinn_fulltrip,0,1.352733431886659,2.1721132866741195,5.081122936407738,0.0484496124031007,0.01,0.0
T3_04_26_2021_1,pinn,0,1.066153531974357,1.656222581741552,3.91997478495594,0.0465116279069767,0.01,0.0
T3_04_26_2021_2,physics,0,3.5015380401340934,3.967134684155418,6.617769004220065,0.0019361084220716,0.01,
T3_04_26_2021_2,weak_mlp,0,2.426210693464706,2.5849668462368043,2.5485864570847454,0.0009680542110358,0.01,0.0
T3_04_26_2021_2,mlp_state,0,0.9906232459713068,1.107102481115802,1.7378091527355934,0.0038722168441432,0.01,0.0
T3_04_26_2021_2,pinn_no_dynamics,0,1.7961450125783798,2.050129818121084,3.424230676813565,0.0019361084220716,0.01,0.0
T3_04_26_2021_2,pinn_fulltrip,0,0.7846239062484166,0.8823923646851709,0.6660136814470405,0.0106485963213939,0.01,0.0
T3_04_26_2021_2,pinn,0,0.7740074105410932,0.8637805180503185,0.9666766814887636,0.0116166505324298,0.01,0.0
T3_05_25_2021_04,physics,0,3.8973482391023184,4.945769253915833,10.603058896171197,0.0154946364719904,0.01,
T3_05_25_2021_04,weak_mlp,0,7.665316310224022,8.945390739208529,-12.947791175135842,0.0003972983710766,0.01,0.0
T3_05_25_2021_04,mlp_state,0,3.690599506934516,4.391846147462151,-4.556586440492568,0.0039729837107667,0.01,0.0
T3_05_25_2021_04,pinn_no_dynamics,0,3.580133960929053,4.038632725616238,-3.9865111181705633,0.0190703218116805,0.01,0.0
T3_05_25_2021_04,pinn_fulltrip,0,3.924077799154203,4.40587267533945,-4.963435140511132,0.0031783869686134,0.01,0.0
T3_05_25_2021_04,pinn,0,3.9459435636546383,4.423428339955072,-5.0597720542633855,0.00238379022646,0.01,0.0
T3_05_25_2021_1,physics,0,3.305839069377741,4.407125637155595,8.765739621206329,0.0124869927159209,0.01,
T3_05_25_2021_1,weak_mlp,0,0.940453954591027,1.1106066424028869,1.3665410525269197,0.0041623309053069,0.01,0.0
T3_05_25_2021_1,mlp_state,0,1.7669010924318485,2.192382564154643,-0.7309028393692358,0.0010405827263267,0.01,0.0
T3_05_25_2021_1,pinn_no_dynamics,0,1.34643525714788,2.0985172568124346,4.5211424853239,0.0228928199791883,0.01,0.0
T3_05_25_2021_1,pinn_fulltrip,0,1.597158574843567,2.3299241153501127,4.858174729588704,0.0208116545265348,0.01,0.0
T3_05_25_2021_1,pinn,0,0.8297956648622696,1.2365393590696183,2.6712866975477567,0.0353798126951092,0.01,0.0
T3_05_25_2021_2,physics,0,4.021513148550258,4.981354395647696,9.182537648767813,0.0124888492417484,0.01,
T3_05_25_2021_2,weak_mlp,0,1.082724920381234,1.326715987822333,3.31688189930388,0.0008920606601248,0.01,0.0
T3_05_25_2021_2,mlp_state,0,1.1123689840637154,1.4069477067733491,3.027689393847105,0.0080285459411239,0.01,0.0
