trip_id,trajectory,method,seed,distance_km,duration_s,observed_energy_kwh,predicted_energy_kwh,signed_error_kwh,absolute_error_kwh,percentage_error,selected_epoch,final_retrain_epochs,validation_score,power_min,power_max,saturation_fraction,mean_abs_deltaP,max_abs_deltaP,state_mae_pp,dynamics_residual_mean,dynamics_residual_rmse
T1_03_29_2021,T1,constant,0,49.61069722222272,6198.0,4.3524,4.394738517768239,0.0423385177682389,0.0423385177682389,0.972762562453794,,,,,,,,,,,
T1_03_29_2021,T1,physics,0,49.61069722222272,6198.0,4.3524,2.871975268094043,-1.4804247319059574,1.4804247319059574,-34.01398612043831,,,,,,,,,,,
T1_03_29_2021,T1,elasticnet,0,49.61069722222272,6198.0,4.3524,3.934003656585373,-0.4183963434146278,0.4183963434146278,-9.613003019360074,,,,,,,,,,,
T1_03_29_2021,T1,weak_mlp,0,49.61069722222272,6198.0,4.3524,4.963331586917242,0.6109315869172418,0.6109315869172418,14.036659932847206,45.0,46.0,0.0363960479735396,-0.1199383735656738,6.933601379394531,0.0,0.0,0.0,,,
T1_03_29_2021,T1,mlp_state,0,49.61069722222272,6198.0,4.3524,4.25852242698272,-0.0938775730172798,0.0938775730172798,-2.156915104707284,178.0,179.0,0.0377199249342083,-1.1026973724365234,6.539621829986572,0.0,0.0,0.0,3.539718039372873,-0.0019823787733912,0.3135071992874145
T1_03_29_2021,T1,pinn_no_dynamics,0,49.61069722222272,6198.0,4.3524,3.804094654339262,-0.5483053456607383,0.5483053456607383,-12.59777009605593,90.0,91.0,0.0382100712740793,-8.661856651306152,29.131898880004883,0.0,0.553518463969561,1.1968430280685425,7.197567829860011,-0.0022094852756708,0.6171465516090393
T1_03_29_2021,T1,pinn_fulltrip,0,49.61069722222272,6198.0,4.3524,4.194531345452027,-0.1578686545479728,0.1578686545479728,-3.6271632788340415,49.0,50.0,0.1924380809068679,-8.413721084594727,29.672910690307617,0.0,0.8557310883875187,1.7082574367523191,5.105911129667792,-0.0037900090683251,0.1567279249429702
T1_03_29_2021,T1,pinn,0,49.61069722222272,6198.0,4.3524,3.650935291835728,-0.7014647081642726,0.7014647081642726,-16.11673348415294,60.0,61.0,0.0372761521721258,-8.575493812561035,29.215267181396484,0.0,0.4992847706649905,1.1986684799194336,5.040435981738162,-0.002208859892562,0.2864815592765808
T1_06_30_2021_1,T1,constant,0,45.64408055555533,5233.0,3.818400000000001,4.061348386832505,0.2429483868325048,0.2429483868325048,6.362570365401865,,,,,,,,,,,
T1_06_30_2021_1,T1,physics,0,45.64408055555533,5233.0,3.818400000000001,2.753227787393527,-1.065172212606473,1.065172212606473,-27.895773428830747,,,,,,,,,,,
T1_06_30_2021_1,T1,elasticnet,0,45.64408055555533,5233.0,3.818400000000001,3.7017428079096617,-0.1166571920903387,0.1166571920903387,-3.055132832870803,,,,,,,,,,,
T1_06_30_2021_1,T1,weak_mlp,0,45.64408055555533,5233.0,3.818400000000001,3.3201336225536133,-0.4982663774463871,0.4982663774463871,-13.04908803285112,15.0,16.0,0.0523594296537339,-2.0466561317443848,8.262665748596191,0.0,0.0,0.0,,,
T1_06_30_2021_1,T1,mlp_state,0,45.64408055555533,5233.0,3.818400000000001,4.706999223993884,0.8885992239938831,0.8885992239938831,23.27150701848636,118.0,119.0,0.0407207037787884,-1.2345843315124512,7.586698055267334,0.0,0.0,0.0,2.9338271383358894,-0.0048616197891533,0.2799466550350189
T1_06_30_2021_1,T1,pinn_no_dynamics,0,45.64408055555533,5233.0,3.818400000000001,3.854094004961144,0.0356940049611438,0.0356940049611438,0.934789570530689,65.0,66.0,0.0404176450101658,-8.729292869567871,25.189144134521484,0.0,0.7594888824114773,1.3503185510635376,5.173129062520542,-0.0032744351774454,0.4898780286312103
T1_06_30_2021_1,T1,pinn_fulltrip,0,45.64408055555533,5233.0,3.818400000000001,3.4079511979636217,-0.4104488020363788,0.4104488020363788,-10.749235335124103,2.0,3.0,0.1413969546556472,-9.34144115447998,24.695362091064453,0.0,0.4511105664475606,0.8443050980567932,30.044782495778342,-0.0107585648074746,0.1513023674488067
T1_06_30_2021_1,T1,pinn,0,45.64408055555533,5233.0,3.818400000000001,4.222248281306691,0.4038482813066908,0.4038482813066908,10.576374431874363,45.0,46.0,0.0350654007634148,-8.612257957458496,25.53079032897949,0.0,1.0115137061046866,1.7075384855270386,4.765011256386685,-0.0045744404196739,0.1958375871181488
T1_06_30_2021_2,T1,constant,0,44.347602777777496,5902.0,3.6216,3.9537630266595194,0.332163026659519,0.332163026659519,9.171720418033992,,,,,,,,,,,
T1_06_30_2021_2,T1,physics,0,44.347602777777496,5902.0,3.6216,2.471605535958361,-1.1499944640416384,1.1499944640416384,-31.7537680594665,,,,,,,,,,,
T1_06_30_2021_2,T1,elasticnet,0,44.347602777777496,5902.0,3.6216,3.613215892723852,-0.0083841072761479,0.0083841072761479,-0.2315028516718553,,,,,,,,,,,
T1_06_30_2021_2,T1,weak_mlp,0,44.347602777777496,5902.0,3.6216,4.286465104354752,0.6648651043547527,0.6648651043547527,18.35832516994568,40.0,41.0,0.0444927134085446,-0.8585824966430664,7.391161918640137,0.0,0.0,0.0,,,
T1_06_30_2021_2,T1,mlp_state,0,44.347602777777496,5902.0,3.6216,3.60298517856333,-0.0186148214366697,0.0186148214366697,-0.5139944068000251,248.0,249.0,0.037059404188767,-2.0422797203063965,8.987001419067383,0.0,0.0,0.0,2.133275831294588,-3.754846329684369e-05,0.1590718328952789
T1_06_30_2021_2,T1,pinn_no_dynamics,0,44.347602777777496,5902.0,3.6216,4.13132046646335,0.5097204664633508,0.5097204664633508,14.074455115511125,12.0,13.0,0.0474185763159766,-4.625638008117676,18.535144805908203,0.0,1.0129875736013876,1.5886777639389038,17.668842546358643,-0.0103336675092577,0.6908697485923767
T1_06_30_2021_2,T1,pinn_fulltrip,0,44.347602777777496,5902.0,3.6216,3.3906003457162943,-0.2309996542837051,0.2309996542837051,-6.378386742978385,6.0,7.0,0.1707789152860641,-5.0776214599609375,18.005874633789062,0.0,0.5605214397692284,0.9704091548919678,22.30870901451098,-0.0085901180282235,0.3463431596755981
T1_06_30_2021_2,T1,pinn,0,44.347602777777496,5902.0,3.6216,3.98865641521083,0.3670564152108304,0.3670564152108304,10.135200331644317,38.0,39.0,0.0415489292936399,-4.4732584953308105,18.40462875366211,0.0,0.925304167607508,1.4944027662277222,3.2909184579010757,-0.0033131528180092,0.1233206987380981
T1_07_01_2021,T1,constant,0,37.8237152777776,4534.0,3.3528,3.3470186875609254,-0.0057813124390744,0.0057813124390744,-0.1724323681422818,,,,,,,,,,,
T1_07_01_2021,T1,physics,0,37.8237152777776,4534.0,3.3528,2.2181726563141986,-1.1346273436858012,1.1346273436858012,-33.84118777397403,,,,,,,,,,,
T1_07_01_2021,T1,elasticnet,0,37.8237152777776,4534.0,3.3528,3.1929756416640056,-0.1598243583359941,0.1598243583359941,-4.766892100214572,,,,,,,,,,,
T1_07_01_2021,T1,weak_mlp,0,37.8237152777776,4534.0,3.3528,3.140505189696948,-0.2122948103030517,0.2122948103030517,-6.331866210422684,42.0,43.0,0.0435688579455018,-2.097874164581299,8.542984008789062,0.0,0.0,0.0,,,
T1_07_01_2021,T1,mlp_state,0,37.8237152777776,4534.0,3.3528,3.614564217693276,0.2617642176932762,0.2617642176932762,7.807331713590915,83.0,84.0,0.0460636341013014,-1.3876738548278809,8.158193588256836,0.0,0.0,0.0,2.750973779823445,-0.0025203067343682,0.4813580214977264
T1_07_01_2021,T1,pinn_no_dynamics,0,37.8237152777776,4534.0,3.3528,3.0268431880511346,-0.3259568119488651,0.3259568119488651,-9.721928297210248,150.0,151.0,0.0273669062880799,-7.460000038146973,19.656763076782227,0.0,0.6424046800677718,1.2774410247802734,1.8227509392482848,0.0005674558342434,0.4009118676185608
T1_07_01_2021,T1,pinn_fulltrip,0,37.8237152777776,4534.0,3.3528,3.3050866780554253,-0.0477133219445744,0.0477133219445744,-1.4230888196305909,7.0,8.0,0.0387719459831714,-7.495367527008057,19.51770782470703,0.0,0.8629728273000843,1.5287503004074097,18.630355690246372,-0.0099884457886219,0.4183581173419952
T1_07_01_2021,T1,pinn,0,37.8237152777776,4534.0,3.3528,2.815318581268916,-0.5374814187310841,0.5374814187310841,-16.03082255819268,13.0,14.0,0.0288962231716141,-7.7271013259887695,19.065187454223636,0.0,0.5086729707580128,1.080167531967163,15.32152289380049,-0.0069672870449721,0.501130223274231
T2_03_29_2021,T2,constant,0,59.56506111111094,8577.0,4.734,5.3428388402273175,0.6088388402273175,0.6088388402273175,12.860980993394962,,,,,,,,,,,
