trip_id,constant,elasticnet,mlp_state,physics,pinn,pinn_fulltrip,pinn_no_dynamics,weak_mlp
T1_03_29_2021,0.04233851776823894,0.41839634341462784,0.1948951022783918,1.4804247319059574,0.7014647081642726,0.472623828808715,0.12334412661707983,0.6109315869172418
T1_06_30_2021_1,0.24294838683250486,0.11665719209033876,0.8885992239938831,1.0651722126064733,0.4038482813066908,0.4104488020363788,0.06988741845778224,0.49826637744638713
T1_06_30_2021_2,0.332163026659519,0.008384107276147912,1.2687848709662766,1.1499944640416384,0.36705641521083043,0.23099965428370517,0.5097204664633508,0.6648651043547527
T1_07_01_2021,0.005781312439074426,0.15982435833599418,0.20969851744307366,1.1346273436858012,0.5374814187310841,0.04771332194457445,0.474314834658915,0.21229481030305175
T2_03_29_2021,0.6088388402273175,0.08893958651315792,0.8596305693454216,1.1064572880523666,0.5522668689159786,0.21153066215327865,0.6058852879171157,2.076851502385404
T2_03_30_2021,0.5364692615658777,0.04228186158509217,0.6392882036474017,1.0011080006133475,0.009565764372299057,0.6648731680778983,0.09607864420918943,0.5057384057150949
T2_04_26_2021,0.295748098705495,0.07919246771067989,1.6527131399446064,1.1947230700008635,1.2494656832284399,0.4183852020419305,0.23338242216408212,0.9429863844248985
T3_04_22_2021_1,0.13128427341034032,0.5062659938880603,0.42314007471932347,0.257274524966995,0.10825996844404306,0.07773704188664787,0.07917282458494146,0.31493181775940826
T3_04_22_2021_2,0.42135378941825374,0.1188742204085067,0.6789691788593928,0.6482095696694627,0.37034856941699945,0.36670885695500477,0.43793943279054415,0.3389893552965584
T3_04_26_2021_1,0.20397645212665938,0.11422583515016682,0.1746919139517682,0.5810757735315677,0.2889554215927923,0.304867376184464,0.31267083677169394,0.10613745188978019
T3_04_26_2021_2,0.13696145833781337,0.1691610931131171,0.10426854916413619,0.3970661402532054,0.058000600889324794,0.03996082088682362,0.20545384060881178,0.11085165376133377
T3_05_25_2021_04,0.03308221447262838,0.2552683562980893,0.27339518642955385,0.6361835337702608,0.20120518662834375,0.2978061084306698,0.23919066709023395,0.7768674705081522
T3_05_25_2021_1,0.20961048399302462,0.14736050839260906,0.01798096075985156,0.5259443772723797,0.16027720185286487,0.29149048377532116,0.2712685491194329,0.08199246315161401
T3_05_25_2021_2,0.28504937328146673,0.02994126989317425,0.3624359450962811,0.5509522589260691,0.17854209684431566,0.2770118725731969,0.12543899793359992,0.10658928949568014
T3_05_25_2021_3,0.19221499121126118,0.1497092473530095,0.12755399444633087,0.43306035268263354,0.1696021810192203,0.10924196244710038,0.07267232151677239,0.12066225103802175
T3_05_31_2021,0.5001293520238275,0.23046587948261799,0.5357004505303173,0.7336690508754886,0.4901242670613859,0.48888621138516397,0.5002981714687413,0.3872094673819013
T3_06_07_2021,0.05086823318190259,0.20914954498426774,0.1775920392142405,0.35647001919847665,0.20196851227577395,0.057187508359551886,0.033789591753959014,0.12073881400293751
