epoch,train_loss,val_window_mae_kwh
0.0,0.3365041156609853,0.02799934893846512
1.0,0.14671785061558087,0.055770862847566605
2.0,0.23291625504692395,0.029167415574193
3.0,0.14307911147673924,0.02979106456041336
4.0,0.11248053386807441,0.038325682282447815
5.0,0.18053480138381323,0.025517158210277557
6.0,0.08137360985080401,0.030964210629463196
7.0,0.1444742133220037,0.028447585180401802
8.0,0.13341960857311885,0.026678502559661865
9.0,0.09735962077975273,0.034568414092063904
10.0,0.1581396035850048,0.025152036920189857
11.0,0.07243909661968549,0.034189194440841675
12.0,0.14021121934056283,0.031935300678014755
13.0,0.14288323620955148,0.025857917964458466
14.0,0.07726399103800456,0.024412212893366814
15.0,0.10276271030306816,0.030369486659765244
16.0,0.11760386750102043,0.02728232555091381
17.0,0.13140557557344437,0.02388794720172882
18.0,0.07344096998373667,0.0258836280554533
19.0,0.09484975760181745,0.028091290965676308
20.0,0.11185578256845474,0.026770109310746193
21.0,0.08392380985120933,0.029968278482556343
22.0,0.1295307328303655,0.025483263656497
23.0,0.07086995591719945,0.025485891848802567
24.0,0.09194836542010307,0.02643548510968685
25.0,0.10313189104199409,0.026856454089283943
26.0,0.08636405145128569,0.02796848677098751
27.0,0.1186361663043499,0.02543635107576847
28.0,0.06788039108117422,0.02621946483850479
29.0,0.08808021023869514,0.025888819247484207
30.0,0.09977066293358802,0.027094587683677673
31.0,0.0821668746570746,0.029369324445724487
32.0,0.11665035610397657,0.025485405698418617
33.0,0.06489255751172701,0.026828616857528687
34.0,0.08675827185312907,0.026425132527947426
35.0,0.0937666932741801,0.027823882177472115
36.0,0.08386185839772224,0.02834300883114338
37.0,0.11095421314239502,0.025744473561644554
38.0,0.06563521896799406,0.027203155681490898
39.0,0.07907645255327225,0.025098109617829323
40.0,0.0720557061334451,0.026001567021012306
41.0,0.08260545842349529,0.025140175595879555
42.0,0.0774497131506602,0.0250588059425354
43.0,0.09137327497204145,0.028867432847619057
44.0,0.08625500102837881,0.027181321755051613
45.0,0.10262549047668774,0.02659141831099987
46.0,0.06627731869618098,0.026897594332695007
47.0,0.07472031315167744,0.026024077087640762
48.0,0.07247130274772644,0.027910033240914345
49.0,0.09847685967882475,0.02773263305425644
50.0,0.07525478278597196,0.02867269515991211
51.0,0.10415435383717218,0.027095992118120193
52.0,0.06546765094002088,0.029217146337032318
53.0,0.08270219961802165,0.02791331522166729
54.0,0.09605494464437167,0.02861863374710083
55.0,0.08124924004077912,0.026837756857275963
56.0,0.07020401110251745,0.02647983469069004
57.0,0.07517138955493768,0.02876768633723259
