epoch,train_loss,val_window_mae_kwh
0.0,0.3218512972195943,0.03772904351353645
1.0,0.13640825500090917,0.0329010970890522
2.0,0.15492458418011665,0.050629306584596634
3.0,0.177099255969127,0.033495623618364334
4.0,0.07381344710787137,0.06499006599187851
5.0,0.11342270001769066,0.034424297511577606
6.0,0.07283621529738109,0.038214895874261856
7.0,0.0867222435772419,0.05438932031393051
8.0,0.19167021016279856,0.045491743832826614
9.0,0.08518565793832143,0.03127789497375488
10.0,0.09079256703456243,0.041989345103502274
11.0,0.08316650961836179,0.03670160472393036
12.0,0.09260610441366832,0.04741569235920906
13.0,0.10184003586570421,0.03670699521899223
14.0,0.06359712257981301,0.044874005019664764
15.0,0.10062639365593593,0.047861844301223755
16.0,0.16160249362389248,0.042843449860811234
17.0,0.07840277875463168,0.031156059354543686
18.0,0.06643179208040237,0.043166693300008774
19.0,0.07478467747569084,0.05034978315234184
20.0,0.16565476482113203,0.04027809575200081
21.0,0.0676356683174769,0.03502700477838516
22.0,0.07144727359215418,0.03448701649904251
23.0,0.06813814242680867,0.03692812845110893
24.0,0.07418812811374664,0.047621533274650574
25.0,0.10493343149622282,0.047721534967422485
26.0,0.10330606872836749,0.0455457977950573
27.0,0.12148914337158204,0.04611990973353386
28.0,0.06762140120069186,0.03522956371307373
29.0,0.08147537807623545,0.03994080796837807
30.0,0.08651326398054758,0.03923780098557472
31.0,0.09552357420325279,0.04245636984705925
32.0,0.09213205302755038,0.04122027009725571
33.0,0.10972999160488446,0.04056181758642197
34.0,0.06172600686550141,0.039993226528167725
35.0,0.08816084017356236,0.0427732951939106
36.0,0.0909152922530969,0.04078327491879463
37.0,0.10440541952848434,0.0393209308385849
38.0,0.06706523050864538,0.035957515239715576
39.0,0.08543278202414513,0.03595183417201042
40.0,0.0882349615295728,0.03849725425243378
41.0,0.1007080097993215,0.04202458634972572
42.0,0.060026345402002336,0.03901228308677673
43.0,0.0905583642423153,0.04072365164756775
44.0,0.07979328582684199,0.040274713188409805
45.0,0.09827328299482664,0.04068892076611519
46.0,0.06050790150960286,0.041759248822927475
47.0,0.11075861429174741,0.04016628488898277
48.0,0.062738186866045,0.037107914686203
49.0,0.06688438951969147,0.03719819337129593
50.0,0.10521561751763026,0.03647175431251526
51.0,0.08554223651687304,0.041828300803899765
52.0,0.06887767513593038,0.042046356946229935
53.0,0.10649475778142611,0.04013444483280182
54.0,0.0568353978296121,0.038718633353710175
55.0,0.07491621573766073,0.04250483587384224
56.0,0.07202902063727379,0.039179932326078415
57.0,0.08363161186377208,0.04246567189693451
