epoch,train_loss,val_window_mae_kwh,grad_norm,l_window,w_window
0.0,0.3383975178003311,,7.0363816121065055,0.3383975178003311,0.3383975178003311
1.0,0.11172417248599231,,6.682170448484847,0.11172417248599231,0.11172417248599231
2.0,0.1704298686236143,,7.3222957033524825,0.1704298686236143,0.1704298686236143
3.0,0.21979206753894687,,6.502556580381739,0.21979206753894687,0.21979206753894687
4.0,0.07755731209181249,,5.767631386866677,0.07755731209181249,0.07755731209181249
5.0,0.12945775454863906,,6.282314180415812,0.12945775454863906,0.12945775454863906
6.0,0.16701717441901565,,5.810691704695956,0.16701717441901565,0.16701717441901565
7.0,0.08344817254692316,,5.752784736407732,0.08344817254692316,0.08344817254692316
8.0,0.13656335463747382,,5.711406885080626,0.13656335463747382,0.13656335463747382
9.0,0.1127636912278831,,6.080907299521458,0.1127636912278831,0.1127636912278831
10.0,0.1328144834842533,,5.450946537485572,0.1328144834842533,0.1328144834842533
11.0,0.09724773652851582,,5.842169048238684,0.09724773652851582,0.09724773652851582
12.0,0.17049873271025717,,5.570626510207823,0.17049873271025717,0.17049873271025717
13.0,0.08387880702503026,,5.270044667816995,0.08387880702503026,0.08387880702503026
14.0,0.12920461827889085,,5.998000135356701,0.12920461827889085,0.12920461827889085
15.0,0.11896845209412277,,5.359754493292847,0.11896845209412277,0.11896845209412277
16.0,0.10042017651721835,,5.6529356221843905,0.10042017651721835,0.10042017651721835
17.0,0.15088843321427703,,5.42281158984097,0.15088843321427703,0.15088843321427703
18.0,0.0710046673193574,,5.339077707980684,0.0710046673193574,0.0710046673193574
19.0,0.07683105836622417,,5.095173802103883,0.07683105836622417,0.07683105836622417
20.0,0.1247169766575098,,5.714784930217716,0.1247169766575098,0.1247169766575098
21.0,0.1388678781222552,,5.394908878222762,0.1388678781222552,0.1388678781222552
22.0,0.07341645774431527,,5.203910321552627,0.07341645774431527,0.07341645774431527
23.0,0.07451680116355419,,4.935304907574366,0.07451680116355419,0.07451680116355419
24.0,0.09576793783344328,,5.3797598441491195,0.09576793783344328,0.09576793783344328
25.0,0.12183155957609415,,5.151103812961253,0.12183155957609415,0.12183155957609415
26.0,0.07514700968749821,,4.930039445478883,0.07514700968749821,0.07514700968749821
27.0,0.09476269106380641,,4.812738759485905,0.09476269106380641,0.09476269106380641
28.0,0.105226531624794,,5.309810986965422,0.105226531624794,0.105226531624794
29.0,0.08950014819856733,,4.686980347230757,0.08950014819856733,0.08950014819856733
30.0,0.09670899505726993,,5.231982636266695,0.09670899505726993,0.09670899505726993
31.0,0.11868551932275295,,4.942357812402301,0.11868551932275295,0.11868551932275295
