epoch,train_loss,val_window_mae_kwh,grad_norm,w_state,dynamics_residual_rmse,w_boundary,l_dynamics,loss,w_window,dynamics_residual_mae,w_prior,l_window,w_dynamics,l_prior,l_boundary,l_state,val_mae_soc_event_0.1,val_mae_soc_event_0.2,val_mae_soc_event_0.5,val_mae_time_60s,val_mae_time_120s,val_mae_time_300s,val_mae_time_600s,val_mae_full_trip
0.0,2.008488810979403,0.10154905519448221,0.8182734834796529,1.8692621524517354,0.01913873665034771,0.0,0.0003855634769514346,2.008488810979403,0.13868424812188515,0.014671539457944723,0.0001567916880258753,0.13868424812188515,0.0003855634769514346,0.001567916880258753,0.0,18.692621524517353,0.013116516172885895,0.013705273158848286,0.016894452273845673,0.013290117494761944,0.022557402029633522,0.050919514149427414,0.08436074107885361,0.5975484251976013
1.0,1.9033822829906757,0.046137562370859087,0.990254008436283,1.8345150874211238,0.028880490348316155,0.0,0.0009698269479066277,1.9033822829906757,0.06437895275079288,0.019909616344823286,0.0035184159803275878,0.06437895275079288,0.0009698269479066277,0.035184159803275876,0.0,18.34515087421124,0.011909847147762775,0.012669174931943417,0.015978457406163216,0.011539277620613575,0.02086714282631874,0.046813394874334335,0.08374214172363281,0.16558106243610382
2.0,1.7979182325876677,0.03525777126196772,1.2428939800684504,1.6962869350726788,0.11074441155562034,0.0,0.014755106978834821,1.7979182325876677,0.07999618895925008,0.045110672569045655,0.0068799754461416835,0.07999618895925008,0.014755106978834821,0.06879975446141683,0.0,16.962869350726788,0.01206638477742672,0.012954151257872581,0.01601349376142025,0.012052674777805805,0.020696619525551796,0.04621783271431923,0.0799916535615921,0.08206935971975327
3.0,1.6736354736181407,0.03491514234337956,1.0806920601205732,1.5393985968369708,0.2591157097082872,0.0,0.06869758235720488,1.6736354736181407,0.05996295250952244,0.09294554619834973,0.005576316854701591,0.05996295250952244,0.06869758235720488,0.05576316854701592,0.0,15.393985968369703,0.011994962580502033,0.012878624722361565,0.016055501997470856,0.011899005621671677,0.02082679606974125,0.046163756400346756,0.08078498393297195,0.07871750742197037
4.0,1.6068742458636944,0.06601857580244541,1.1722475065701894,1.4677292897151069,0.26881127174084,0.0,0.0758570098819641,1.6068742458636944,0.05786872984698185,0.10300642337936622,0.0054191771035011,0.05786872984698185,0.0758570098819641,0.054191771035011,0.0,14.677292897151066,0.012519527226686478,0.013411401771008968,0.016760529950261116,0.01192003395408392,0.02205674722790718,0.050611406564712524,0.08831090480089188,0.31255805492401123
5.0,1.560540877855741,0.047900413046590984,1.3375089304337089,1.4211339510404146,0.2639707590524967,0.0,0.07143869824134387,1.560540877855741,0.06435343307944444,0.10247142269061162,0.0036147782005942785,0.06435343307944444,0.07143869824134387,0.036147782005942784,0.0,14.211339510404146,0.012002862058579922,0.012680132873356342,0.01614692248404026,0.011430843733251095,0.020628949627280235,0.04759647324681282,0.08061408251523972,0.18210303783416748
6.0,1.5138259759316077,0.06480181205552071,1.4319168664189392,1.3748606938582202,0.26856298515429866,0.0,0.07367566399849378,1.5138259759316077,0.061358121868509516,0.10010653906143628,0.003931453050329135,0.061358121868509516,0.07367566399849378,0.03931453050329135,0.0,13.748606938582201,0.012458071112632751,0.013308348134160042,0.0167775209993124,0.011586449109017849,0.021474752575159073,0.049630943685770035,0.08658502250909805,0.3065933883190155
7.0,1.4868902472349315,0.04552624619100243,1.5818597549164095,1.3372959870558518,0.27329335648279923,0.0,0.07659680367662357,1.4868902472349315,0.06987209460483147,0.09836166982467358,0.0031253422252260723,0.06987209460483147,0.07659680367662357,0.03125342225226072,0.0,13.37295987055852,0.011977837421000004,0.012568911537528038,0.01610000990331173,0.011368947103619576,0.020440125837922096,0.04685550555586815,0.07949896156787872,0.1653996706008911
8.0,1.4499872143451984,0.056132806348614395,1.5728062823488342,1.310997067964994,0.26473731719530547,0.0,0.07240075216843532,1.4499872143451984,0.0631473487099776,0.09579482789223011,0.0034420266890755062,0.0631473487099776,0.07240075216843532,0.034420266890755065,0.0,13.10997067964994,0.01223992370069027,0.013002483174204826,0.016487784683704376,0.011435386724770069,0.020903268828988075,0.048598092049360275,0.08381493389606476,0.2425805777311325
9.0,1.433384331373068,0.03796950983814895,1.6293861970444476,1.2898283334878777,0.2669392915872427,0.0,0.07372973544093278,1.433384331373068,0.06674813035015877,0.09679852597988568,0.0030781022058083466,0.06674813035015877,0.07372973544093278,0.03078102205808346,0.0,12.898283334878775,0.011838368140161037,0.012387558817863464,0.015777846798300743,0.011482895351946354,0.02017980068922043,0.04593387246131897,0.07847759872674942,0.1076781377196312
10.0,1.4012960837437556,0.035014602122828364,1.623541420420447,1.2667592708881086,0.2574233492979637,0.0,0.06883869921931854,1.4012960837437556,0.06216718428410017,0.09443376385248624,0.0035309023008896763,0.06216718428410017,0.06883869921931854,0.03530902300889675,0.0,12.667592708881084,0.011843383312225342,0.012505010701715946,0.0158246997743845,0.011408270336687565,0.020401781424880028,0.04637124016880989,0.08100791275501251,0.08075451850891113
11.0,1.3820176537220294,0.03246067313011736,1.629175453433343,1.2470714862530048,0.2578058483508917,0.0,0.06911378382490231,1.3820176537220294,0.061811680833880715,0.09520364781984916,0.004020680687748469,0.061811680833880715,0.06911378382490231,0.04020680687748469,0.0,12.470714862530048,0.01181806530803442,0.01245866809040308,0.015766901895403862,0.011481116525828838,0.02040872536599636,0.0463617742061615,0.08053100854158401,0.06085912510752678
