epoch,train_loss,val_window_mae_kwh
0.0,2.5692933400472007,0.5884253978729248
1.0,2.1596163868904115,0.0099945068359375
2.0,2.1460673491160076,0.5240383148193359
3.0,2.1296023885409037,0.07153820991516113
4.0,2.1522661169370014,0.46097779273986816
5.0,2.1119771520296733,0.11959409713745117
6.0,2.0638059894243876,0.1551039218902588
7.0,2.0728002429008483,0.4577457904815674
8.0,2.050517694155375,0.22629332542419434
9.0,2.012844451268514,0.35938382148742676
10.0,2.0580199559529624,0.048024654388427734
11.0,2.1406331578890483,0.29160141944885254
12.0,2.087881628672282,0.2642862796783447
13.0,2.0636006275812786,0.18472909927368164
14.0,2.022671421368917,0.40458035469055176
15.0,2.004888657728831,0.04353070259094238
16.0,2.0330186168352764,0.2822709083557129
17.0,1.9799869656562805,0.11994743347167969
18.0,2.009277331829071,0.345395565032959
19.0,2.049139444033305,0.11840009689331055
20.0,2.1416386644045513,0.3672826290130615
21.0,2.074576954046885,0.05274248123168945
22.0,2.047624444961548,0.16971969604492188
23.0,1.977026104927063,0.3106412887573242
24.0,1.983159363269806,0.17122459411621094
25.0,1.991513474782308,0.07769560813903809
26.0,1.9949533422787984,0.5262451171875
27.0,2.0515390157699587,0.09027600288391113
28.0,2.0087947686513266,0.28214073181152344
29.0,1.985015598932902,0.17242050170898438
30.0,1.978841253121694,0.27504396438598633
31.0,2.008996566136678,0.10964155197143555
32.0,1.9797805070877075,0.07656264305114746
33.0,2.0128740310668944,0.5866761207580566
34.0,2.0606849789619446,0.11066722869873047
35.0,1.9781283855438232,0.27444005012512207
36.0,1.9428614457448323,0.36220717430114746
37.0,1.9441935022672017,0.07463884353637695
38.0,1.9926143884658813,0.3724071979522705
39.0,1.9457115451494853,0.04655289649963379
40.0,1.9615597009658814,0.21316003799438477
41.0,1.9748790582021079,0.3029348850250244
