epoch,train_loss,val_window_mae_kwh
0.0,2.1695929090181987,0.01648576930165291
1.0,2.09438130458196,0.022671137005090714
2.0,2.1071301817893984,0.015445295721292496
3.0,2.0793103416760763,0.016868185251951218
4.0,2.077515256404877,0.01575777493417263
5.0,2.0707446654637653,0.015326956287026405
6.0,2.0553105672200522,0.017885245382785797
7.0,2.052658200263977,0.01557462103664875
8.0,2.0331679860750835,0.01768529787659645
9.0,2.0520103017489117,0.015402108430862427
10.0,2.050417697429657,0.016202986240386963
11.0,2.048436454931895,0.015472475439310074
12.0,2.028436271349589,0.0159224234521389
13.0,2.011855363845825,0.015875544399023056
14.0,1.9847102244695027,0.015696682035923004
15.0,1.9787455081939698,0.015409333631396294
16.0,1.941684905687968,0.017267633229494095
17.0,1.9655184268951416,0.017095554620027542
18.0,2.0482419172922772,0.02050434798002243
19.0,2.126565913359324,0.016796264797449112
20.0,2.1127190589904785,0.01838071458041668
21.0,2.0875301003456115,0.015444225631654263
22.0,2.0607717037200928,0.01593475043773651
23.0,2.0159985423088074,0.015533394180238247
24.0,1.9819044589996337,0.015849122777581215
25.0,1.9647660652796428,0.015583180822432041
26.0,1.9446825941403707,0.015899382531642914
27.0,1.9315730094909669,0.01530950702726841
28.0,1.9081483364105225,0.01702948287129402
29.0,1.9120311578114828,0.017048917710781097
30.0,1.8943360845247905,0.01901792734861374
31.0,1.9543717741966247,0.01610812358558178
32.0,1.9777147809664408,0.016796372830867767
33.0,2.1521708687146504,0.016473203897476196
34.0,2.0917203028996787,0.018311962485313416
35.0,1.9978312532107034,0.015546021051704884
36.0,1.9726177215576173,0.016958855092525482
37.0,1.9453176856040955,0.015477390959858894
38.0,1.911498765150706,0.016752760857343674
39.0,1.904201320807139,0.015301888808608055
40.0,1.8841432531674702,0.017967211082577705
41.0,1.8785827000935873,0.015294642187654972
42.0,1.8604319016138713,0.01614624448120594
43.0,1.8706154863039652,0.015566816553473473
44.0,1.9025268276532492,0.01947750896215439
45.0,2.0398775418599446,0.01621716469526291
46.0,2.1032470226287843,0.018336033448576927
47.0,2.0712720433870953,0.015817034989595413
48.0,1.9873266816139221,0.01979724131524563
49.0,1.964189100265503,0.015511921606957912
50.0,1.9343507488568623,0.021058134734630585
51.0,1.9569793264071147,0.015175849199295044
52.0,1.9145123362541199,0.018235420808196068
53.0,1.9091707626978556,0.015525038354098797
54.0,1.8990187923113504,0.01818804256618023
55.0,1.9201731959978738,0.016149941831827164
56.0,1.90521240234375,0.023337848484516144
57.0,1.9319705247879029,0.0152573361992836
58.0,1.9034109751383463,0.018483193591237068
59.0,1.9187551935513814,0.016229718923568726
60.0,1.8950313727060955,0.022915521636605263
61.0,1.9361700415611267,0.015238136053085327
62.0,1.910438628991445,0.02323787659406662
63.0,1.9207270622253418,0.015306894667446613
64.0,1.91033935546875,0.02175605483353138
65.0,1.939018444220225,0.015221182256937027
66.0,1.8742896993954976,0.022322652861475945
67.0,1.9241134603818257,0.015240369364619255
68.0,1.9067614555358887,0.018617860972881317
69.0,1.8865729530652364,0.01591154746711254
70.0,1.889007043838501,0.023558253422379494
71.0,1.9371055006980895,0.015235275961458683
72.0,1.859081244468689,0.016836220398545265
73.0,1.8963413953781127,0.015216460451483727
74.0,1.8958799242973328,0.020917745307087898
75.0,1.8824142893155416,0.01566035859286785
76.0,1.8865729331970216,0.02433113567531109
77.0,1.9178713758786519,0.01528701651841402
78.0,1.8490423639615376,0.019559407606720924
79.0,1.9014833092689514,0.015551789663732052
80.0,1.884243110815684,0.01869809627532959
81.0,1.873463249206543,0.016230067238211632
82.0,1.8904022892316183,0.023429879918694496
83.0,1.8939882278442384,0.015115880407392979
84.0,1.8495862245559693,0.01839286834001541
85.0,1.8837305227915446,0.015405464917421341
86.0,1.8498714009920756,0.01929430663585663
87.0,1.853483001391093,0.016573842614889145
88.0,1.8645046790440878,0.02396310120820999
89.0,1.8665916959444682,0.015311799012124538
90.0,1.8762681444485982,0.02269117534160614
91.0,1.916764783859253,0.015450802631676197
92.0,1.8362999280293784,0.02280457131564617
93.0,1.868264949321747,0.01556356530636549
94.0,1.8321303804715474,0.018719878047704697
95.0,1.8368372956911723,0.01634141616523266
96.0,1.8954002459843953,0.024035926908254623
97.0,1.8741805275281271,0.015052758157253265
98.0,1.8192366043726602,0.023878680542111397
99.0,1.8767412145932516,0.015215663239359856
100.0,1.8176082015037536,0.019465085119009018
101.0,1.8489078640937806,0.016258368268609047
102.0,1.8938454389572144,0.02385646291077137
103.0,1.8523180723190307,0.015053823590278625
104.0,1.8299913684527078,0.024300742894411087
105.0,1.8654499411582948,0.015674954280257225
106.0,1.79992116689682,0.023270301520824432
107.0,1.8796144048372905,0.015170606784522533
108.0,1.82338254849116,0.023396586999297142
109.0,1.8415217876434327,0.015613056719303131
110.0,1.8230979681015014,0.023250631988048553
111.0,1.8282766302426656,0.015378461219370365
112.0,1.8392369588216146,0.018823567777872086
113.0,1.8384912212689717,0.016142744570970535
114.0,1.7907050808270772,0.026073772460222244
115.0,1.866191804409027,0.015195702202618122
116.0,1.7937621156374612,0.019734296947717667
117.0,1.8202136874198913,0.015342872589826584
118.0,1.8564497749010722,0.022131508216261864
119.0,1.8023551901181538,0.016319215297698975
120.0,1.820890728632609,0.024951236322522163
121.0,1.8494099736213685,0.015622262842953205
122.0,1.7971945484479268,0.022530410438776016
123.0,1.8751271764437358,0.015579065307974815
124.0,1.7981504440307616,0.025147108361124992
125.0,1.8516982555389405,0.015325737185776234
126.0,1.848676566282908,0.023128509521484375
127.0,1.820638120174408,0.015635278075933456
128.0,1.8287030498186747,0.022775663062930107
129.0,1.8351370533307394,0.015683582052588463
130.0,1.788736347357432,0.025419170036911964
131.0,1.8709598143895467,0.015646008774638176
132.0,1.8015910466512044,0.022662360221147537
