epoch,train_loss,val_window_mae_kwh
0.0,2.768826496601105,0.37172675132751465
1.0,2.341381816069285,0.2294156551361084
2.0,2.3793410023053485,0.3634614944458008
3.0,2.3399972995122273,0.17164850234985352
4.0,2.3504836360613504,0.3062189817428589
5.0,2.2931824286778766,0.19350111484527588
6.0,2.2631351550420127,0.22365617752075195
7.0,2.213431231180827,0.17910420894622803
8.0,2.207628873984019,0.18275082111358643
9.0,2.2124375621477763,0.19415700435638428
10.0,2.1920963009198506,0.20909404754638672
11.0,2.1737355947494508,0.14552783966064453
12.0,2.170265750090281,0.20782685279846191
13.0,2.1582876801490785,0.08305466175079346
14.0,2.175505880514781,0.19233131408691406
15.0,2.142248078187307,0.0978020429611206
16.0,2.13638786872228,0.15898144245147705
17.0,2.1640001058578493,0.07432699203491211
18.0,2.194719433784485,0.12325882911682129
19.0,2.265731517473857,0.19187712669372559
20.0,2.2302415211995443,0.10991370677947998
21.0,2.1707482735315957,0.11468672752380371
22.0,2.1155535777409873,0.14098680019378662
23.0,2.14185574054718,0.14674115180969238
24.0,2.1462377111117044,0.09662044048309326
25.0,2.1783050417900087,0.17430269718170166
26.0,2.1710980693499247,0.1380993127822876
27.0,2.1071708877881368,0.07849669456481934
28.0,2.121811612447103,0.17607998847961426
29.0,2.153319080670675,0.13775849342346191
30.0,2.1018614768981934,0.07989060878753662
31.0,2.141174070040385,0.2453070878982544
32.0,2.1518640518188477,0.0616610050201416
33.0,2.1663136005401613,0.23286771774291992
34.0,2.19098486105601,0.06832146644592285
35.0,2.157222620646159,0.15245544910430908
36.0,2.1042733510335285,0.08342695236206055
37.0,2.102655740578969,0.13964951038360596
38.0,2.094874846935272,0.11471009254455566
39.0,2.1273422559102375,0.1295984983444214
40.0,2.079397749900818,0.14270663261413574
41.0,2.094997537136078,0.15014290809631348
42.0,2.0895561059316,0.09756362438201904
43.0,2.1329890727996825,0.17448890209197998
44.0,2.1321558515230814,0.13609230518341064
45.0,2.080255468686422,0.19380807876586914
46.0,2.0751006881395977,0.07410180568695068
47.0,2.056220241387685,0.1787862777709961
48.0,2.0759896636009216,0.022696256637573242
49.0,2.0976356983184816,0.17147886753082275
50.0,2.1155524690945944,0.10254120826721191
51.0,2.083563768863678,0.10395526885986328
52.0,2.1012674371401467,0.13706791400909424
53.0,2.08353773355484,0.10886740684509277
54.0,2.1170031150182087,0.16150391101837158
55.0,2.1305384278297423,0.11899912357330322
56.0,2.0782280762990317,0.13366198539733887
57.0,2.0443031271298726,0.15334820747375488
58.0,2.07850132783254,0.10367918014526367
59.0,2.0446059664090472,0.16865670680999756
60.0,2.0705213149388633,0.0627291202545166
61.0,2.0742403467496238,0.14939355850219727
62.0,2.0441718697547913,0.08725893497467041
63.0,2.110372225443522,0.285849928855896
64.0,2.190877536932627,0.06329798698425293
65.0,2.094854545593262,0.20408833026885986
66.0,2.0775320649147035,0.04172706604003906
67.0,2.0942235310872395,0.16624414920806885
68.0,2.0795510609944663,0.09809684753417969
69.0,2.067847990989685,0.19454753398895264
70.0,2.057066782315572,0.05550503730773926
71.0,2.0382325132687886,0.20929789543151855
72.0,2.082024323940277,0.0011845827102661133
73.0,2.0992836356163025,0.1554114818572998
74.0,2.0601295987764994,0.06712841987609863
75.0,2.0232593774795533,0.1757749319076538
76.0,1.9970123966534932,0.10442841053009033
77.0,2.0331775546073914,0.18828892707824707
78.0,1.9935984333356223,0.0869743824005127
79.0,2.0060652176539104,0.20237243175506592
80.0,2.033717850844065,0.031876444816589355
81.0,2.104554315408071,0.17179691791534424
82.0,2.115929293632507,0.12121784687042236
83.0,2.1056625564893086,0.11769735813140869
84.0,2.07655170361201,0.1606435775756836
85.0,2.0422859231630963,0.10815727710723877
86.0,2.0878048062324526,0.2095341682434082
87.0,2.0476871053377788,0.04249298572540283
88.0,2.056859540939331,0.19780242443084717
89.0,2.0767719944318137,0.05839121341705322
90.0,2.0233530084292095,0.132116436958313
91.0,2.0102034131685893,0.04285740852355957
92.0,2.0432153701782227,0.2029585838317871
93.0,2.024830241998037,0.008046388626098633
94.0,2.0860331058502197,0.1516963243484497
95.0,2.0040634234746295,0.0657120943069458
96.0,2.0055638631184896,0.2023557424545288
97.0,2.0249590794245402,0.00951385498046875
98.0,2.0729564587275187,0.1526317596435547
99.0,2.0227834900220234,0.07091307640075684
100.0,2.0173837145169577,0.20365679264068604
101.0,2.088693575064341,0.0228651762008667
102.0,2.095402681827545,0.16611897945404053
103.0,2.0486937284469606,0.086922287940979
104.0,1.9784377972284952,0.1544421911239624
105.0,1.9956897298494976,0.058408260345458984
106.0,2.020389946301778,0.11073052883148193
107.0,1.973762575785319,0.1159820556640625
108.0,1.9938419262568157,0.16275060176849365
109.0,1.9772794882456461,0.09637093544006348
110.0,2.005624536673228,0.1736997365951538
111.0,2.0019163807233173,0.047724366188049316
112.0,2.001408004760742,0.19945967197418213
