epoch,train_loss,val_window_mae_kwh,grad_norm,w_state,dynamics_residual_rmse,w_boundary,l_dynamics,loss,w_window,dynamics_residual_mae,w_prior,l_window,w_dynamics,l_prior,l_boundary,l_state,val_mae_full_trip
0.0,2.5005225218259373,0.5714620351791382,4.5104276827479985,1.8369619772984427,0.01911597469678292,0.0,0.00038290681326403643,2.5005225218259373,0.6630375419671719,0.014628369361162186,0.00014010711735094308,0.6630375419671719,0.00038290681326403643,0.0014010711735094306,0.0,18.369619772984432,0.5714620351791382
1.0,2.1139960976747365,0.3320302963256836,5.94786724299156,1.8214256029862623,0.02219502326960747,0.0,0.0005219927294932019,2.1139960976747365,0.289634858043148,0.017521199125509996,0.002413613066220513,0.289634858043148,0.0005219927294932019,0.024136130662205126,0.0,18.214256029862625,0.3320302963256836
2.0,2.0075096029501696,0.438320130109787,6.677100287919222,1.767957793749296,0.04028960618262108,0.0,0.0018776450641990567,2.0075096029501696,0.23330012565621963,0.024200605801664866,0.004373996998541631,0.23330012565621963,0.0018776450641990567,0.0437399699854163,0.0,17.679577937492958,0.438320130109787
3.0,1.8907942267564626,0.234829381108284,6.076490766356425,1.6369901620424714,0.11413738303459607,0.0,0.014424708062926164,1.8907942267564626,0.23448122249772915,0.04984043223353533,0.004898128085411512,0.23448122249772915,0.014424708062926164,0.04898128085411512,0.0,16.36990162042471,0.234829381108284
4.0,1.7372087927965016,0.12446955591440201,6.428119950858056,1.4752968421349162,0.25480835942121655,0.0,0.06811681719353566,1.7372087927965016,0.18813841890257138,0.09694145046747647,0.005656704564507191,0.18813841890257138,0.06811681719353566,0.05656704564507191,0.0,14.75296842134916,0.12446955591440201
5.0,1.7022650929597707,0.4862179756164551,6.01683802854313,1.4110561150770922,0.29684337285848766,0.0,0.09367268145657502,1.7022650929597707,0.1908621872560336,0.1169720168870229,0.006674069853929372,0.1908621872560336,0.09367268145657502,0.06674069853929374,0.0,14.110561150770922,0.4862179756164551
6.0,1.6903390288352966,0.10558513551950455,6.510134195560824,1.3743395548600417,0.27727353228972507,0.0,0.08009363553271844,1.6903390288352966,0.2294953680382325,0.10975447239784095,0.006410447995250041,0.2294953680382325,0.08009363553271844,0.06410447995250042,0.0,13.743395548600416,0.10558513551950455
7.0,1.605558766768529,0.6153145432472229,6.172386790040698,1.3425316113692065,0.2786039240085162,0.0,0.08075772340481098,1.605558766768529,0.17627103254199028,0.1136674342247156,0.005998373217880727,0.17627103254199028,0.08075772340481098,0.05998373217880726,0.0,13.425316113692064,0.6153145432472229
8.0,1.566720228928786,0.43665990233421326,6.443803344805913,1.308459839454064,0.2713065307873946,0.0,0.07598817434448463,1.566720228928786,0.1765211710276512,0.1089721734707172,0.005751033456852803,0.1765211710276512,0.07598817434448463,0.057510334568528026,0.0,13.08459839454064,0.43665990233421326
9.0,1.534953738634403,0.3864785134792328,6.264416393148353,1.2792476507333612,0.2676638467953755,0.0,0.07448568682257946,1.534953738634403,0.17513984749810055,0.11034136609389232,0.006080538392640078,0.17513984749810055,0.07448568682257946,0.06080538392640077,0.0,12.792476507333609,0.3864785134792328
